Track,Date,Race,Winner,2nd,3rd,4th
Taree,2026-07-25,1,8,2,6,1
Taree,2026-07-25,2,5,6,4,3
Taree,2026-07-25,3,5,3,7,6
Taree,2026-07-25,4,4,1,5,6
Taree,2026-07-25,5,5,1,7,4
Taree,2026-07-25,6,6,7,1,5
Taree,2026-07-25,7,3,7,6,2
Taree,2026-07-25,8,8,1,4,7
Taree,2026-07-25,9,1,2,4,3
Taree,2026-07-25,10,2,4,3,6
Gunnedah,2026-07-25,1,4,8,10,2
Gunnedah,2026-07-25,2,3,1,8,7
Gunnedah,2026-07-25,3,7,9,8,1
Gunnedah,2026-07-25,4,7,8,6,2
Gunnedah,2026-07-25,5,4,2,8,5
Gunnedah,2026-07-25,6,1,7,5,8
Gunnedah,2026-07-25,7,7,6,8,1
Gunnedah,2026-07-25,8,7,2,8,1
Gunnedah,2026-07-25,9,7,3,8,4
Gunnedah,2026-07-25,10,6,3,5,8
Gunnedah,2026-07-25,11,4,5,7,3
Ladbrokes Gardens,2026-07-25,1,8,6,7,4
Ladbrokes Gardens,2026-07-25,2,1,2,3,4
Ladbrokes Gardens,2026-07-25,3,1,7,3,6
Ladbrokes Gardens,2026-07-25,4,2,8,4,3
Ladbrokes Gardens,2026-07-25,5,1,4,7,5
Ladbrokes Gardens,2026-07-25,6,2,3,4,7
Ladbrokes Gardens,2026-07-25,7,3,8,2,7
Ladbrokes Gardens,2026-07-25,8,2,6,1,4
Ladbrokes Gardens,2026-07-25,9,7,1,6,3
Ladbrokes Gardens,2026-07-25,10,8,6,7,4
Ladbrokes Gardens,2026-07-25,11,1,8,7,2
Ladbrokes Gardens,2026-07-25,12,6,2,8,4
Wentworth Park,2026-07-25,1,2,8,1,7
Wentworth Park,2026-07-25,2,1,8,6,2
Wentworth Park,2026-07-25,3,8,2,4,3
Wentworth Park,2026-07-25,4,5,1,2,7
Wentworth Park,2026-07-25,5,7,3,2,8
Wentworth Park,2026-07-25,6,5,1,8,4
Wentworth Park,2026-07-25,7,2,1,4,8
Wentworth Park,2026-07-25,8,6,3,2,4
Wentworth Park,2026-07-25,9,8,4,3,1
Wentworth Park,2026-07-25,10,2,8,5,1
Ballarat,2026-07-25,1,4,2,1,7
Ballarat,2026-07-25,2,7,6,1,8
Ballarat,2026-07-25,3,2,8,5,1
Ballarat,2026-07-25,4,4,1,3,8
Ballarat,2026-07-25,5,6,1,3,2
Ballarat,2026-07-25,6,8,2,7,1
Ballarat,2026-07-25,7,1,8,4,5
Ballarat,2026-07-25,8,8,7,2,6
Ballarat,2026-07-25,9,1,2,6,8
Ballarat,2026-07-25,10,7,8,3,2
Ballarat,2026-07-25,11,6,5,3,4
Ballarat,2026-07-25,12,3,7,1,6
Ladbrokes Q1 Lakeside,2026-07-25,1,1,5,4,6
Ladbrokes Q1 Lakeside,2026-07-25,2,6,8,3,4
Ladbrokes Q1 Lakeside,2026-07-25,3,3,2,1,7
Ladbrokes Q1 Lakeside,2026-07-25,4,4,8,7,2
Ladbrokes Q1 Lakeside,2026-07-25,5,8,1,6,5
Ladbrokes Q1 Lakeside,2026-07-25,6,1,4,3,5
Ladbrokes Q1 Lakeside,2026-07-25,7,5,2,7,6
Ladbrokes Q1 Lakeside,2026-07-25,8,2,3,8,6
Ladbrokes Q1 Lakeside,2026-07-25,9,7,6,2,8
Ladbrokes Q1 Lakeside,2026-07-25,10,4,1,2,3
Ladbrokes Q1 Lakeside,2026-07-25,11,6,8,1,2
Ladbrokes Q1 Lakeside,2026-07-25,12,7,5,3,8
Meadows,2026-07-25,1,4,6,2,8
Meadows,2026-07-25,2,4,9,1,5
Meadows,2026-07-25,3,8,5,2,1
Meadows,2026-07-25,4,1,2,4,6
Meadows,2026-07-25,5,6,8,3,2
Meadows,2026-07-25,6,3,7,2,1
Meadows,2026-07-25,7,3,7,4,5
Meadows,2026-07-25,8,3,7,5,6
Meadows,2026-07-25,9,2,6,1,3
Meadows,2026-07-25,10,8,6,3,7
Meadows,2026-07-25,11,7,2,4,6
Meadows,2026-07-25,12,8,1,6,4
Cannington,2026-07-25,1,5,4,7,1
Cannington,2026-07-25,2,8,5,2,6
Cannington,2026-07-25,3,7,6,2,3
Cannington,2026-07-25,4,1,4,5,2
Cannington,2026-07-25,5,8,7,1,4
Cannington,2026-07-25,6,8,1,5,4
Cannington,2026-07-25,7,1,5,2,8
Cannington,2026-07-25,8,2,1,3,7
Cannington,2026-07-25,9,2,4,1,6
Cannington,2026-07-25,10,1,4,8,6
