Track,Date,Race,Winner,2nd,3rd,4th
Bulli,2026-08-04,1,1,3,2,8
Bulli,2026-08-04,2,2,4,1,5
Bulli,2026-08-04,3,2,5,8,6
Bulli,2026-08-04,4,2,3,7,9
Bulli,2026-08-04,5,7,4,6,5
Bulli,2026-08-04,6,4,6,7,2
Bulli,2026-08-04,7,2,8,4,5
Bulli,2026-08-04,8,3,8,7,2
Bulli,2026-08-04,9,1,4,7,3
Bulli,2026-08-04,10,2,9,3,8
Bulli,2026-08-04,11,8,5,3,4
Wagga,2026-08-04,1,6,4,2,8
Wagga,2026-08-04,2,1,8,4,5
Wagga,2026-08-04,3,7,8,1,5
Wagga,2026-08-04,4,5,1,2,8
Wagga,2026-08-04,5,1,2,3,6
Wagga,2026-08-04,6,3,2,4,8
Wagga,2026-08-04,7,1,7,2,4
Wagga,2026-08-04,8,3,5,2,8
Wagga,2026-08-04,9,4,1,2,6
Wagga,2026-08-04,10,5,3,8,2
Wagga,2026-08-04,11,5,7,4,8
Gosford,2026-08-04,1,6,4,8,7
Gosford,2026-08-04,2,8,4,7,1
Gosford,2026-08-04,3,8,1,6,3
Gosford,2026-08-04,4,4,6,5,8
Gosford,2026-08-04,5,6,8,2,4
Gosford,2026-08-04,6,6,2,8,4
Gosford,2026-08-04,7,3,8,4,7
Gosford,2026-08-04,8,8,6,2,3
Gosford,2026-08-04,9,8,7,6,4
Gosford,2026-08-04,10,5,2,1,8
Gosford,2026-08-04,11,2,8,4,6
Gosford,2026-08-04,12,7,6,3,8
Angle Park,2026-08-04,1,8,1,2,4
Angle Park,2026-08-04,2,8,7,2,5
Angle Park,2026-08-04,3,1,2,5,4
Angle Park,2026-08-04,4,1,2,7,8
Angle Park,2026-08-04,5,5,1,7,8
Angle Park,2026-08-04,6,1,4,8,7
Angle Park,2026-08-04,7,2,8,7,1
Angle Park,2026-08-04,8,2,5,8,4
Angle Park,2026-08-04,9,2,7,4,1
Angle Park,2026-08-04,10,8,1,2,5
Angle Park,2026-08-04,11,5,7,1,8
Angle Park,2026-08-04,12,1,5,7,2
Hobart,2026-08-04,1,6,2,5,1
Hobart,2026-08-04,2,8,4,7,3
Hobart,2026-08-04,3,6,7,5,8
Hobart,2026-08-04,4,2,3,7,8
Hobart,2026-08-04,5,8,6,2,3
Hobart,2026-08-04,6,5,8,4,2
Hobart,2026-08-04,7,1,3,2,8
Hobart,2026-08-04,8,2,4,3,5
Hobart,2026-08-04,9,1,7,4,2
Hobart,2026-08-04,10,7,6,4,1
Hobart,2026-08-04,11,6,1,5,4
Geelong,2026-08-04,1,6,5,2,7
Geelong,2026-08-04,2,1,6,3,8
Geelong,2026-08-04,3,8,2,1,5
Geelong,2026-08-04,4,8,5,6,3
Geelong,2026-08-04,5,7,4,3,5
Geelong,2026-08-04,6,3,9,1,8
Geelong,2026-08-04,7,4,6,1,5
Geelong,2026-08-04,8,7,5,8,2
Geelong,2026-08-04,9,2,4,6,1
Geelong,2026-08-04,10,8,2,4,5
Geelong,2026-08-04,11,8,6,1,5
Geelong,2026-08-04,12,4,1,3,7
Horsham,2026-08-04,1,1,8,4,2
Horsham,2026-08-04,2,8,7,2,6
Horsham,2026-08-04,3,5,4,1,3
Horsham,2026-08-04,4,8,3,6,1
Horsham,2026-08-04,5,2,1,8,7
Horsham,2026-08-04,6,4,8,7,6
Horsham,2026-08-04,7,6,3,1,2
Horsham,2026-08-04,8,6,1,8,4
Horsham,2026-08-04,9,7,4,1,8
Horsham,2026-08-04,10,7,1,4,3
Horsham,2026-08-04,11,3,6,1,7
Horsham,2026-08-04,12,5,1,3,7
Ladbrokes Q1 Lakeside,2026-08-04,1,1,3,5,6
Ladbrokes Q1 Lakeside,2026-08-04,2,4,6,2,3
Ladbrokes Q1 Lakeside,2026-08-04,3,2,3,8,6
Ladbrokes Q1 Lakeside,2026-08-04,4,4,2,5,6
Ladbrokes Q1 Lakeside,2026-08-04,5,1,7,8,3
Ladbrokes Q1 Lakeside,2026-08-04,6,4,5,1,6
Ladbrokes Q1 Lakeside,2026-08-04,7,3,4,5,7
Ladbrokes Q1 Lakeside,2026-08-04,8,4,3,5,1
Ladbrokes Q1 Lakeside,2026-08-04,9,6,4,1,5
Ladbrokes Q1 Lakeside,2026-08-04,10,3,1,2,6
Ladbrokes Q1 Lakeside,2026-08-04,11,3,8,7,1
Ladbrokes Q1 Lakeside,2026-08-04,12,3,8,6,1
Bet Nation Townsville,2026-08-04,1,3,8,1,4
Bet Nation Townsville,2026-08-04,2,3,7,2,5
Bet Nation Townsville,2026-08-04,3,1,3,4,2
Bet Nation Townsville,2026-08-04,4,8,1,2,7
Bet Nation Townsville,2026-08-04,5,8,2,6,7
Bet Nation Townsville,2026-08-04,6,3,6,7,8
Bet Nation Townsville,2026-08-04,7,6,7,2,4
Bet Nation Townsville,2026-08-04,8,2,1,8,7
Bet Nation Townsville,2026-08-04,9,1,2,5,4
Bet Nation Townsville,2026-08-04,10,3,5,7,4
Bet Nation Townsville,2026-08-04,11,7,6,4,5
Bet Nation Townsville,2026-08-04,12,8,7,6,4
Warragul,2026-08-04,1,1,3,7,4
Warragul,2026-08-04,2,4,7,1,8
Warragul,2026-08-04,3,2,8,4,7
Warragul,2026-08-04,4,7,2,6,3
Warragul,2026-08-04,5,8,6,7,1
Warragul,2026-08-04,6,8,3,1,2
Warragul,2026-08-04,7,2,4,3,5
Warragul,2026-08-04,8,4,3,7,6
Warragul,2026-08-04,9,5,4,1,6
Warragul,2026-08-04,10,4,8,3,7
Warragul,2026-08-04,11,5,4,3,7
Warragul,2026-08-04,12,6,7,8,5
Mandurah,2026-08-04,1,8,5,1,6
Mandurah,2026-08-04,2,2,8,6,7
Mandurah,2026-08-04,3,3,5,2,1
Mandurah,2026-08-04,4,2,3,5,8
Mandurah,2026-08-04,5,3,8,7,2
Mandurah,2026-08-04,6,6,2,3,8
Mandurah,2026-08-04,7,7,8,3,5
Mandurah,2026-08-04,8,8,2,3,4
Mandurah,2026-08-04,9,2,4,6,7
Mandurah,2026-08-04,10,6,7,8,2
