Track,Date,Race,Winner,2nd,3rd,4th
Taree,2026-09-12,1,2,3,1,6
Taree,2026-09-12,2,8,1,10,5
Taree,2026-09-12,3,7,5,4,1
Taree,2026-09-12,4,7,2,3,1
Taree,2026-09-12,5,2,4,1,8
Taree,2026-09-12,6,5,6,2,8
Taree,2026-09-12,7,1,4,2,8
Taree,2026-09-12,8,8,3,2,1
Taree,2026-09-12,9,1,4,5,7
Taree,2026-09-12,10,1,5,2,8
Taree,2026-09-12,11,4,8,3,6
Taree,2026-09-12,12,1,3,5,7
Dubbo,2026-09-12,1,1,2,7,6
Dubbo,2026-09-12,2,1,5,2,4
Dubbo,2026-09-12,3,1,8,4,2
Dubbo,2026-09-12,4,2,8,1,3
Dubbo,2026-09-12,5,8,3,4,2
Dubbo,2026-09-12,6,1,8,5,6
Dubbo,2026-09-12,7,6,3,5,4
Dubbo,2026-09-12,8,NOR,,,
Dubbo,2026-09-12,9,1,7,4,8
Dubbo,2026-09-12,10,3,8,2,5
Dubbo,2026-09-12,11,3,2,5,6
Wentworth Park,2026-09-12,1,1,2,7,8
Wentworth Park,2026-09-12,2,8,5,4,2
Wentworth Park,2026-09-12,3,5,7,8,4
Wentworth Park,2026-09-12,4,7,1,8,5
Wentworth Park,2026-09-12,5,6,7,9,2
Wentworth Park,2026-09-12,6,6,2,4,8
Wentworth Park,2026-09-12,7,2,4,1,3
Wentworth Park,2026-09-12,8,5,2,3,8
Wentworth Park,2026-09-12,9,5,8,3,7
Wentworth Park,2026-09-12,10,8,5,7,1
Wentworth Park,2026-09-12,11,7,1,2,4
Bendigo,2026-09-12,1,6,1,7,4
Bendigo,2026-09-12,2,5,2,8,7
Bendigo,2026-09-12,3,5,1,8,7
Bendigo,2026-09-12,4,8,4,5,7
Bendigo,2026-09-12,5,1,4,7,8
Bendigo,2026-09-12,6,4,7,8,1
Bendigo,2026-09-12,7,1,4,8,7
Bendigo,2026-09-12,8,2,4,5,8
Bendigo,2026-09-12,9,2,8,1,7
Bendigo,2026-09-12,10,8,2,1,4
Bendigo,2026-09-12,11,5,2,8,7
Bendigo,2026-09-12,12,8,6,7,4
Ladbrokes Q1 Lakeside,2026-09-12,1,5,7,3,2
Ladbrokes Q1 Lakeside,2026-09-12,2,6,5,8,7
Ladbrokes Q1 Lakeside,2026-09-12,3,2,8,4,5
Ladbrokes Q1 Lakeside,2026-09-12,4,6,4,3,2
Ladbrokes Q1 Lakeside,2026-09-12,5,3,6,1,4
Ladbrokes Q1 Lakeside,2026-09-12,6,3,2,1,7
Ladbrokes Q1 Lakeside,2026-09-12,7,7,2,6,5
Ladbrokes Q1 Lakeside,2026-09-12,8,8,3,5,1
Ladbrokes Q1 Lakeside,2026-09-12,9,7,1,8,2
Ladbrokes Q1 Lakeside,2026-09-12,10,3,7,6,2
Meadows,2026-09-12,1,8,1,2,6
Meadows,2026-09-12,2,1,5,2,7
Meadows,2026-09-12,3,1,2,3,5
Meadows,2026-09-12,4,4,7,8,2
Meadows,2026-09-12,5,7,8,5,3
Meadows,2026-09-12,6,6,1,4,8
Meadows,2026-09-12,7,5,7,2,1
Meadows,2026-09-12,8,2,8,1,4
Meadows,2026-09-12,9,1,7,8,3
Meadows,2026-09-12,10,8,4,9,5
Meadows,2026-09-12,11,6,2,7,3
Meadows,2026-09-12,12,3,8,7,2
Cannington,2026-09-12,1,4,1,7,2
Cannington,2026-09-12,2,8,3,2,5
Cannington,2026-09-12,3,3,7,1,2
Cannington,2026-09-12,4,6,4,8,2
Cannington,2026-09-12,5,3,6,7,1
Cannington,2026-09-12,6,8,4,1,2
Cannington,2026-09-12,7,4,8,6,1
Cannington,2026-09-12,8,8,4,6,2
