Track,Date,Race,Winner,2nd,3rd,4th
Dubbo,2026-09-07,1,8,5,3,4
Dubbo,2026-09-07,2,7,8,1,2
Dubbo,2026-09-07,3,6,7,1,4
Dubbo,2026-09-07,4,1,3,7,6
Dubbo,2026-09-07,5,2,8,7,4
Dubbo,2026-09-07,6,8,3,2,4
Dubbo,2026-09-07,7,7,6,5,1
Dubbo,2026-09-07,8,1,2,4,7
Dubbo,2026-09-07,9,1,6,8,5
Dubbo,2026-09-07,10,2,5,1,8
Grafton,2026-09-07,1,1,4,7,3
Grafton,2026-09-07,2,1,3,4,6
Grafton,2026-09-07,3,7,4,5,1
Grafton,2026-09-07,4,8,5,6,1
Grafton,2026-09-07,5,2,5,1,4
Grafton,2026-09-07,6,1,7,2,6
Grafton,2026-09-07,7,5,2,4,7
Grafton,2026-09-07,8,1,7,5,4
Grafton,2026-09-07,9,3,2,4,8
Grafton,2026-09-07,10,8,6,1,2
Grafton,2026-09-07,11,4,1,8,2
Grafton,2026-09-07,12,7,5,3,2
Maitland,2026-09-07,1,7,1,2,5
Maitland,2026-09-07,2,8,1,4,7
Maitland,2026-09-07,3,7,5,4,2
Maitland,2026-09-07,4,1,6,3,4
Maitland,2026-09-07,5,8,1,2,5
Maitland,2026-09-07,6,4,7,8,1
Maitland,2026-09-07,7,1,2,4,7
Maitland,2026-09-07,8,2,4,1,7
Maitland,2026-09-07,9,1,7,2,4
Healesville,2026-09-07,1,4,1,6,7
Healesville,2026-09-07,2,7,5,1,6
Healesville,2026-09-07,3,2,1,6,4
Healesville,2026-09-07,4,3,2,4,7
Healesville,2026-09-07,5,7,3,1,5
Healesville,2026-09-07,6,5,1,7,3
Healesville,2026-09-07,7,3,5,7,1
Healesville,2026-09-07,8,1,3,7,5
Healesville,2026-09-07,9,5,1,7,3
Healesville,2026-09-07,10,5,3,7,1
Healesville,2026-09-07,11,7,5,1,3
Healesville,2026-09-07,12,3,7,1,5
Traralgon,2026-09-07,1,8,3,7,2
Traralgon,2026-09-07,2,7,5,8,3
Traralgon,2026-09-07,3,8,4,3,2
Traralgon,2026-09-07,4,1,7,3,5
Traralgon,2026-09-07,5,4,1,3,2
Traralgon,2026-09-07,6,4,3,2,6
Traralgon,2026-09-07,7,8,6,7,3
Traralgon,2026-09-07,8,8,4,7,3
Traralgon,2026-09-07,9,3,2,4,5
Traralgon,2026-09-07,10,3,2,4,6
Traralgon,2026-09-07,11,2,5,6,3
Traralgon,2026-09-07,12,1,3,4,7
Warrnambool,2026-09-07,1,1,2,6,4
Warrnambool,2026-09-07,2,2,6,1,5
Warrnambool,2026-09-07,3,2,7,8,4
Warrnambool,2026-09-07,4,8,5,4,6
Warrnambool,2026-09-07,5,1,7,2,4
Warrnambool,2026-09-07,6,8,7,5,4
Warrnambool,2026-09-07,7,8,5,4,2
Warrnambool,2026-09-07,8,1,7,6,8
Warrnambool,2026-09-07,9,3,2,4,6
Warrnambool,2026-09-07,10,3,1,2,4
Warrnambool,2026-09-07,11,8,1,3,7
Warrnambool,2026-09-07,12,5,3,1,8
Northam,2026-09-07,1,2,7,5,8
Northam,2026-09-07,2,4,3,8,7
Northam,2026-09-07,3,2,6,7,4
Northam,2026-09-07,4,1,7,8,2
Northam,2026-09-07,5,2,1,7,8
Northam,2026-09-07,6,1,8,7,4
Northam,2026-09-07,7,7,4,1,2
Northam,2026-09-07,8,7,1,5,2
Northam,2026-09-07,9,4,2,1,7
Ladbrokes Q Straight,2026-09-07,1,6,7,2,3
Ladbrokes Q Straight,2026-09-07,2,7,5,1,4
Ladbrokes Q Straight,2026-09-07,3,5,7,3,2
Ladbrokes Q Straight,2026-09-07,4,2,4,1,3
Ladbrokes Q Straight,2026-09-07,5,7,2,3,1
Ladbrokes Q Straight,2026-09-07,6,3,1,2,8
Ladbrokes Q Straight,2026-09-07,7,4,1,3,6
Ladbrokes Q Straight,2026-09-07,8,3,9,7,4
Ladbrokes Q Straight,2026-09-07,9,7,4,2,5
Ladbrokes Q Straight,2026-09-07,10,6,3,8,2
Ladbrokes Q Straight,2026-09-07,11,8,4,7,5
Ladbrokes Q Straight,2026-09-07,12,8,6,1,2
Gawler,2026-09-07,1,4,2,8,1
Gawler,2026-09-07,2,2,4,1,8
Gawler,2026-09-07,3,1,6,4,8
Gawler,2026-09-07,4,6,8,2,1
Gawler,2026-09-07,5,1,2,6,4
Gawler,2026-09-07,6,1,4,2,6
Gawler,2026-09-07,7,1,2,6,4
Gawler,2026-09-07,8,2,6,1,7
Gawler,2026-09-07,9,8,6,1,2
Gawler,2026-09-07,10,1,8,4,6
Shepparton,2026-09-07,1,1,4,2,5
Shepparton,2026-09-07,2,1,6,2,3
Shepparton,2026-09-07,3,5,2,8,9
Shepparton,2026-09-07,4,5,2,1,6
Shepparton,2026-09-07,5,3,7,6,2
Shepparton,2026-09-07,6,8,4,6,2
Shepparton,2026-09-07,7,8,3,6,4
Shepparton,2026-09-07,8,6,1,3,8
Shepparton,2026-09-07,9,7,2,4,5
Shepparton,2026-09-07,10,2,1,7,3
Shepparton,2026-09-07,11,6,7,1,3
Shepparton,2026-09-07,12,2,8,3,5
Launceston,2026-09-07,1,3,6,8,4
Launceston,2026-09-07,2,6,2,4,8
Launceston,2026-09-07,3,6,1,8,7
Launceston,2026-09-07,4,1,3,7,2
Launceston,2026-09-07,5,2,7,3,4
Launceston,2026-09-07,6,4,6,1,3
Launceston,2026-09-07,7,6,2,5,8
Launceston,2026-09-07,8,4,2,7,3
Launceston,2026-09-07,9,2,6,3,1
Launceston,2026-09-07,10,5,8,9,4
