Track,Date,Race,Winner,2nd,3rd,4th
Casino,2026-06-02,1,4,8,3,2
Casino,2026-06-02,2,2,7,8,1
Casino,2026-06-02,3,2,3,6,8
Casino,2026-06-02,4,1,4,3,7
Casino,2026-06-02,5,8,1,3,4
Casino,2026-06-02,6,4,2,1,7
Casino,2026-06-02,7,3,4,2,5
Casino,2026-06-02,8,2,8,7,4
Casino,2026-06-02,9,4,3,8,5
Casino,2026-06-02,10,5,4,1,2
Bulli,2026-06-02,1,1,6,2,5
Bulli,2026-06-02,2,3,6,7,1
Bulli,2026-06-02,3,4,6,1,8
Bulli,2026-06-02,4,6,7,4,3
Bulli,2026-06-02,5,3,1,6,8
Bulli,2026-06-02,6,1,8,5,6
Bulli,2026-06-02,7,3,6,1,5
Bulli,2026-06-02,8,2,7,8,6
Bulli,2026-06-02,9,5,7,8,1
Bulli,2026-06-02,10,6,3,4,7
Gosford,2026-06-02,1,1,5,3,2
Gosford,2026-06-02,2,2,5,8,6
Gosford,2026-06-02,3,6,8,1,2
Gosford,2026-06-02,4,4,8,1,7
Gosford,2026-06-02,5,8,7,4,1
Gosford,2026-06-02,6,6,2,1,8
Gosford,2026-06-02,7,8,7,1,4
Gosford,2026-06-02,8,7,4,1,6
Gosford,2026-06-02,9,6,1,2,4
Gosford,2026-06-02,10,8,4,5,1
Gosford,2026-06-02,11,3,8,5,1
Gosford,2026-06-02,12,4,1,7,5
Angle Park,2026-06-02,1,2,8,1,4
Angle Park,2026-06-02,2,8,1,4,2
Angle Park,2026-06-02,3,1,2,5,4
Angle Park,2026-06-02,4,6,8,2,1
Angle Park,2026-06-02,5,7,8,4,2
Angle Park,2026-06-02,6,4,1,7,8
Angle Park,2026-06-02,7,5,7,1,8
Angle Park,2026-06-02,8,1,7,5,4
Angle Park,2026-06-02,9,8,4,2,7
Angle Park,2026-06-02,10,4,2,6,1
Angle Park,2026-06-02,11,8,2,1,4
Angle Park,2026-06-02,12,8,6,1,4
Hobart,2026-06-02,1,2,3,7,6
Hobart,2026-06-02,2,2,5,6,8
Hobart,2026-06-02,3,5,8,2,7
Hobart,2026-06-02,4,4,7,8,1
Hobart,2026-06-02,5,4,8,1,7
Hobart,2026-06-02,6,7,5,2,3
Hobart,2026-06-02,7,2,8,3,4
Hobart,2026-06-02,8,8,5,7,1
Hobart,2026-06-02,9,5,6,2,3
Hobart,2026-06-02,10,4,7,2,6
Ladbrokes Q1 Lakeside,2026-06-02,1,7,1,3,4
Ladbrokes Q1 Lakeside,2026-06-02,2,1,7,4,5
Ladbrokes Q1 Lakeside,2026-06-02,3,5,2,4,7
Ladbrokes Q1 Lakeside,2026-06-02,4,4,9,3,2
Ladbrokes Q1 Lakeside,2026-06-02,5,2,4,1,8
Ladbrokes Q1 Lakeside,2026-06-02,6,2,3,1,4
Ladbrokes Q1 Lakeside,2026-06-02,7,3,8,1,4
Ladbrokes Q1 Lakeside,2026-06-02,8,2,7,3,4
Ladbrokes Q1 Lakeside,2026-06-02,9,8,2,6,4
Ladbrokes Q1 Lakeside,2026-06-02,10,8,1,2,4
Ladbrokes Q1 Lakeside,2026-06-02,11,6,5,3,1
Ladbrokes Q1 Lakeside,2026-06-02,12,7,1,5,3
Horsham,2026-06-02,1,3,10,7,6
Horsham,2026-06-02,2,2,3,6,7
Horsham,2026-06-02,3,3,8,6,4
Horsham,2026-06-02,4,2,8,6,7
Horsham,2026-06-02,5,3,4,1,8
Horsham,2026-06-02,6,5,3,1,7
Horsham,2026-06-02,7,8,2,3,6
Horsham,2026-06-02,8,1,8,3,4
Horsham,2026-06-02,9,4,1,2,8
Horsham,2026-06-02,10,2,7,6,8
Horsham,2026-06-02,11,1,2,3,6
Horsham,2026-06-02,12,6,4,5,7
Geelong,2026-06-02,1,5,6,8,4
Geelong,2026-06-02,2,4,7,1,6
Geelong,2026-06-02,3,1,5,3,4
Geelong,2026-06-02,4,8,4,1,3
Geelong,2026-06-02,5,2,1,4,3
Geelong,2026-06-02,6,6,1,4,2
Geelong,2026-06-02,7,7,1,4,8
Geelong,2026-06-02,8,4,1,8,2
Geelong,2026-06-02,9,1,8,4,6
Geelong,2026-06-02,10,8,3,5,4
Geelong,2026-06-02,11,7,1,2,4
Geelong,2026-06-02,12,3,2,8,1
Warragul,2026-06-02,1,8,1,6,2
Warragul,2026-06-02,2,6,8,7,4
Warragul,2026-06-02,3,6,2,1,7
Warragul,2026-06-02,4,6,8,7,4
Warragul,2026-06-02,5,1,4,8,6
Warragul,2026-06-02,6,3,6,4,1
Warragul,2026-06-02,7,8,1,4,3
Warragul,2026-06-02,8,2,4,6,8
Warragul,2026-06-02,9,1,4,5,7
Warragul,2026-06-02,10,1,5,8,6
Warragul,2026-06-02,11,1,4,7,6
Warragul,2026-06-02,12,1,5,7,2
Bet Nation Townsville,2026-06-02,1,8,7,2,6
Bet Nation Townsville,2026-06-02,2,3,4,6,2
Bet Nation Townsville,2026-06-02,3,4,1,3,7
Bet Nation Townsville,2026-06-02,4,8,2,7,3
Bet Nation Townsville,2026-06-02,5,8,3,1,6
Bet Nation Townsville,2026-06-02,6,5,2,4,7
Bet Nation Townsville,2026-06-02,7,8,7,2,1
Bet Nation Townsville,2026-06-02,8,2,1,3,6
Bet Nation Townsville,2026-06-02,9,5,7,6,4
Bet Nation Townsville,2026-06-02,10,6,3,1,8
Bet Nation Townsville,2026-06-02,11,1,4,5,8
Bet Nation Townsville,2026-06-02,12,5,1,4,7
Mandurah,2026-06-02,1,6,3,2,7
Mandurah,2026-06-02,2,1,3,2,8
Mandurah,2026-06-02,3,4,3,2,1
Mandurah,2026-06-02,4,7,4,2,6
Mandurah,2026-06-02,5,8,3,1,4
Mandurah,2026-06-02,6,3,7,2,4
Mandurah,2026-06-02,7,3,5,2,4
Mandurah,2026-06-02,8,1,2,8,6
Mandurah,2026-06-02,9,7,8,5,2
Mandurah,2026-06-02,10,1,2,7,4
Mandurah,2026-06-02,11,8,7,4,6
