Track,Date,Race,Winner,2nd,3rd,4th
Richmond,2026-09-16,1,4,7,8,3
Richmond,2026-09-16,2,1,5,2,4
Richmond,2026-09-16,3,5,3,2,1
Richmond,2026-09-16,4,3,4,7,5
Richmond,2026-09-16,5,5,1,8,4
Richmond,2026-09-16,6,1,2,6,4
Richmond,2026-09-16,7,4,1,2,5
Richmond,2026-09-16,8,6,8,7,2
Richmond,2026-09-16,9,1,5,3,2
Richmond,2026-09-16,10,1,2,7,5
Richmond,2026-09-16,11,2,7,1,6
Richmond,2026-09-16,12,1,2,3,5
Nowra,2026-09-16,1,8,6,4,7
Nowra,2026-09-16,2,3,5,6,2
Nowra,2026-09-16,3,7,8,6,3
Nowra,2026-09-16,4,8,3,6,1
Nowra,2026-09-16,5,7,6,5,1
Nowra,2026-09-16,6,6,1,3,8
Nowra,2026-09-16,7,1,8,4,6
Nowra,2026-09-16,8,8,6,3,4
Nowra,2026-09-16,9,5,7,4,2
Nowra,2026-09-16,10,1,5,2,7
Taree,2026-09-16,1,4,1,6,7
Taree,2026-09-16,2,2,1,5,4
Taree,2026-09-16,3,4,2,5,1
Taree,2026-09-16,4,7,8,1,4
Taree,2026-09-16,5,2,6,1,7
Taree,2026-09-16,6,8,7,3,5
Taree,2026-09-16,7,1,5,2,7
Taree,2026-09-16,8,7,8,4,5
Taree,2026-09-16,9,4,8,2,3
Taree,2026-09-16,10,3,4,1,6
Taree,2026-09-16,11,1,6,2,4
Taree,2026-09-16,12,5,1,8,6
Bendigo,2026-09-16,1,2,9,5,4
Bendigo,2026-09-16,2,4,2,5,8
Bendigo,2026-09-16,3,8,2,1,6
Bendigo,2026-09-16,4,2,1,5,7
Bendigo,2026-09-16,5,1,9,4,6
Bendigo,2026-09-16,6,3,8,2,1
Bendigo,2026-09-16,7,4,1,3,2
Bendigo,2026-09-16,8,3,2,6,1
Bendigo,2026-09-16,9,1,4,8,3
Bendigo,2026-09-16,10,3,2,8,7
Bendigo,2026-09-16,11,2,6,5,3
Bendigo,2026-09-16,12,3,7,8,2
BetDeluxe Capalaba,2026-09-16,1,5,6,7,3
BetDeluxe Capalaba,2026-09-16,2,4,6,7,3
BetDeluxe Capalaba,2026-09-16,3,6,4,1,7
BetDeluxe Capalaba,2026-09-16,4,5,4,8,6
BetDeluxe Capalaba,2026-09-16,5,4,3,8,7
BetDeluxe Capalaba,2026-09-16,6,4,8,5,2
BetDeluxe Capalaba,2026-09-16,7,1,2,6,8
BetDeluxe Capalaba,2026-09-16,8,6,8,7,4
BetDeluxe Capalaba,2026-09-16,9,5,8,7,4
BetDeluxe Capalaba,2026-09-16,10,8,6,5,3
BetDeluxe Capalaba,2026-09-16,11,8,7,3,1
BetDeluxe Capalaba,2026-09-16,12,3,1,4,7
Murray Bridge Straight,2026-09-16,1,4,2,7,5
Murray Bridge Straight,2026-09-16,2,1,4,6,8
Murray Bridge Straight,2026-09-16,3,5,2,8,4
