Track,Date,Race,Winner,2nd,3rd,4th
Bulli,2026-09-08,1,5,6,3,4
Bulli,2026-09-08,2,4,3,6,2
Bulli,2026-09-08,3,7,1,8,2
Bulli,2026-09-08,4,2,1,8,3
Bulli,2026-09-08,5,4,3,1,8
Bulli,2026-09-08,6,7,4,2,8
Bulli,2026-09-08,7,2,1,5,4
Bulli,2026-09-08,8,7,2,8,1
Bulli,2026-09-08,9,8,2,6,4
Bulli,2026-09-08,10,8,4,3,5
Gosford,2026-09-08,1,5,1,2,4
Gosford,2026-09-08,2,1,3,8,7
Gosford,2026-09-08,3,5,3,6,8
Gosford,2026-09-08,4,3,4,2,8
Gosford,2026-09-08,5,4,8,1,5
Gosford,2026-09-08,6,3,4,2,7
Gosford,2026-09-08,7,1,3,6,2
Gosford,2026-09-08,8,2,3,5,1
Gosford,2026-09-08,9,7,3,4,1
Gosford,2026-09-08,10,2,5,7,3
Gosford,2026-09-08,11,3,4,6,7
Gosford,2026-09-08,12,6,1,4,7
Wagga,2026-09-08,1,8,7,5,1
Wagga,2026-09-08,2,4,1,7,5
Wagga,2026-09-08,3,5,7,4,2
Wagga,2026-09-08,4,7,4,2,1
Wagga,2026-09-08,5,1,2,7,8
Wagga,2026-09-08,6,8,1,7,4
Wagga,2026-09-08,7,2,3,8,7
Wagga,2026-09-08,8,8,7,2,6
Wagga,2026-09-08,9,1,8,4,7
Wagga,2026-09-08,10,1,2,6,7
Angle Park,2026-09-08,1,6,4,8,1
Angle Park,2026-09-08,2,4,7,2,5
Angle Park,2026-09-08,3,1,7,2,8
Angle Park,2026-09-08,4,10,9,7,5
Angle Park,2026-09-08,5,1,2,4,10
Angle Park,2026-09-08,6,10,7,9,8
Angle Park,2026-09-08,7,2,5,10,8
Angle Park,2026-09-08,8,8,7,4,5
Angle Park,2026-09-08,9,1,8,4,5
Angle Park,2026-09-08,10,1,2,5,7
Angle Park,2026-09-08,11,4,1,2,5
Angle Park,2026-09-08,12,1,5,7,8
Launceston,2026-09-08,1,1,2,6,3
Launceston,2026-09-08,2,4,1,7,8
Launceston,2026-09-08,3,4,1,8,2
Launceston,2026-09-08,4,5,3,1,6
Launceston,2026-09-08,5,1,5,7,6
Launceston,2026-09-08,6,6,3,8,4
Launceston,2026-09-08,7,3,1,7,2
Launceston,2026-09-08,8,2,6,5,1
Launceston,2026-09-08,9,3,5,6,1
Launceston,2026-09-08,10,1,7,8,2
Geelong,2026-09-08,1,6,1,2,5
Geelong,2026-09-08,2,3,5,2,8
Geelong,2026-09-08,3,4,7,5,6
Geelong,2026-09-08,4,4,1,3,8
Geelong,2026-09-08,5,5,8,1,2
Geelong,2026-09-08,6,3,2,6,7
Geelong,2026-09-08,7,5,2,8,3
Geelong,2026-09-08,8,6,3,4,7
Geelong,2026-09-08,9,6,7,4,8
Geelong,2026-09-08,10,8,6,1,5
Geelong,2026-09-08,11,5,6,2,7
Geelong,2026-09-08,12,4,3,8,2
Horsham,2026-09-08,1,4,6,1,3
Horsham,2026-09-08,2,1,3,8,4
Horsham,2026-09-08,3,7,2,1,8
Horsham,2026-09-08,4,4,2,5,8
Horsham,2026-09-08,5,7,6,8,3
Horsham,2026-09-08,6,7,6,2,4
Horsham,2026-09-08,7,5,6,3,2
Horsham,2026-09-08,8,2,4,8,1
Horsham,2026-09-08,9,1,4,6,7
Horsham,2026-09-08,10,1,7,2,8
Horsham,2026-09-08,11,5,2,3,4
Horsham,2026-09-08,12,6,1,3,4
Ladbrokes Q1 Lakeside,2026-09-08,1,2,8,1,4
Ladbrokes Q1 Lakeside,2026-09-08,2,7,1,2,8
Ladbrokes Q1 Lakeside,2026-09-08,3,3,5,6,8
Ladbrokes Q1 Lakeside,2026-09-08,4,7,1,5,4
Ladbrokes Q1 Lakeside,2026-09-08,5,3,1,4,8
Ladbrokes Q1 Lakeside,2026-09-08,6,1,2,6,4
Ladbrokes Q1 Lakeside,2026-09-08,7,2,6,7,1
Ladbrokes Q1 Lakeside,2026-09-08,8,2,7,4,3
Ladbrokes Q1 Lakeside,2026-09-08,9,7,5,2,4
Ladbrokes Q1 Lakeside,2026-09-08,10,2,4,8,7
Ladbrokes Q1 Lakeside,2026-09-08,11,7,2,5,4
Ladbrokes Q1 Lakeside,2026-09-08,12,4,6,3,2
Bet Nation Townsville,2026-09-08,1,2,4,7,3
Bet Nation Townsville,2026-09-08,2,10,8,2,3
Bet Nation Townsville,2026-09-08,3,7,8,6,3
Bet Nation Townsville,2026-09-08,4,1,5,8,7
Bet Nation Townsville,2026-09-08,5,8,6,7,3
Bet Nation Townsville,2026-09-08,6,3,1,7,5
Bet Nation Townsville,2026-09-08,7,1,4,6,7
Bet Nation Townsville,2026-09-08,8,8,1,5,6
Bet Nation Townsville,2026-09-08,9,6,5,4,7
Bet Nation Townsville,2026-09-08,10,8,7,9,3
Bet Nation Townsville,2026-09-08,11,8,3,4,6
Bet Nation Townsville,2026-09-08,12,1,5,9,8
Warragul,2026-09-08,1,1,3,4,2
Warragul,2026-09-08,2,4,8,6,2
Warragul,2026-09-08,3,4,1,8,3
Warragul,2026-09-08,4,2,3,4,5
Warragul,2026-09-08,5,8,6,4,2
Warragul,2026-09-08,6,3,5,1,7
Warragul,2026-09-08,7,3,6,8,2
Warragul,2026-09-08,8,4,5,6,2
Warragul,2026-09-08,9,7,5,4,6
Warragul,2026-09-08,10,6,1,8,4
Warragul,2026-09-08,11,5,7,2,8
Warragul,2026-09-08,12,1,4,8,2
Darwin,2026-09-08,1,4,8,7,5
Darwin,2026-09-08,2,4,2,1,8
Darwin,2026-09-08,3,5,4,8,7
Darwin,2026-09-08,4,6,1,2,8
Darwin,2026-09-08,5,1,7,8,2
Darwin,2026-09-08,6,4,6,1,2
Darwin,2026-09-08,7,5,7,1,8
Darwin,2026-09-08,8,7,1,4,8
Darwin,2026-09-08,9,1,4,5,8
Mandurah,2026-09-08,1,8,3,2,1
Mandurah,2026-09-08,2,2,3,8,1
Mandurah,2026-09-08,3,3,8,2,7
Mandurah,2026-09-08,4,3,7,4,2
Mandurah,2026-09-08,5,6,2,4,1
Mandurah,2026-09-08,6,3,1,4,2
Mandurah,2026-09-08,7,2,1,7,8
Mandurah,2026-09-08,8,1,6,4,8
Mandurah,2026-09-08,9,4,1,2,6
Mandurah,2026-09-08,10,8,4,3,7
