================================================================================
BEST BETS RANKING REPORT
Generated: 2026-06-21 07:17:43 (Sunday)
Races ranked by score gap between 1st and 2nd place dogs.
Largest gap = strongest model confidence / best bet.
================================================================================
📊 GAP SUMMARY: median 3.14%  |  ≥20%: 5 race(s)  |  ≥10%: 18 race(s)  |  Total: 120 races
================================================================================

Rank  Track            Race       Gap  1st Dog                        1st%  2nd Dog                        2nd%
53    SALE             R10    3.7786%  Box 8 Mighty Miss            21.8319%  Box 4 Aston Fontaine         18.0533%
54    Capalaba         R8     3.7264%  Box 5 Lovely Bubbly          24.4564%  Box 4 Milchick               20.7300%
55    GAWLER           R8     3.5957%  Box 4 Zinfandel Emma         21.1737%  Box 5 Victa Krev             17.5780%
56    SALE             R11    3.5643%  Box 8 Paw Xyla               17.6711%  Box 1 Border Beast           14.1068%
57    GAWLER           R7     3.4860%  Box 2 Sinaloa Bandit         18.5514%  Box 7 Victa Wally            15.0654%
58    MT GAMBIER       R10    3.3910%  Box 8 Gus Limes              24.5052%  Box 2 Compton Lass           21.1142%
59    DUBBO            R4     3.2655%  Box 1 Hand Me Down           15.2877%  Box 8 Sadie Mcgraw           12.0222%
60    ROCKHAMPTON      R6     3.2004%  Box 1 Abraxos                15.5717%  Box 2 Miss Senorita          12.3713%
61    DARWIN           R1     3.0830%  Box 8 Jet Black Ginger       24.0896%  Box 2 Zombie Boss            21.0066%
62    MT GAMBIER       R11    3.0239%  Box 8 Speechless             18.4990%  Box 2 Shanny Rose            15.4751%
63    Capalaba         R11    2.9752%  Box 4 Grab A Donut           22.4735%  Box 6 Walking Carpet         19.4983%
64    GAWLER           R11    2.8719%  Box 4 Altocumulus            15.3717%  Box 8 Zipping Theron         12.4998%
65    MT GAMBIER       R1     2.7820%  Box 4 Divine Power           22.3089%  Box 2 Brian                  19.5269%
66    RICHMOND         R11    2.7590%  Box 3 Electric Blue          16.5831%  Box 8 Prince Legacy          13.8241%
67    HEALESVILLE      R10    2.7426%  Box 7 Red River Rogue        20.6992%  Box 8 Mccreery               17.9566%
68    DUBBO            R8     2.6016%  Box 2 Coco Mac               17.1210%  Box 5 Bogan Whiskey          14.5194%
69    Q PARKLANDS      R2     2.5551%  Box 2 True Hornet            24.1664%  Box 3 Sobriquet              21.6113%
70    RICHMOND         R8     2.3619%  Box 2 Hovering               17.3600%  Box 1 Dashing For Gold       14.9981%
71    DUBBO            R5     2.3472%  Box 5 Sky Keeping            18.8857%  Box 1 Little Esmeralda       16.5385%
72    GAWLER           R6     2.3391%  Box 2 Parrakie               17.8166%  Box 5 Crocodile Roll         15.4775%
73    RICHMOND         R9     2.3189%  Box 2 Zipping Admiral        15.7215%  Box 5 Out Pace               13.4026%
74    RICHMOND         R1     2.0209%  Box 1 Pretzel Keeping        12.9784%  Box 2 Scott Matrix           10.9575%
75    BROKEN HILL      R2     1.9855%  Box 8 Wrinkled Henry         18.9550%  Box 1 Sweet Spot             16.9695%
76    DUBBO            R7     1.9084%  Box 1 Nangar Charm           16.3742%  Box 2 Nangar Fly             14.4658%
