Track,RaceNumber,Box,DogName,FinalScore,PrizeMoney,FormNumber,Trainer,SexAge,Weight,Draw,CareerWins,CareerPlaces,CareerStarts,RTC,DLR,DLW,RaceDate,RaceTime,Distance,BoxBiasFactor,BestTimeSec,Last3TimesSec,SectionalSec,TimeConverted,Margins,TrackConditionAdj,RestFactor,Speed_kmh,EarlySpeedIndex,FinishConsistency,MarginAvg,FormMomentum,ConsistencyIndex,RecentFormBoost,DistanceSuit,TrainerStrikeRate,OverexposedPenalty,PlaceRate,DLWFactor,WeightFactor,DrawFactor,FormMomentumNorm,MarginFactor,RTCFactor,BoxPositionBias,BoxPlaceRate,BoxTop3Rate,TrackBox1Adjustment,TrackBox4Adjustment,AgeMonths,AgeFactor,RailPreference,BoxPenaltyFactor,SpeedAtDistance,SpeedClassification,ExperienceTier,WinStreakFactor,FreshnessFactor,ClassRating,GradeFactor,Last3AvgFinish,Last3FinishFactor,RaceDistanceCategory,DistanceChangeFactor,IsFrontRunner,PaceBoxFactor,TrainerTier,FreshnessFactorV2,AgeFactorV2,TrackSurface,SurfacePreferenceFactor,WinPlaceRate,EarlySpeedPercentile,BestTimePercentile,FieldSpeedStd,FieldTimeStd,FieldSimilarityIndex,TrackUpsetFactor,CompetitorDensity,CompetitorAdjustment,FieldSize,FieldSizeAdjustment,WinStreakFactorV2,CloserBonus,TrainerMomentum
Meadows,6,4,Paw Waverly,109.99337156831352,33875.0,12231,Daniel Gibbons,2b,0.0,4,9,12,30,20.0,6,6.0,2025-11-27,08:32PM,525,0.0,29.89,"[29.89, 29.93]",5.03,,[],1.0,0.8,63.23185011709602,104.37375745526839,0.019999999999999574,0,0,0.3,0.5,0.7,0.3114754098360656,0.0,0.4,1.0,0.5,0.85,0.5,0.6,0.0,0.03,0.01999999999999999,0.005333333333333338,0.0,0.0,24,1.0,0.0,1.05,17.56440281030445,1.0,1.0,1.3,1.0,0.2076407826834934,1.0,0,1.0,MIDDLE,1.0,True,1.02,1.15,1.0,1.0,SAND,1.0302,0.7,0.875,0.375,0.693291335496127,0.4596168176292277,1.1,0.85,0.375,1.1,8,0.0,1.3,1.0,1.12
Angle Park,12,1,Busting,109.25770577118217,6395.0,22711,Judith Hurley,2d,0.0,1,8,6,20,21.0,3,3.0,2025-10-16,10:35PM,342,0.0,19.26,"[19.73, 19.26]",4.65,,[],1.0,0.8,63.92523364485981,73.54838709677419,0.23499999999999943,0,0,0.4,1.0,0.7,0.2903225806451613,0.0,0.3,1.0,0.5,1.0,0.5,0.6,0.0,0.16499999999999998,0.016999999999999987,0.04066666666666666,0.08,0.0,24,1.0,0.02,1.12,17.75700934579439,1.0,1.0,1.3,0.85,0.20173297815742275,0.95,0,1.0,SPRINT,1.0,False,0.95,1.15,0.85,1.0,SAND,1.0302,0.7,0.2,1.0,0.9199412846650765,0.17282939564784536,1.1,0.8,0.2,1.1,5,0.02,1.3,1.0,1.12
SANDOWN,7,1,Sharapova Star,109.00839544077938,163430.0,13113,Tina Womann,3b,0.0,1,21,18,51,52.0,7,14.0,2025-11-29,08:35PM,515,0.0,29.25,"[29.25, 29.88, 29.87]",4.96,,[],1.0,0.8,63.384615384615394,103.83064516129032,0.2946561084081275,0,0,0.4117647058823529,0.5,1.0,0.4,0.0,0.35294117647058826,1.0,0.5,1.0,0.5,0.6,0.04,0.145,0.016999999999999987,0.04066666666666666,0.06,0.0,36,1.05,0.02,1.12,17.60683760683761,1.0,0.95,1.2,1.0,0.3496787359496213,0.95,0,1.0,MIDDLE,0.92,True,1.1,1.15,1.0,1.05,SAND,1.01,0.7647058823529411,0.95,0.4,0.5514612200856513,0.16180921550462576,1.1,0.85,0.4,1.1,10,0.005,1.2,1.0,1.12
Cannington,5,6,Our Ozzie Salute,108.84510113128184,169382.0,21151,Jamie Marsh,3d,0.0,6,12,18,39,12.0,7,7.0,2025-11-29,08:27PM,520,-0.25,29.41,"[29.94, 29.66, 29.41]",5.39,,[],1.0,0.8,63.65181910914655,96.47495361781077,0.21648710508172736,0,0,0.3076923076923077,0.5,0.7,0.3076923076923077,0.0,0.46153846153846156,1.0,0.5,0.7,0.5,0.6,0.0,-0.0030000000000000027,-0.023999999999999994,-0.010000000000000009,0.0,0.0,36,1.05,-0.01,0.97,17.68106086365182,1.0,1.0,1.3,1.0,0.890729583839805,1.0,0,1.0,MIDDLE,1.0,True,1.02,1.15,1.0,1.05,SAND,1.0302,0.7692307692307693,0.9375,0.9375,0.7437935566859742,0.15968160284050892,1.1,0.82,0.25,1.1,8,0.0,1.3,1.0,1.12
WENTWORTH PARK,3,1,My Cupcake,108.34298337025751,17305.0,14661,Susan Smith,2b,0.0,1,9,5,29,30.0,8,8.0,2025-11-29,07:42PM,520,0.5,29.65,"[29.98, 29.65]",4.98,,[],1.0,0.8,63.13659359190557,104.41767068273091,0.16500000000000092,0,0,0.3103448275862069,0.5,0.7,0.30927835051546393,0.0,0.1724137931034483,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,24,1.0,0.02,1.12,17.537942664418214,1.0,1.0,1.2,1.0,0.3081258999143983,1.0,0,1.0,MIDDLE,1.0,True,1.1,1.15,1.0,1.0,MIXED,1.02,0.4827586206896552,0.6666666666666666,0.5555555555555556,7.930453125227289,0.20202545808458325,0.8,0.92,0.3333333333333333,1.1,9,0.005,1.2,1.0,1.12
WENTWORTH PARK,4,1,Zipping Ariel,107.97507502447381,50010.0,24414,Courtney Barnes,2b,0.0,1,10,13,37,38.0,7,14.0,2025-11-29,08:08PM,520,-0.25,29.56,"[29.56, 29.98, 29.82]",4.36,,[],1.0,0.8,63.32882273342355,119.26605504587155,0.17307673314329633,0,0,0.2702702702702703,0.5,0.7,0.23333333333333334,0.0,0.35135135135135137,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,24,1.0,0.02,1.12,17.591339648173207,1.0,1.0,1.2,1.0,0.5238064362349291,1.0,0,1.0,MIDDLE,1.0,True,1.1,1.08,1.0,1.0,MIXED,1.02,0.6216216216216216,0.9,0.75,9.639808938548738,0.21294235004912684,0.8,0.92,0.3,1.1,10,0.005,1.2,1.0,1.12
GAWLER,1,1,Caribbean Crown,107.90528899174757,12215.0,12261,Ben Rawlings,2b,0.0,1,7,15,34,35.0,6,6.0,2025-11-26,11:57AM,643,0.0,38.04,[38.04],9.27,,[],1.0,0.8,60.851735015772874,69.36353829557713,0.0,0,0,0.20588235294117646,0.5,0.7,0.2966101694915254,0.0,0.4411764705882353,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,24,1.0,0.02,1.12,16.903259726603576,1.0,1.0,1.3,1.0,0.30804579542661437,1.0,0,1.0,LONG,1.0,False,0.95,1.15,1.0,1.0,SAND,1.0302,0.6470588235294118,0.2,0.6,,0.36472592449673763,1.1,0.87,0.0,1.1,5,0.02,1.3,1.0,1.12
Capalaba,6,1,Idea's Girl,107.30672968312807,33590.0,15312,John Quarman,2b,0.0,1,13,11,36,37.0,7,14.0,2025-11-23,01:34PM,366,0.0,19.59,"[19.9, 19.59]",1.8,,[],1.0,0.8,67.25880551301685,203.33333333333331,0.15499999999999936,0,0,0.3611111111111111,0.5,0.7,0.2727272727272727,0.0,0.3055555555555556,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,24,1.0,0.02,1.12,18.68300153139357,1.1,1.0,1.2,1.0,0.5193906956961492,1.0,0,1.0,SPRINT,1.0,True,1.1,1.15,1.0,1.0,MIXED,1.02,0.6666666666666666,0.8,1.0,3.9749634391642052,0.09754770912510301,0.8,1.0,0.4,1.1,10,0.005,1.2,1.0,1.06
SANDOWN,10,8,Daysea's Rory,107.28639436184866,468715.0,52611,Tom Tzouvelis,3d,0.0,8,26,24,75,76.0,7,7.0,2025-11-29,09:45PM,515,0.0,29.15,"[29.3, 29.17, 29.15]",4.96,,[],1.0,0.8,63.60205831903945,103.83064516129032,0.06649979114420043,0,0,0.3466666666666667,0.5,1.0,0.3466666666666667,0.0,0.32,1.0,0.5,0.7,0.5,0.6,0.52,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,36,1.05,0.01,1.08,17.667238421955403,1.0,0.9,1.3,1.0,0.5921854864609785,0.95,0,1.0,MIDDLE,0.92,True,1.05,1.15,1.0,1.05,SAND,1.01,0.6666666666666666,0.8,0.6,0.516843397884719,0.15865506160040677,1.1,0.85,0.4,1.1,10,0.01,1.3,1.04,1.12
Meadows,9,8,Zipping Singh,107.02880549476981,23245.0,41771,Greg Johnson,2d,0.0,8,8,5,23,24.0,6,6.0,2025-11-27,09:33PM,525,0.0,,,5.1,,[],1.0,0.8,,102.94117647058825,0.0,0,0,0.34782608695652173,0.5,0.7,0.18018018018018017,0.0,0.21739130434782608,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,24,1.0,0.01,1.08,,0.95,1.0,1.3,1.0,0.1720036965837818,1.0,0,1.0,MIDDLE,1.0,False,1.0,1.03,1.0,1.0,SAND,1.0302,0.5652173913043478,0.1111111111111111,0.8888888888888888,0.9312717640349661,0.29157617643879435,1.1,0.85,0.3333333333333333,1.1,9,0.01,1.3,1.08,1.12
