Track,Race,OurPick,OurDog,OurScore,ActualWinner,ActualTop3,IsWinner,IsTop3
Temora,1,10,Chasin' Sal,19.321034846280998,1,"[1, 7, 4]",False,False
Temora,2,2,Geani Bale,20.188086326785655,1,"[1, 4, 3]",False,False
Temora,3,1,Lumeah Poppy,19.92022891137401,8,"[8, 3, 5]",False,False
Temora,4,4,Aston Wrapper,19.75603011043619,8,"[8, 1, 6]",False,False
Temora,5,2,Lone Dazzler,18.75804173879174,1,"[1, 8, 7]",False,False
Temora,6,2,Dolly's Hope,20.31556351660298,8,"[8, 7, 2]",False,True
Temora,7,8,My Three Boys,20.034536971157287,8,"[8, 7, 5]",True,True
Temora,8,5,Lucy Valentine,20.626866683616758,1,"[1, 7, 8]",False,False
Temora,9,5,Mala Angel,20.817367169201276,5,"[5, 1, 8]",True,True
Temora,10,2,Run Bindi Run,19.737588307469537,8,"[8, 2, 1]",False,True
Taree,1,2,Sugar Drop Baby,18.446617282414053,3,"[3, 8, 4]",False,False
Taree,2,1,Coin Counter,21.339103169311247,1,"[1, 8, 2]",True,True
Gunnedah,1,10,Palawa Nightfire,20.77656810160719,7,"[7, 2, 5]",False,False
Gunnedah,2,4,Beau Bush,23.10644509567119,4,"[4, 2, 8]",True,True
Gunnedah,3,4,Barefoot Chaos,21.37739089091011,2,"[2, 6, 3]",False,False
Gunnedah,4,7,Hong Kong Phooey,18.559116088931837,3,"[3, 5, 9]",False,False
Gunnedah,5,3,Naughty Evie,18.5412346608541,7,"[7, 2, 3]",False,True
Gunnedah,6,5,Kiarni Phoenix,24.828866550873958,7,"[7, 4, 6]",False,False
Gunnedah,7,1,Fearless Parker,21.806101860497886,7,"[7, 4, 1]",False,True
Gunnedah,8,2,Raven Nighthawk,21.591077719989936,6,"[6, 1, 8]",False,False
Gunnedah,9,1,Rutland Jack,20.656184880756772,5,"[5, 2, 1]",False,True
Gunnedah,10,5,Fidel Pronto,22.53722106024151,5,"[5, 7, 3]",True,True
Gunnedah,11,4,Nanna Berridge,25.74801393409637,6,"[6, 2, 3]",False,False
Gunnedah,12,10,Not Much Kuna,20.63739990108245,2,"[2, 6, 1]",False,False
