Box,DogName,FormNumber,Trainer,SexAge,Weight,Draw,CareerWins,CareerPlaces,CareerStarts,PrizeMoney,RTC,DLR,DLW,RaceNumber,RaceDate,RaceTime,Track,Distance,BestTimeSec,SectionalSec,Last3TimesSec,Margins,BoxBiasFactor,TrackConditionAdj,Speed_kmh,EarlySpeedIndex,FinishConsistency,MarginAvg,FormMomentum,ConsistencyIndex,RecentFormBoost,DistanceSuit,TrainerStrikeRate,RestFactor,OverexposedPenalty,FinalScore
1,Qwerty,71434,Kaylene Hatzi,2b,0.0,1,10,13,34,19900.0,35,7,35,4,2025-10-19,07:53PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.29411764705882354,0.5,0.7,0.15,0.8,0.0,27.412310346629983
2,Maximus Will,55145,Kaylene Hatzi,3d,0.0,2,13,24,64,29670.0,65,7,28,4,2025-10-19,07:53PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.203125,0.5,0.7,0.15,0.8,0.0,28.380211081924102
4,Cobble Giblet,22456,Judith Hurley,3b,0.0,4,9,16,58,18835.0,59,4,131,4,2025-10-19,07:53PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.15517241379310345,1.0,0.7,0.15,0.8,0.0,27.341915823303413
5,Sweet Pea,17361,Kaylene Hatzi,5b,0.0,5,14,28,69,31695.0,12,7,7,4,2025-10-19,07:53PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.2028985507246377,0.5,0.7,0.15,0.8,0.0,28.582688436996563
7,Del Mar Jessie,61522,Kaylene Hatzi,2b,0.0,7,6,6,21,9725.0,22,7,35,4,2025-10-19,07:53PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.2857142857142857,0.5,0.7,0.15,0.8,0.0,26.39397001049553
8,Uncontested,35321,Kaylene Hatzi,4b,0.0,8,12,31,90,30375.0,31,7,7,4,2025-10-19,07:53PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.13333333333333333,0.5,0.7,0.15,0.8,-0.1,28.343731915257433
1,High Flux,15223,Brock Wilson,5b,0.0,1,10,20,63,26280.0,20,7,56,5,2025-10-19,08:14PM,BROKEN HILL,525,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,84.0,61.76470588235294,0.10208928554075702,7.2,2.6500000000000004,0.15873015873015872,0.5,0.7,0.15,0.8,0.0,27.770396136770696
2,Skedaddle Percy,13111,Regan Edgecumbe,2d,0.0,2,5,7,20,9825.0,16,7,7,5,2025-10-19,08:14PM,BROKEN HILL,525,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,84.0,61.76470588235294,0.10208928554075702,7.2,2.6500000000000004,0.25,0.5,0.7,0.15,0.8,0.0,26.143150105024667
5,Raven Zaylee,51452,Clayton Trengove,2b,0.0,5,3,8,18,7575.0,19,7,35,5,2025-10-19,08:14PM,BROKEN HILL,525,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,84.0,61.76470588235294,0.10208928554075702,7.2,2.6500000000000004,0.16666666666666666,0.5,0.7,0.15,0.8,0.0,25.901483438358
7,Husky Sing,57144,Susan Gray,3b,0.0,7,5,9,36,14455.0,31,7,35,5,2025-10-19,08:14PM,BROKEN HILL,525,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,84.0,61.76470588235294,0.10208928554075702,7.2,2.6500000000000004,0.1388888888888889,0.5,0.7,0.15,0.8,0.0,26.583927882802442
8,Skedaddle Boss,63311,Regan Edgecumbe,2d,0.0,8,5,22,42,15315.0,43,7,7,5,2025-10-19,08:14PM,BROKEN HILL,525,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,84.0,61.76470588235294,0.10208928554075702,7.2,2.6500000000000004,0.11904761904761904,0.5,0.7,0.15,0.8,0.0,26.66595962883419
1,Who Knows Wendy,56335,Kaylene Hatzi,4b,0.0,1,7,30,72,21905.0,23,7,70,6,2025-10-19,08:36PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.09722222222222222,0.5,0.7,0.15,0.8,0.0,27.593120804146324
2,Del Mar Beeper,22166,Kaylene Hatzi,2d,0.0,2,4,6,17,8255.0,18,7,28,6,2025-10-19,08:36PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.23529411764705882,0.5,0.7,0.15,0.8,0.0,26.241927993688808
3,Simpkin,62222,Tegan Gray,2d,0.0,3,3,9,33,8245.0,29,7,63,6,2025-10-19,08:36PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.09090909090909091,0.5,0.7,0.15,0.8,0.0,26.22648949101501
7,Masked Riot,87645,Susan Gray,2b,0.0,7,3,5,23,6270.0,16,7,63,6,2025-10-19,08:36PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.13043478260869565,0.5,0.7,0.15,0.8,0.0,26.03294206018497
8,Who Knows,54446,Terry Gaiter,3d,0.0,8,7,15,53,13965.0,27,7,175,6,2025-10-19,08:36PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.1320754716981132,0.5,0.7,0.15,0.8,0.0,26.802606129093913
