Track,Date,Race,Winner,2nd,3rd,4th
Nowra,2026-06-29,1,2,3,1,8
Nowra,2026-06-29,2,1,3,9,5
Nowra,2026-06-29,3,8,7,2,3
Nowra,2026-06-29,4,6,7,2,3
Nowra,2026-06-29,5,4,6,7,3
Nowra,2026-06-29,6,2,7,1,4
Nowra,2026-06-29,7,8,1,2,5
Nowra,2026-06-29,8,8,1,5,2
Nowra,2026-06-29,9,6,2,8,3
Maitland,2026-06-29,1,3,6,8,4
Maitland,2026-06-29,2,8,1,7,2
Maitland,2026-06-29,3,1,2,7,8
Maitland,2026-06-29,4,1,5,2,8
Maitland,2026-06-29,5,2,1,7,5
Maitland,2026-06-29,6,2,3,7,6
Maitland,2026-06-29,7,1,7,6,4
Maitland,2026-06-29,8,6,7,1,4
Maitland,2026-06-29,9,2,4,8,7
Maitland,2026-06-29,10,4,1,3,6
Shepparton,2026-06-29,1,4,2,7,8
Shepparton,2026-06-29,2,6,1,8,5
Shepparton,2026-06-29,3,2,1,7,8
Shepparton,2026-06-29,4,7,6,1,2
Shepparton,2026-06-29,5,7,4,1,3
Shepparton,2026-06-29,6,8,5,1,6
Shepparton,2026-06-29,7,1,4,8,7
Shepparton,2026-06-29,8,1,4,2,7
Shepparton,2026-06-29,9,4,5,7,8
Shepparton,2026-06-29,10,2,1,8,6
Shepparton,2026-06-29,11,8,6,1,3
Shepparton,2026-06-29,12,6,4,7,8
Warrnambool,2026-06-29,1,3,4,8,2
Warrnambool,2026-06-29,2,2,8,3,5
Warrnambool,2026-06-29,3,8,2,1,7
Warrnambool,2026-06-29,4,8,1,4,2
Warrnambool,2026-06-29,5,3,5,2,4
Warrnambool,2026-06-29,6,4,5,2,7
Warrnambool,2026-06-29,7,7,6,1,5
Warrnambool,2026-06-29,8,5,7,8,4
Warrnambool,2026-06-29,9,1,8,6,2
Warrnambool,2026-06-29,10,1,2,3,7
Warrnambool,2026-06-29,11,1,2,3,7
Warrnambool,2026-06-29,12,3,5,6,4
Traralgon,2026-06-29,1,3,7,8,2
Traralgon,2026-06-29,2,8,7,2,4
Traralgon,2026-06-29,3,4,5,6,8
Traralgon,2026-06-29,4,2,8,6,4
Traralgon,2026-06-29,5,4,2,7,3
Traralgon,2026-06-29,6,1,7,2,4
Traralgon,2026-06-29,7,5,1,3,6
Traralgon,2026-06-29,8,1,2,7,6
Traralgon,2026-06-29,9,4,7,1,2
Traralgon,2026-06-29,10,1,3,4,7
Traralgon,2026-06-29,11,1,2,8,6
Traralgon,2026-06-29,12,1,2,5,7
Northam,2026-06-29,1,1,4,5,8
Northam,2026-06-29,2,4,2,8,7
Northam,2026-06-29,3,2,1,5,4
Northam,2026-06-29,4,6,1,5,3
Northam,2026-06-29,5,7,2,4,6
Northam,2026-06-29,6,2,4,8,1
Northam,2026-06-29,7,8,2,6,7
Northam,2026-06-29,8,6,8,2,4
Ladbrokes Q Straight,2026-06-29,1,9,1,5,4
Ladbrokes Q Straight,2026-06-29,2,4,5,7,3
Ladbrokes Q Straight,2026-06-29,3,6,3,2,4
Ladbrokes Q Straight,2026-06-29,4,3,5,1,6
Ladbrokes Q Straight,2026-06-29,5,3,6,5,1
Ladbrokes Q Straight,2026-06-29,6,7,6,5,1
Ladbrokes Q Straight,2026-06-29,7,8,5,1,3
Ladbrokes Q Straight,2026-06-29,8,5,3,6,1
Ladbrokes Q Straight,2026-06-29,9,6,2,8,1
Ladbrokes Q Straight,2026-06-29,10,4,6,2,5
Ladbrokes Q Straight,2026-06-29,11,4,1,5,8
Ladbrokes Q Straight,2026-06-29,12,5,8,1,3
Murray Bridge,2026-06-29,1,6,2,4,8
Murray Bridge,2026-06-29,2,2,7,5,8
Murray Bridge,2026-06-29,3,5,1,7,3
Murray Bridge,2026-06-29,4,5,3,7,1
Murray Bridge,2026-06-29,5,4,6,8,1
Murray Bridge,2026-06-29,6,8,4,1,2
Murray Bridge,2026-06-29,7,7,3,1,5
Murray Bridge,2026-06-29,8,1,6,8,2
Sandown,2026-06-29,1,1,8,7,3
Sandown,2026-06-29,2,8,1,4,7
Sandown,2026-06-29,3,2,1,4,7
Sandown,2026-06-29,4,4,3,6,8
Sandown,2026-06-29,5,6,2,4,3
Sandown,2026-06-29,6,3,6,7,2
Sandown,2026-06-29,7,1,4,3,2
Sandown,2026-06-29,8,6,7,5,1
Sandown,2026-06-29,9,2,6,1,7
Sandown,2026-06-29,10,6,2,8,3
Launceston,2026-06-29,1,8,4,1,5
Launceston,2026-06-29,2,5,7,1,4
Launceston,2026-06-29,3,3,2,6,1
Launceston,2026-06-29,4,6,1,8,7
Launceston,2026-06-29,5,1,4,3,6
Launceston,2026-06-29,6,1,6,8,2
Launceston,2026-06-29,7,4,7,1,8
Launceston,2026-06-29,8,2,9,1,4
Launceston,2026-06-29,9,2,6,3,4
Launceston,2026-06-29,10,6,7,3,8
