Track,Date,Race,Winner,2nd,3rd,4th
RICHMOND,2026-01-18,1,2,7,5,8
RICHMOND,2026-01-18,2,2,4,5,3
RICHMOND,2026-01-18,3,3,2,1,6
RICHMOND,2026-01-18,4,7,2,8,6
RICHMOND,2026-01-18,5,8,4,7,2
RICHMOND,2026-01-18,6,6,2,3,8
RICHMOND,2026-01-18,7,4,3,1,2
RICHMOND,2026-01-18,8,4,7,5,2
RICHMOND,2026-01-18,9,1,8,5,4
RICHMOND,2026-01-18,10,5,2,7,6
RICHMOND,2026-01-18,11,6,2,3,5
RICHMOND,2026-01-18,12,8,7,5,1
GRAFTON,2026-01-18,1,6,4,5,2
GRAFTON,2026-01-18,2,4,6,7,8
GRAFTON,2026-01-18,3,7,5,1,4
GRAFTON,2026-01-18,4,1,2,8,6
GRAFTON,2026-01-18,5,7,2,3,8
GRAFTON,2026-01-18,6,2,8,7,4
GRAFTON,2026-01-18,7,3,5,2,4
GRAFTON,2026-01-18,8,7,6,3,2
GRAFTON,2026-01-18,9,2,7,3,1
GRAFTON,2026-01-18,10,8,7,5,4
GRAFTON,2026-01-18,11,1,8,4,2
GRAFTON,2026-01-18,12,3,2,4,1
HEALESVILLE,2026-01-18,1,6,7,2,1
HEALESVILLE,2026-01-18,2,6,4,5,8
HEALESVILLE,2026-01-18,3,2,7,4,1
HEALESVILLE,2026-01-18,4,8,2,4,7
HEALESVILLE,2026-01-18,5,8,6,5,7
HEALESVILLE,2026-01-18,6,8,2,3,7
HEALESVILLE,2026-01-18,7,3,2,7,1
HEALESVILLE,2026-01-18,8,1,2,6,5
HEALESVILLE,2026-01-18,9,5,4,2,8
HEALESVILLE,2026-01-18,10,6,5,2,4
HEALESVILLE,2026-01-18,11,1,8,3,4
HEALESVILLE,2026-01-18,12,7,1,8,6
BETDELUXE CAPALABA,2026-01-18,1,7,6,3,2
BETDELUXE CAPALABA,2026-01-18,2,4,7,1,2
BETDELUXE CAPALABA,2026-01-18,3,2,6,5,4
BETDELUXE CAPALABA,2026-01-18,4,4,6,1,3
BETDELUXE CAPALABA,2026-01-18,5,3,7,5,2
BETDELUXE CAPALABA,2026-01-18,6,4,8,1,7
BETDELUXE CAPALABA,2026-01-18,7,1,2,5,8
BETDELUXE CAPALABA,2026-01-18,8,3,1,9,4
BETDELUXE CAPALABA,2026-01-18,9,7,1,2,3
BETDELUXE CAPALABA,2026-01-18,10,1,7,4,8
BETDELUXE CAPALABA,2026-01-18,11,3,4,1,5
BETDELUXE CAPALABA,2026-01-18,12,4,6,2,1
MOUNT GAMBIER,2026-01-18,1,2,1,8,5
MOUNT GAMBIER,2026-01-18,2,4,2,1,6
MOUNT GAMBIER,2026-01-18,3,8,4,7,5
MOUNT GAMBIER,2026-01-18,4,5,2,4,7
MOUNT GAMBIER,2026-01-18,5,5,3,7,1
MOUNT GAMBIER,2026-01-18,6,1,9,2,4
MOUNT GAMBIER,2026-01-18,7,2,8,4,1
MOUNT GAMBIER,2026-01-18,8,2,5,4,8
MOUNT GAMBIER,2026-01-18,9,2,4,1,6
MOUNT GAMBIER,2026-01-18,10,2,1,4,6
SALE,2026-01-18,1,6,5,7,1
SALE,2026-01-18,2,5,2,1,3
SALE,2026-01-18,3,2,1,4,5
SALE,2026-01-18,4,2,8,7,5
SALE,2026-01-18,5,3,5,1,8
SALE,2026-01-18,6,7,8,4,3
SALE,2026-01-18,7,7,1,8,5
SALE,2026-01-18,8,8,6,7,1
SALE,2026-01-18,9,5,1,6,3
SALE,2026-01-18,10,4,1,3,7
SALE,2026-01-18,11,7,5,8,3
SALE,2026-01-18,12,4,1,7,3
LADBROKES Q2 PARKLANDS,2026-01-18,1,3,7,6,2
LADBROKES Q2 PARKLANDS,2026-01-18,2,1,6,4,2
LADBROKES Q2 PARKLANDS,2026-01-18,3,1,8,7,3
LADBROKES Q2 PARKLANDS,2026-01-18,4,8,1,7,6
LADBROKES Q2 PARKLANDS,2026-01-18,5,7,3,8,1
LADBROKES Q2 PARKLANDS,2026-01-18,6,7,3,8,2
LADBROKES Q2 PARKLANDS,2026-01-18,7,4,2,1,7
LADBROKES Q2 PARKLANDS,2026-01-18,8,3,5,9,1
LADBROKES Q2 PARKLANDS,2026-01-18,9,1,4,5,7
LADBROKES Q2 PARKLANDS,2026-01-18,10,1,8,6,3
LADBROKES Q2 PARKLANDS,2026-01-18,11,6,3,2,8
LADBROKES Q2 PARKLANDS,2026-01-18,12,7,8,1,4
GAWLER,2026-01-18,1,4,7,8,1
GAWLER,2026-01-18,2,8,7,2,5
GAWLER,2026-01-18,3,4,7,2,8
GAWLER,2026-01-18,4,8,5,4,2
GAWLER,2026-01-18,5,8,2,3,6
GAWLER,2026-01-18,6,5,8,2,4
GAWLER,2026-01-18,7,1,3,7,5
GAWLER,2026-01-18,8,1,2,3,5
GAWLER,2026-01-18,9,4,1,8,6
GAWLER,2026-01-18,10,1,7,5,4
DARWIN,2026-01-18,1,4,8,1,2
DARWIN,2026-01-18,2,3,2,8,1
DARWIN,2026-01-18,3,7,4,1,8
DARWIN,2026-01-18,4,8,4,2,6
DARWIN,2026-01-18,5,4,6,8,1
DARWIN,2026-01-18,6,4,6,1,2
DARWIN,2026-01-18,7,5,1,8,4
DARWIN,2026-01-18,8,1,4,2,5
DARWIN,2026-01-18,9,4,2,1,7
DARWIN,2026-01-18,10,4,8,6,2
DARWIN,2026-01-18,11,7,5,1,8
