Track,Date,Race,Winner,2nd,3rd,4th
Temora,2026-06-17,1,1,5,7,8
Temora,2026-06-17,2,3,6,8,1
Temora,2026-06-17,3,6,3,1,4
Temora,2026-06-17,4,8,7,4,6
Temora,2026-06-17,5,1,7,3,6
Temora,2026-06-17,6,5,3,8,4
Temora,2026-06-17,7,6,5,2,3
Temora,2026-06-17,8,3,8,4,5
Temora,2026-06-17,9,1,6,7,4
Temora,2026-06-17,10,8,1,7,4
Temora,2026-06-17,11,2,1,5,4
Temora,2026-06-17,12,3,6,2,4
Gunnedah,2026-06-17,1,8,7,1,3
Gunnedah,2026-06-17,2,3,4,1,8
Gunnedah,2026-06-17,3,6,4,5,3
Gunnedah,2026-06-17,4,2,1,7,3
Gunnedah,2026-06-17,5,6,3,5,8
Gunnedah,2026-06-17,6,3,1,2,4
Gunnedah,2026-06-17,7,7,6,2,5
Gunnedah,2026-06-17,8,3,2,7,5
Gunnedah,2026-06-17,9,7,4,2,1
Gunnedah,2026-06-17,10,7,2,6,4
Gunnedah,2026-06-17,11,1,6,2,4
Gunnedah,2026-06-17,12,6,3,5,2
Richmond,2026-06-17,1,0,0,0,0
Richmond,2026-06-17,2,7,4,2,3
Richmond,2026-06-17,3,2,5,4,3
Richmond,2026-06-17,4,1,3,4,2
Richmond,2026-06-17,5,1,2,7,5
Richmond,2026-06-17,6,4,2,1,5
Richmond,2026-06-17,7,1,6,5,8
Richmond,2026-06-17,8,3,8,1,7
Richmond,2026-06-17,9,4,1,2,8
Richmond,2026-06-17,10,7,4,2,8
Taree,2026-06-17,1,1,4,2,8
Taree,2026-06-17,2,0,0,0,0
Taree,2026-06-17,3,6,1,2,8
Taree,2026-06-17,4,10,2,1,8
Taree,2026-06-17,5,1,3,2,7
Taree,2026-06-17,6,1,7,8,4
Taree,2026-06-17,7,1,2,5,7
Taree,2026-06-17,8,1,8,4,6
Taree,2026-06-17,9,3,1,7,6
Taree,2026-06-17,10,5,8,1,6
Taree,2026-06-17,11,4,5,2,9
Taree,2026-06-17,12,2,5,3,7
Sale,2026-06-17,1,3,1,4,2
Sale,2026-06-17,2,2,5,1,4
Sale,2026-06-17,3,8,1,5,2
Sale,2026-06-17,4,8,1,4,2
Sale,2026-06-17,5,3,7,4,6
Sale,2026-06-17,6,6,8,7,5
Sale,2026-06-17,7,1,2,8,5
Sale,2026-06-17,8,2,6,1,5
Sale,2026-06-17,9,2,1,6,7
Sale,2026-06-17,10,7,2,5,1
Murray Bridge Straight,2026-06-17,1,8,5,7,1
Murray Bridge Straight,2026-06-17,2,1,7,2,4
Murray Bridge Straight,2026-06-17,3,1,2,7,5
Murray Bridge Straight,2026-06-17,4,8,2,1,4
Murray Bridge Straight,2026-06-17,5,2,4,1,7
Murray Bridge Straight,2026-06-17,6,8,6,7,1
Murray Bridge Straight,2026-06-17,7,8,7,1,4
Murray Bridge Straight,2026-06-17,8,8,1,5,4
Murray Bridge Straight,2026-06-17,9,8,6,1,2
Capalaba,2026-06-17,1,8,6,4,1
Capalaba,2026-06-17,2,7,4,2,8
Capalaba,2026-06-17,3,1,8,3,2
Capalaba,2026-06-17,4,3,6,8,1
Capalaba,2026-06-17,5,7,6,8,5
Capalaba,2026-06-17,6,2,4,8,1
Capalaba,2026-06-17,7,7,2,4,3
Capalaba,2026-06-17,8,8,1,3,2
Capalaba,2026-06-17,9,4,2,8,5
Capalaba,2026-06-17,10,4,8,1,3
Capalaba,2026-06-17,11,7,4,5,6
Capalaba,2026-06-17,12,6,2,3,4
Bendigo,2026-06-17,1,4,8,5,6
Bendigo,2026-06-17,2,5,9,8,7
Bendigo,2026-06-17,3,5,3,7,8
Bendigo,2026-06-17,4,6,1,3,2
Bendigo,2026-06-17,5,3,7,8,2
Bendigo,2026-06-17,6,6,5,8,4
Bendigo,2026-06-17,7,1,7,2,5
Bendigo,2026-06-17,8,4,1,5,8
Bendigo,2026-06-17,9,8,7,5,6
Bendigo,2026-06-17,10,5,7,2,8
Bendigo,2026-06-17,11,6,4,7,3
Bendigo,2026-06-17,12,4,3,1,5
Q Lakeside,2026-06-17,1,8,1,9,2
Q Lakeside,2026-06-17,2,6,2,4,3
Q Lakeside,2026-06-17,3,5,8,6,7
Q Lakeside,2026-06-17,4,1,7,6,3
Q Lakeside,2026-06-17,5,4,8,1,7
Q Lakeside,2026-06-17,6,2,4,3,7
Q Lakeside,2026-06-17,7,2,6,4,5
Q Lakeside,2026-06-17,8,3,1,7,5
Q Lakeside,2026-06-17,9,5,1,3,8
Q Lakeside,2026-06-17,10,8,3,7,6
Q Lakeside,2026-06-17,11,6,1,7,8
Q Lakeside,2026-06-17,12,3,8,7,1
Ballarat,2026-06-17,1,7,5,9,2
Ballarat,2026-06-17,2,4,8,1,6
Ballarat,2026-06-17,3,8,3,7,2
Ballarat,2026-06-17,4,2,6,7,1
Ballarat,2026-06-17,5,8,2,3,4
Ballarat,2026-06-17,6,2,8,6,7
Ballarat,2026-06-17,7,7,3,6,1
Ballarat,2026-06-17,8,5,1,4,6
Ballarat,2026-06-17,9,6,8,3,2
Ballarat,2026-06-17,10,1,5,3,2
Ballarat,2026-06-17,11,4,2,5,3
Ballarat,2026-06-17,12,1,5,7,8
Meadows,2026-06-17,1,1,2,4,5
Meadows,2026-06-17,2,2,7,8,4
Meadows,2026-06-17,3,8,3,4,2
Meadows,2026-06-17,4,6,2,7,4
Meadows,2026-06-17,5,4,6,8,5
Meadows,2026-06-17,6,4,6,8,7
Meadows,2026-06-17,7,5,7,4,6
Meadows,2026-06-17,8,6,2,7,1
Meadows,2026-06-17,9,4,7,5,2
Meadows,2026-06-17,10,5,8,3,2
Meadows,2026-06-17,11,2,4,7,8
Meadows,2026-06-17,12,5,1,8,4
Darwin,2026-06-17,1,8,4,5,3
Darwin,2026-06-17,2,4,6,1,8
Darwin,2026-06-17,3,2,6,8,4
Darwin,2026-06-17,4,5,4,2,8
Darwin,2026-06-17,5,4,8,2,7
Rockhampton,2026-06-17,1,4,2,7,1
Rockhampton,2026-06-17,2,4,8,1,7
Rockhampton,2026-06-17,3,2,4,6,8
Rockhampton,2026-06-17,4,4,3,5,6
Rockhampton,2026-06-17,5,3,6,1,5
Rockhampton,2026-06-17,6,1,3,2,6
Rockhampton,2026-06-17,7,6,1,5,8
Rockhampton,2026-06-17,8,6,2,5,3
Cannington,2026-06-17,1,8,4,2,1
Cannington,2026-06-17,2,1,5,7,4
Cannington,2026-06-17,3,3,1,6,2
Cannington,2026-06-17,4,8,2,5,1
Cannington,2026-06-17,5,8,2,6,1
Cannington,2026-06-17,6,1,2,4,8
Cannington,2026-06-17,7,6,4,1,2
Cannington,2026-06-17,8,8,6,5,1
Cannington,2026-06-17,9,2,1,5,8
Cannington,2026-06-17,10,1,8,5,4
