Track,Date,Race,Winner,2nd,3rd,4th
Temora,2026-03-25,1,2,3,4,5
Temora,2026-03-25,2,1,4,2,7
Temora,2026-03-25,3,3,7,6,4
Temora,2026-03-25,4,8,1,2,5
Temora,2026-03-25,5,8,6,3,2
Temora,2026-03-25,6,1,2,7,3
Temora,2026-03-25,7,6,7,2,9
Temora,2026-03-25,8,1,7,8,2
Temora,2026-03-25,9,5,1,8,2
Temora,2026-03-25,10,3,5,1,8
Temora,2026-03-25,11,1,8,7,4
Temora,2026-03-25,12,2,8,5,4
Gunnedah,2026-03-25,1,4,6,3,2
Gunnedah,2026-03-25,2,5,1,8,7
Gunnedah,2026-03-25,3,2,1,3,8
Gunnedah,2026-03-25,4,4,3,1,7
Gunnedah,2026-03-25,5,7,1,5,4
Gunnedah,2026-03-25,6,8,5,7,4
Gunnedah,2026-03-25,7,3,8,7,4
Gunnedah,2026-03-25,8,3,2,7,6
Gunnedah,2026-03-25,9,3,1,6,4
Gunnedah,2026-03-25,10,5,1,2,7
Gunnedah,2026-03-25,11,7,4,5,2
Gunnedah,2026-03-25,12,5,2,7,3
Taree,2026-03-25,1,4,8,1,5
Taree,2026-03-25,2,2,7,1,5
Taree,2026-03-25,3,2,4,8,7
Taree,2026-03-25,4,2,8,1,4
Taree,2026-03-25,5,7,3,4,5
Taree,2026-03-25,6,2,8,6,7
Taree,2026-03-25,7,1,3,8,5
Taree,2026-03-25,8,3,2,1,4
Taree,2026-03-25,9,2,7,3,5
Taree,2026-03-25,10,8,4,1,2
Taree,2026-03-25,11,1,8,6,2
Taree,2026-03-25,12,2,7,1,8
Richmond,2026-03-25,1,1,5,4,2
Richmond,2026-03-25,2,2,7,8,6
Richmond,2026-03-25,3,3,10,5,4
Richmond,2026-03-25,4,8,3,6,4
Richmond,2026-03-25,5,4,8,7,1
Richmond,2026-03-25,6,6,7,5,8
Richmond,2026-03-25,7,1,4,3,2
Richmond,2026-03-25,8,4,1,9,5
Richmond,2026-03-25,9,6,1,3,5
Richmond,2026-03-25,10,6,7,2,4
Richmond,2026-03-25,11,3,6,1,2
Richmond,2026-03-25,12,2,7,4,8
Healesville,2026-03-25,1,8,7,3,1
Healesville,2026-03-25,2,1,4,6,3
Healesville,2026-03-25,3,1,7,2,8
Healesville,2026-03-25,4,4,5,1,2
Healesville,2026-03-25,5,1,5,7,8
Healesville,2026-03-25,6,8,4,1,6
Healesville,2026-03-25,7,2,3,4,8
Healesville,2026-03-25,8,2,6,4,8
Healesville,2026-03-25,9,4,6,2,3
Healesville,2026-03-25,10,3,4,5,6
Healesville,2026-03-25,11,4,7,3,6
Healesville,2026-03-25,12,5,8,7,1
Murray Bridge Straight,2026-03-25,1,4,8,2,1
Murray Bridge Straight,2026-03-25,2,2,4,8,6
Murray Bridge Straight,2026-03-25,3,7,5,3,1
Murray Bridge Straight,2026-03-25,4,7,1,3,5
Murray Bridge Straight,2026-03-25,5,4,5,8,2
Murray Bridge Straight,2026-03-25,6,9,5,7,1
Murray Bridge Straight,2026-03-25,7,5,8,4,2
Murray Bridge Straight,2026-03-25,8,7,8,4,1
BetDeluxe Capalaba,2026-03-25,1,5,2,4,7
BetDeluxe Capalaba,2026-03-25,2,2,5,7,1
BetDeluxe Capalaba,2026-03-25,3,1,8,5,2
BetDeluxe Capalaba,2026-03-25,4,7,8,4,1
BetDeluxe Capalaba,2026-03-25,5,2,8,7,1
BetDeluxe Capalaba,2026-03-25,6,1,7,3,8
BetDeluxe Capalaba,2026-03-25,7,5,1,2,4
BetDeluxe Capalaba,2026-03-25,8,3,4,2,5
BetDeluxe Capalaba,2026-03-25,9,8,5,1,3
BetDeluxe Capalaba,2026-03-25,10,4,8,6,7
BetDeluxe Capalaba,2026-03-25,11,8,1,3,4
Bendigo,2026-03-25,1,1,4,2,6
Bendigo,2026-03-25,2,5,7,2,4
Bendigo,2026-03-25,3,2,4,7,5
Bendigo,2026-03-25,4,4,6,7,8
Bendigo,2026-03-25,5,8,5,4,7
Bendigo,2026-03-25,6,7,3,4,1
Bendigo,2026-03-25,7,3,6,8,2
Bendigo,2026-03-25,8,2,5,7,8
Bendigo,2026-03-25,9,8,4,1,6
Bendigo,2026-03-25,10,3,6,2,4
Bendigo,2026-03-25,11,3,2,8,1
