Track,Date,Race,Winner,2nd,3rd,4th
Nowra,2026-03-23,1,9,6,8,4
Nowra,2026-03-23,2,5,2,4,6
Nowra,2026-03-23,3,8,1,6,5
Nowra,2026-03-23,4,6,5,2,8
Nowra,2026-03-23,5,4,1,5,3
Nowra,2026-03-23,6,2,1,3,8
Nowra,2026-03-23,7,7,2,8,4
Nowra,2026-03-23,8,1,2,4,8
Nowra,2026-03-23,9,6,2,1,8
Nowra,2026-03-23,10,2,5,3,1
Maitland,2026-03-23,1,7,2,8,4
Maitland,2026-03-23,2,4,1,8,7
Maitland,2026-03-23,3,3,7,4,2
Maitland,2026-03-23,4,7,8,1,5
Maitland,2026-03-23,5,5,1,2,4
Maitland,2026-03-23,6,3,1,2,6
Maitland,2026-03-23,7,7,1,8,6
Maitland,2026-03-23,8,2,4,8,1
Maitland,2026-03-23,9,1,6,3,2
Maitland,2026-03-23,10,7,1,6,4
Maitland,2026-03-23,11,6,8,7,4
Ballarat,2026-03-23,1,2,3,8,7
Ballarat,2026-03-23,2,1,3,6,8
Ballarat,2026-03-23,3,5,6,8,4
Ballarat,2026-03-23,4,8,3,5,6
Ballarat,2026-03-23,5,2,3,6,7
Ballarat,2026-03-23,6,1,5,8,7
Ballarat,2026-03-23,7,1,7,2,6
Ballarat,2026-03-23,8,4,3,2,8
Ballarat,2026-03-23,9,2,6,3,1
Ballarat,2026-03-23,10,5,8,7,1
Ballarat,2026-03-23,11,6,3,8,1
Ballarat,2026-03-23,12,5,7,6,2
Shepparton,2026-03-23,1,4,1,6,8
Shepparton,2026-03-23,2,6,1,7,4
Shepparton,2026-03-23,3,4,3,1,6
Shepparton,2026-03-23,4,4,7,1,6
Shepparton,2026-03-23,5,6,8,4,5
Shepparton,2026-03-23,6,4,8,6,9
Shepparton,2026-03-23,7,1,4,2,5
Shepparton,2026-03-23,8,8,2,4,1
Shepparton,2026-03-23,9,7,8,6,2
Shepparton,2026-03-23,10,2,1,8,3
Shepparton,2026-03-23,11,1,2,3,4
Shepparton,2026-03-23,12,2,3,1,7
Warrnambool,2026-03-23,1,6,8,7,2
Warrnambool,2026-03-23,2,7,1,2,4
Warrnambool,2026-03-23,3,2,6,7,8
Warrnambool,2026-03-23,4,2,7,6,5
Warrnambool,2026-03-23,5,8,7,6,4
Warrnambool,2026-03-23,6,1,7,3,6
Warrnambool,2026-03-23,7,1,4,2,8
Warrnambool,2026-03-23,8,6,8,2,3
Warrnambool,2026-03-23,9,4,7,3,6
Warrnambool,2026-03-23,10,7,2,4,1
Warrnambool,2026-03-23,11,6,3,4,1
Warrnambool,2026-03-23,12,8,7,1,3
Angle Park,2026-03-23,1,8,6,1,4
Angle Park,2026-03-23,2,6,8,1,4
Angle Park,2026-03-23,3,8,4,1,6
Angle Park,2026-03-23,4,1,6,4,
Angle Park,2026-03-23,5,2,1,5,7
Angle Park,2026-03-23,6,4,7,2,8
Angle Park,2026-03-23,7,1,2,8,5
Angle Park,2026-03-23,8,1,6,4,5
Angle Park,2026-03-23,9,7,1,3,5
Angle Park,2026-03-23,10,4,8,6,
Angle Park,2026-03-23,11,1,8,2,6
Sandown,2026-03-23,1,7,2,1,6
Sandown,2026-03-23,2,1,6,8,2
Sandown,2026-03-23,3,1,2,4,8
Sandown,2026-03-23,4,1,4,6,7
Sandown,2026-03-23,5,1,4,8,7
Sandown,2026-03-23,6,1,2,3,5
Sandown,2026-03-23,7,3,7,1,6
Sandown,2026-03-23,8,7,8,4,1
Sandown,2026-03-23,9,1,6,4,8
Sandown,2026-03-23,10,1,8,4,5
Ladbrokes Q Straight,2026-03-23,1,2,5,3,7
Ladbrokes Q Straight,2026-03-23,2,2,6,8,1
Ladbrokes Q Straight,2026-03-23,3,8,7,1,6
Ladbrokes Q Straight,2026-03-23,4,1,6,7,8
Ladbrokes Q Straight,2026-03-23,5,2,4,1,10
Ladbrokes Q Straight,2026-03-23,6,3,1,6,2
Ladbrokes Q Straight,2026-03-23,7,7,1,2,4
Ladbrokes Q Straight,2026-03-23,8,6,5,2,4
Ladbrokes Q Straight,2026-03-23,9,5,1,2,3
Ladbrokes Q Straight,2026-03-23,10,4,5,6,1
Ladbrokes Q Straight,2026-03-23,11,4,3,2,5
Ladbrokes Q Straight,2026-03-23,12,1,8,6,2
Launceston,2026-03-23,1,3,6,2,1
Launceston,2026-03-23,2,2,1,7,3
Launceston,2026-03-23,3,8,5,2,1
Launceston,2026-03-23,4,1,6,8,2
Launceston,2026-03-23,5,8,6,1,2
Launceston,2026-03-23,6,6,2,7,4
Launceston,2026-03-23,7,1,5,3,4
Launceston,2026-03-23,8,3,6,2,1
Launceston,2026-03-23,9,8,3,6,2
Launceston,2026-03-23,10,7,1,8,5
Mandurah,2026-03-23,1,4,2,1,7
Mandurah,2026-03-23,2,5,7,1,8
Mandurah,2026-03-23,3,5,1,2,8
Mandurah,2026-03-23,4,8,6,5,3
Mandurah,2026-03-23,5,1,3,5,6
Mandurah,2026-03-23,6,5,6,8,7
Mandurah,2026-03-23,7,5,8,7,1
Mandurah,2026-03-23,8,1,5,2,7
Mandurah,2026-03-23,9,4,1,2,6
Mandurah,2026-03-23,10,7,8,1,3
Mandurah,2026-03-23,11,2,8,1,3
Mandurah,2026-03-23,12,9,1,3,2
