Track,Date,Race,Winner,2nd,3rd,4th
Temora,2026-05-27,1,7,2,5,8
Temora,2026-05-27,2,1,5,4,2
Temora,2026-05-27,3,7,4,5,1
Temora,2026-05-27,4,1,8,4,7
Temora,2026-05-27,5,5,6,1,8
Temora,2026-05-27,6,8,1,2,7
Temora,2026-05-27,7,8,2,1,7
Temora,2026-05-27,8,8,6,4,5
Temora,2026-05-27,9,3,8,5,6
Temora,2026-05-27,10,5,4,7,1
GUNNEDAH,2026-05-27,1,4,8,7,3
GUNNEDAH,2026-05-27,2,2,6,8,3
GUNNEDAH,2026-05-27,3,8,6,5,3
GUNNEDAH,2026-05-27,4,6,2,3,5
GUNNEDAH,2026-05-27,5,2,8,6,4
GUNNEDAH,2026-05-27,6,6,7,2,5
GUNNEDAH,2026-05-27,7,7,4,1,6
GUNNEDAH,2026-05-27,8,5,7,6,8
GUNNEDAH,2026-05-27,9,ABD,,,
GUNNEDAH,2026-05-27,10,ABD,,,
GUNNEDAH,2026-05-27,11,ABD,,,
GUNNEDAH,2026-05-27,12,ABD,,,
RICHMOND,2026-05-27,1,5,2,1,4
RICHMOND,2026-05-27,2,1,5,8,2
RICHMOND,2026-05-27,3,5,2,3,1
RICHMOND,2026-05-27,4,2,7,4,3
RICHMOND,2026-05-27,5,1,6,4,9
RICHMOND,2026-05-27,6,4,7,5,1
RICHMOND,2026-05-27,7,2,7,1,4
RICHMOND,2026-05-27,8,4,2,1,3
RICHMOND,2026-05-27,9,1,5,8,6
RICHMOND,2026-05-27,10,6,8,1,4
RICHMOND,2026-05-27,11,7,2,8,4
Taree,2026-05-27,1,9,2,7,8
Taree,2026-05-27,2,8,1,5,3
Taree,2026-05-27,3,2,7,1,5
Taree,2026-05-27,4,1,2,7,4
Taree,2026-05-27,5,3,7,4,1
Taree,2026-05-27,6,1,5,2,3
Taree,2026-05-27,7,2,3,8,4
Taree,2026-05-27,8,7,8,1,5
Taree,2026-05-27,9,5,1,8,4
Taree,2026-05-27,10,4,8,3,6
SALE,2026-05-27,1,6,3,1,8
SALE,2026-05-27,2,3,5,4,6
SALE,2026-05-27,3,6,3,7,2
SALE,2026-05-27,4,7,2,3,6
SALE,2026-05-27,5,8,7,6,1
SALE,2026-05-27,6,7,6,8,1
SALE,2026-05-27,7,8,4,1,5
SALE,2026-05-27,8,4,7,3,5
SALE,2026-05-27,9,7,8,5,1
SALE,2026-05-27,10,3,8,7,2
Capalaba,2026-05-27,1,1,4,8,3
Capalaba,2026-05-27,2,8,5,3,7
Capalaba,2026-05-27,3,7,8,1,5
Capalaba,2026-05-27,4,7,1,8,2
Capalaba,2026-05-27,5,7,6,4,8
Capalaba,2026-05-27,6,3,9,7,8
Capalaba,2026-05-27,7,7,2,1,8
Capalaba,2026-05-27,8,3,1,7,9
Capalaba,2026-05-27,9,8,6,7,1
Capalaba,2026-05-27,10,8,6,4,1
Capalaba,2026-05-27,11,4,6,2,7
MURRAY BDGE STRAIGHT,2026-05-27,1,1,5,4,8
MURRAY BDGE STRAIGHT,2026-05-27,2,4,6,1,
MURRAY BDGE STRAIGHT,2026-05-27,3,2,6,8,1
MURRAY BDGE STRAIGHT,2026-05-27,4,7,5,,
MURRAY BDGE STRAIGHT,2026-05-27,5,5,4,2,7
MURRAY BDGE STRAIGHT,2026-05-27,6,8,5,1,2
MURRAY BDGE STRAIGHT,2026-05-27,7,4,8,7,5
MURRAY BDGE STRAIGHT,2026-05-27,8,8,1,2,7
MURRAY BDGE STRAIGHT,2026-05-27,9,7,3,1,5
BENDIGO,2026-05-27,1,7,1,3,8
BENDIGO,2026-05-27,2,8,4,5,7
BENDIGO,2026-05-27,3,7,4,3,2
BENDIGO,2026-05-27,4,2,4,1,6
BENDIGO,2026-05-27,5,6,3,4,2
BENDIGO,2026-05-27,6,2,6,4,5
BENDIGO,2026-05-27,7,1,8,7,2
BENDIGO,2026-05-27,8,1,2,3,5
BENDIGO,2026-05-27,9,7,3,6,5
BENDIGO,2026-05-27,10,8,5,1,3
BENDIGO,2026-05-27,11,1,5,4,6
BENDIGO,2026-05-27,12,3,5,1,8
Q Lakeside,2026-05-27,1,2,1,6,5
Q Lakeside,2026-05-27,2,1,3,2,7
Q Lakeside,2026-05-27,3,6,7,8,3
Q Lakeside,2026-05-27,4,6,4,5,9
Q Lakeside,2026-05-27,5,2,3,6,1
Q Lakeside,2026-05-27,6,6,4,8,1
Q Lakeside,2026-05-27,7,6,8,7,5
Q Lakeside,2026-05-27,8,8,1,3,4
Q Lakeside,2026-05-27,9,7,2,6,4
Q Lakeside,2026-05-27,10,8,1,6,4
Q Lakeside,2026-05-27,11,5,8,7,6
Q Lakeside,2026-05-27,12,7,3,2,6
BALLARAT,2026-05-27,1,3,2,7,4
BALLARAT,2026-05-27,2,4,3,6,5
BALLARAT,2026-05-27,3,6,4,2,7
BALLARAT,2026-05-27,4,4,1,8,2
BALLARAT,2026-05-27,5,5,3,6,1
BALLARAT,2026-05-27,6,4,8,6,1
BALLARAT,2026-05-27,7,2,3,8,1
BALLARAT,2026-05-27,8,7,8,3,6
BALLARAT,2026-05-27,9,2,7,5,8
BALLARAT,2026-05-27,10,2,6,3,1
BALLARAT,2026-05-27,11,4,5,3,7
BALLARAT,2026-05-27,12,3,1,6,2
