Track,Date,Race,Winner,2nd,3rd,4th
Casino,2026-06-23,1,8,4,1,5
Casino,2026-06-23,2,3,6,1,7
Casino,2026-06-23,3,5,1,8,2
Casino,2026-06-23,4,2,8,1,7
Casino,2026-06-23,5,5,2,3,1
Casino,2026-06-23,6,9,7,8,4
Casino,2026-06-23,7,7,3,2,6
Casino,2026-06-23,8,5,10,6,3
Casino,2026-06-23,9,1,2,7,6
Casino,2026-06-23,10,1,6,7,2
Bulli,2026-06-23,1,7,8,4,5
Bulli,2026-06-23,2,1,2,3,4
Bulli,2026-06-23,3,7,2,,
Bulli,2026-06-23,4,6,8,7,1
Bulli,2026-06-23,5,5,6,8,2
Bulli,2026-06-23,6,7,3,2,8
Bulli,2026-06-23,7,3,7,8,4
Bulli,2026-06-23,8,8,2,6,7
Bulli,2026-06-23,9,8,5,4,2
Bulli,2026-06-23,10,1,4,8,3
Gosford,2026-06-23,1,5,8,3,7
Gosford,2026-06-23,2,3,6,4,1
Gosford,2026-06-23,3,4,2,7,8
Gosford,2026-06-23,4,8,7,1,6
Gosford,2026-06-23,5,8,4,2,6
Gosford,2026-06-23,6,5,8,6,4
Gosford,2026-06-23,7,3,1,6,10
Gosford,2026-06-23,8,4,3,7,6
Gosford,2026-06-23,9,4,7,5,8
Gosford,2026-06-23,10,4,8,6,7
Gosford,2026-06-23,11,4,7,6,5
Gosford,2026-06-23,12,6,3,4,2
Healesville,2026-06-23,1,3,7,1,6
Healesville,2026-06-23,2,6,1,4,8
Healesville,2026-06-23,3,3,7,6,4
Healesville,2026-06-23,4,8,2,7,5
Healesville,2026-06-23,5,8,4,3,2
Healesville,2026-06-23,6,7,6,1,8
Healesville,2026-06-23,7,1,3,6,7
Healesville,2026-06-23,8,2,8,4,7
Healesville,2026-06-23,9,2,5,7,1
Healesville,2026-06-23,10,7,2,8,1
Healesville,2026-06-23,11,6,8,4,3
Healesville,2026-06-23,12,3,8,6,4
Angle Park,2026-06-23,1,6,2,8,1
Angle Park,2026-06-23,2,4,8,5,2
Angle Park,2026-06-23,3,4,8,5,7
Angle Park,2026-06-23,4,7,8,4,9
Angle Park,2026-06-23,5,1,2,8,9
Angle Park,2026-06-23,6,9,8,1,4
Angle Park,2026-06-23,7,5,2,4,9
Angle Park,2026-06-23,8,2,8,1,5
Angle Park,2026-06-23,9,1,2,8,5
Angle Park,2026-06-23,10,1,7,2,4
Angle Park,2026-06-23,11,1,8,4,5
Angle Park,2026-06-23,12,1,2,8,4
Hobart,2026-06-23,1,6,7,1,4
Hobart,2026-06-23,2,8,1,2,5
Hobart,2026-06-23,3,7,5,8,6
Hobart,2026-06-23,4,8,3,4,7
Hobart,2026-06-23,5,1,7,2,10
Hobart,2026-06-23,6,5,1,8,7
Hobart,2026-06-23,7,4,3,1,7
Hobart,2026-06-23,8,5,3,8,7
Hobart,2026-06-23,9,6,4,8,7
Hobart,2026-06-23,10,4,3,6,7
Geelong,2026-06-23,1,6,1,4,7
Geelong,2026-06-23,2,1,7,5,3
Geelong,2026-06-23,3,1,6,4,5
Geelong,2026-06-23,4,3,8,4,5
Geelong,2026-06-23,5,8,7,1,5
Geelong,2026-06-23,6,7,1,4,3
Geelong,2026-06-23,7,2,7,6,3
Geelong,2026-06-23,8,1,8,4,2
Geelong,2026-06-23,9,7,1,2,5
Geelong,2026-06-23,10,6,9,2,8
Geelong,2026-06-23,11,6,5,8,1
Geelong,2026-06-23,12,8,6,3,2
Ladbrokes Q1 Lakeside,2026-06-23,1,3,2,7,5
Ladbrokes Q1 Lakeside,2026-06-23,2,6,3,7,8
Ladbrokes Q1 Lakeside,2026-06-23,3,3,8,5,1
Ladbrokes Q1 Lakeside,2026-06-23,4,1,2,3,8
Ladbrokes Q1 Lakeside,2026-06-23,5,5,1,3,2
Ladbrokes Q1 Lakeside,2026-06-23,6,2,8,1,3
Ladbrokes Q1 Lakeside,2026-06-23,7,1,7,5,4
Ladbrokes Q1 Lakeside,2026-06-23,8,1,3,5,4
Ladbrokes Q1 Lakeside,2026-06-23,9,4,5,2,3
Ladbrokes Q1 Lakeside,2026-06-23,10,3,2,5,1
Ladbrokes Q1 Lakeside,2026-06-23,11,1,2,7,4
Ladbrokes Q1 Lakeside,2026-06-23,12,1,4,2,9
Warragul,2026-06-23,1,7,6,3,5
Warragul,2026-06-23,2,2,1,3,4
Warragul,2026-06-23,3,3,8,1,4
Warragul,2026-06-23,4,1,3,5,6
Warragul,2026-06-23,5,4,8,6,3
Warragul,2026-06-23,6,6,2,3,1
Warragul,2026-06-23,7,8,4,7,6
Warragul,2026-06-23,8,7,6,2,8
Warragul,2026-06-23,9,1,4,3,8
Warragul,2026-06-23,10,2,1,7,6
Warragul,2026-06-23,11,8,6,1,2
Warragul,2026-06-23,12,3,1,7,6
Bet Nation Townsville,2026-06-23,1,2,3,8,6
Bet Nation Townsville,2026-06-23,2,2,5,4,1
Bet Nation Townsville,2026-06-23,3,6,4,3,2
Bet Nation Townsville,2026-06-23,4,6,8,4,2
Bet Nation Townsville,2026-06-23,5,4,7,6,3
Bet Nation Townsville,2026-06-23,6,3,8,5,2
Bet Nation Townsville,2026-06-23,7,1,4,3,7
Bet Nation Townsville,2026-06-23,8,2,1,7,8
Bet Nation Townsville,2026-06-23,9,3,5,1,2
Bet Nation Townsville,2026-06-23,10,7,9,5,6
Bet Nation Townsville,2026-06-23,11,3,4,2,7
Bet Nation Townsville,2026-06-23,12,3,2,1,8
Mandurah,2026-06-23,1,6,1,7,8
Mandurah,2026-06-23,2,1,2,5,6
Mandurah,2026-06-23,3,7,8,6,5
Mandurah,2026-06-23,4,2,6,3,8
Mandurah,2026-06-23,5,2,1,3,8
Mandurah,2026-06-23,6,3,9,4,2
Mandurah,2026-06-23,7,7,2,5,8
Mandurah,2026-06-23,8,2,8,4,1
Mandurah,2026-06-23,9,8,2,1,4
Mandurah,2026-06-23,10,6,4,2,3
Mandurah,2026-06-23,11,4,2,5,7
Mandurah,2026-06-23,12,8,2,4,7
