Track,Date,Race,Winner,2nd,3rd,4th
Casino,2025-11-27,1,1,8,3,2
Casino,2025-11-27,2,8,2,4,1
Casino,2025-11-27,3,7,8,4,5
Casino,2025-11-27,4,8,7,6,1
Casino,2025-11-27,5,7,8,4,6
Casino,2025-11-27,6,8,7,1,6
Casino,2025-11-27,7,4,1,5,7
Casino,2025-11-27,8,6,3,4,5
Casino,2025-11-27,9,3,5,7,1
Casino,2025-11-27,10,7,1,8,4
Casino,2025-11-27,11,5,3,6,7
Wentworth Park,2025-11-27,1,3,4,8,2
Wentworth Park,2025-11-27,2,1,4,7,6
Wentworth Park,2025-11-27,3,5,3,7,4
Wentworth Park,2025-11-27,4,7,1,4,3
Wentworth Park,2025-11-27,5,4,6,2,7
Wentworth Park,2025-11-27,6,1,7,2,8
Wentworth Park,2025-11-27,7,8,1,6,5
Wentworth Park,2025-11-27,8,7,1,8,2
Wentworth Park,2025-11-27,9,1,2,4,8
Wentworth Park,2025-11-27,10,3,1,4,8
Nowra,2025-11-27,1,8,1,4,2
Nowra,2025-11-27,2,4,1,8,2
Nowra,2025-11-27,3,2,8,4,3
Nowra,2025-11-27,4,2,7,1,4
Nowra,2025-11-27,5,1,3,7,8
Nowra,2025-11-27,6,4,8,1,2
Nowra,2025-11-27,7,1,2,5,4
Nowra,2025-11-27,8,6,3,4,1
Nowra,2025-11-27,9,7,4,8,5
Nowra,2025-11-27,10,6,3,2,7
Shepparton,2025-11-27,1,3,6,8,4
Shepparton,2025-11-27,2,8,4,2,3
Shepparton,2025-11-27,3,4,7,1,8
Shepparton,2025-11-27,4,5,8,7,2
Shepparton,2025-11-27,5,1,5,3,7
Shepparton,2025-11-27,6,6,3,4,2
Shepparton,2025-11-27,7,7,3,6,1
Shepparton,2025-11-27,8,4,3,5,2
Shepparton,2025-11-27,9,6,3,7,8
Shepparton,2025-11-27,10,4,7,3,2
Shepparton,2025-11-27,11,6,5,7,1
Shepparton,2025-11-27,12,3,1,4,6
Mount Gambier,2025-11-27,1,2,6,4,8
Mount Gambier,2025-11-27,2,1,2,6,8
Mount Gambier,2025-11-27,3,7,1,5,8
Mount Gambier,2025-11-27,4,2,7,4,5
Mount Gambier,2025-11-27,5,9,2,4,5
Mount Gambier,2025-11-27,6,1,0,7,9
Mount Gambier,2025-11-27,7,9,1,0,4
Mount Gambier,2025-11-27,8,5,4,7,2
Mount Gambier,2025-11-27,9,1,2,4,8
Mount Gambier,2025-11-27,10,8,2,6,1
Mount Gambier,2025-11-27,11,6,1,4,8
Ladbrokes Q Straight,2025-11-27,1,4,6,1,2
Ladbrokes Q Straight,2025-11-27,2,2,3,6,1
Ladbrokes Q Straight,2025-11-27,3,5,1,8,2
Ladbrokes Q Straight,2025-11-27,4,6,8,3,2
Ladbrokes Q Straight,2025-11-27,5,6,5,2,1
Ladbrokes Q Straight,2025-11-27,6,3,8,6,2
Ladbrokes Q Straight,2025-11-27,7,1,4,8,5
Ladbrokes Q Straight,2025-11-27,8,1,3,5,8
Ladbrokes Q Straight,2025-11-27,9,1,4,3,8
Ladbrokes Q Straight,2025-11-27,10,5,1,2,4
Warragul,2025-11-27,1,3,8,4,5
Warragul,2025-11-27,2,6,1,3,2
Warragul,2025-11-27,3,7,4,6,1
Warragul,2025-11-27,4,4,7,2,5
Warragul,2025-11-27,5,3,1,8,2
Warragul,2025-11-27,6,3,5,2,6
Warragul,2025-11-27,7,4,1,3,2
Warragul,2025-11-27,8,8,3,4,1
Warragul,2025-11-27,9,3,8,1,4
Warragul,2025-11-27,10,1,7,6,8
Warragul,2025-11-27,11,6,8,4,5
Warragul,2025-11-27,12,2,3,6,7
Warrnambool,2025-11-27,1,8,7,1,3
Warrnambool,2025-11-27,2,8,4,1,3
