Date,Track,TargetResultsFile
2026-04-14,Horsham,results_2026-04-14.csv
2026-04-14,Mandurah,results_2026-04-14.csv
2026-04-14,Q Lakeside,results_2026-04-14.csv
2026-04-14,Townsville,results_2026-04-14.csv
2026-04-14,Warragul,results_2026-04-14.csv
2026-04-15,Hobart,results_2026-04-15.csv
2026-04-18,Cannington,results_2026-04-18.csv
2026-04-18,Gardens,results_2026-04-18.csv
2026-04-18,Hobart,results_2026-04-18.csv
2026-04-18,Wentworth Park,results_2026-04-18.csv
2026-04-22,Hobart,results_2026-04-22.csv
2026-04-25,Hobart,results_2026-04-25.csv
2026-04-29,Hobart,results_2026-04-29.csv
2026-05-02,Hobart,results_2026-05-02.csv
2026-05-03,Capalaba,results_2026-05-03.csv
2026-05-05,Q Lakeside,results_2026-05-05.csv
2026-05-06,Hobart,results_2026-05-06.csv
2026-05-08,Q Lakeside,results_2026-05-08.csv
2026-05-09,Hobart,results_2026-05-09.csv
2026-05-12,Q Lakeside,results_2026-05-12.csv
2026-05-13,Hobart,results_2026-05-13.csv
2026-05-15,Q Lakeside,results_2026-05-15.csv
2026-05-16,Hobart,results_2026-05-16.csv
2026-05-20,Hobart,results_2026-05-20.csv
2026-05-20,Q Lakeside,results_2026-05-20.csv
2026-05-23,Hobart,results_2026-05-23.csv
2026-05-27,Hobart,results_2026-05-27.csv
2026-05-27,Murray Bridge Straight,results_2026-05-27.csv
2026-05-29,Murray Bridge Straight,results_2026-05-29.csv
2026-05-29,Q Lakeside,results_2026-05-29.csv
2026-05-30,Hobart,results_2026-05-30.csv
2026-06-02,Bulli,results_2026-06-02.csv
2026-06-02,Casino,results_2026-06-02.csv
2026-06-02,Geelong,results_2026-06-02.csv
2026-06-02,Gosford,results_2026-06-02.csv
2026-06-02,Horsham,results_2026-06-02.csv
2026-06-02,Mandurah,results_2026-06-02.csv
2026-06-02,Q Lakeside,results_2026-06-02.csv
2026-06-02,Townsville,results_2026-06-02.csv
2026-06-02,Warragul,results_2026-06-02.csv
2026-06-03,Hobart,results_2026-06-03.csv
2026-06-05,Murray Bridge Straight,results_2026-06-05.csv
2026-06-06,Hobart,results_2026-06-06.csv
2026-06-10,Hobart,results_2026-06-10.csv
2026-06-12,Murray Bridge Straight,results_2026-06-12.csv
2026-06-13,Hobart,results_2026-06-13.csv
2026-06-15,Hobart,results_2026-06-15.csv
2026-06-17,Hobart,results_2026-06-17.csv
2026-06-19,Murray Bridge Straight,results_2026-06-19.csv
2026-06-20,Hobart,results_2026-06-20.csv
2026-06-22,Hobart,results_2026-06-22.csv
2026-06-24,Hobart,results_2026-06-24.csv
2026-06-26,Murray Bridge Straight,results_2026-06-26.csv
2026-06-27,Hobart,results_2026-06-27.csv
2026-06-29,Murray Bridge Straight,results_2026-06-29.csv
2026-07-01,Hobart,results_2026-07-01.csv
2026-07-03,Murray Bridge Straight,results_2026-07-03.csv
2026-07-04,Hobart,results_2026-07-04.csv
2026-07-08,Hobart,results_2026-07-08.csv
2026-07-10,Murray Bridge Straight,results_2026-07-10.csv
2026-07-11,Hobart,results_2026-07-11.csv
2026-07-12,Hobart,results_2026-07-12.csv
2026-07-15,Hobart,results_2026-07-15.csv
2026-07-17,Murray Bridge Straight,results_2026-07-17.csv
2026-07-18,Hobart,results_2026-07-18.csv
2026-07-19,Hobart,results_2026-07-19.csv
2026-07-22,Hobart,results_2026-07-22.csv
2026-07-23,Q Lakeside,results_2026-07-23.csv
2026-07-24,Murray Bridge Straight,results_2026-07-24.csv
2026-07-25,Hobart,results_2026-07-25.csv
2026-07-26,Hobart,results_2026-07-26.csv
2026-07-29,Hobart,results_2026-07-29.csv
2026-07-31,Murray Bridge Straight,results_2026-07-31.csv
2026-08-01,Hobart,results_2026-08-01.csv
2026-08-02,Hobart,results_2026-08-02.csv
2026-08-05,Hobart,results_2026-08-05.csv
2026-08-06,Q Lakeside,results_2026-08-06.csv
2026-08-08,Hobart,results_2026-08-08.csv
2026-08-09,Hobart,results_2026-08-09.csv
2026-08-10,Warragul,results_2026-08-10.csv
2026-08-20,Angle Park,results_2026-08-20.csv
2026-08-20,Casino,results_2026-08-20.csv
2026-08-20,Gunnedah,results_2026-08-20.csv
2026-08-20,Hobart,results_2026-08-20.csv
2026-08-20,Mandurah,results_2026-08-20.csv
2026-08-20,Mount Gambier,results_2026-08-20.csv
2026-08-20,Q Parklands,results_2026-08-20.csv
2026-08-20,Warragul,results_2026-08-20.csv
2026-08-20,Warrnambool,results_2026-08-20.csv
2026-08-20,Wentworth Park,results_2026-08-20.csv
2026-08-26,Hobart,results_2026-08-26.csv
2026-08-27,Launceston,results_2026-08-27.csv
