Date,Track
2025-11-23,Darwin
2025-11-26,Hobart
2025-11-29,Hobart
2025-12-03,Hobart
2025-12-10,Hobart
2025-12-13,Hobart
2025-12-17,Hobart
2025-12-20,Hobart
2025-12-27,Hobart
2025-12-31,Hobart
2026-01-03,Hobart
2026-01-06,Bulli
2026-01-07,Hobart
2026-01-10,Hobart
2026-01-10,Wentworth Park
2026-01-14,Hobart
2026-01-17,Hobart
2026-01-21,Hobart
2026-01-22,Q Straight
2026-01-24,Hobart
2026-01-27,Townsville
2026-01-28,Hobart
2026-02-26,Mandurah
2026-03-09,Mandurah
2026-03-09,Q Straight
2026-03-11,Hobart
2026-03-14,Hobart
2026-03-16,Angle Park
2026-03-18,Hobart
2026-03-20,Murray Bridge
2026-03-21,Hobart
2026-03-25,Hobart
2026-03-26,Q Parklands
2026-03-28,Hobart
2026-04-15,Hobart
2026-04-18,Cannington
2026-04-18,Gardens
2026-04-18,Hobart
2026-04-18,Wentworth Park
2026-04-22,Hobart
2026-04-25,Hobart
2026-04-29,Hobart
2026-05-02,Hobart
2026-05-03,Capalaba
2026-05-06,Hobart
2026-05-09,Hobart
2026-05-13,Hobart
2026-05-16,Hobart
2026-05-20,Hobart
2026-05-23,Hobart
2026-05-27,Murray Bridge Straight
2026-05-30,Hobart
2026-06-06,Hobart
2026-06-10,Hobart
2026-06-13,Hobart
2026-06-15,Hobart
2026-06-17,Hobart
2026-06-20,Hobart
2026-06-22,Hobart
2026-06-24,Hobart
2026-06-27,Hobart
2026-07-01,Hobart
2026-07-04,Hobart
2026-07-08,Hobart
2026-07-11,Hobart
2026-07-12,Hobart
2026-07-15,Hobart
2026-07-18,Hobart
2026-07-19,Hobart
2026-07-22,Hobart
2026-07-23,Q Lakeside
2026-07-25,Hobart
2026-07-26,Hobart
2026-07-29,Hobart
2026-08-01,Hobart
2026-08-02,Hobart
2026-08-05,Hobart
2026-08-06,Q Lakeside
2026-08-08,Hobart
2026-08-09,Hobart
2026-08-10,Warragul
2026-08-27,Launceston
