Date,Track
2026-09-05,Grafton
2026-09-05,Murray Bridge Straight
2026-09-05,Q Parklands
2026-09-10,Angle Park
2026-09-10,Casino
2026-09-10,Gosford
2026-09-10,Gunnedah
2026-09-10,Launceston
2026-09-10,Mandurah
2026-09-10,Mount Gambier
2026-09-10,Q Parklands
2026-09-10,Q Straight
2026-09-10,Sandown
2026-09-10,Shepparton
2026-09-10,Warragul
2026-09-10,Warrnambool
2026-09-10,Wentworth Park
2026-09-13,Capalaba
2026-09-13,Darwin
2026-09-13,Gawler
2026-09-13,Healesville
2026-09-13,Mount Gambier
2026-09-13,Nowra
2026-09-13,Q Parklands
2026-09-13,Richmond
2026-09-13,Rockhampton
2026-09-13,Sale
2026-09-13,Taree
