Track,Date,Race,Winner,2nd,3rd,4th
Taree,2026-07-01,1,5,3,6,8
Taree,2026-07-01,2,7,3,1,8
Taree,2026-07-01,3,4,7,3,1
Taree,2026-07-01,4,5,1,2,6
Taree,2026-07-01,5,7,3,1,2
Taree,2026-07-01,6,7,4,3,1
Taree,2026-07-01,7,3,8,1,6
Taree,2026-07-01,8,2,4,3,1
Taree,2026-07-01,9,1,2,3,8
Taree,2026-07-01,10,1,6,8,9
Taree,2026-07-01,11,5,2,6,8
Taree,2026-07-01,12,4,3,6,8
Nowra,2026-07-01,1,7,1,8,4
Nowra,2026-07-01,2,1,4,8,7
Nowra,2026-07-01,3,7,1,8,3
Nowra,2026-07-01,4,7,3,1,8
Nowra,2026-07-01,5,2,4,7,5
Nowra,2026-07-01,6,6,4,1,8
Nowra,2026-07-01,7,4,1,2,7
Nowra,2026-07-01,8,6,7,4,3
Nowra,2026-07-01,9,6,7,2,8
Richmond,2026-07-01,1,8,6,1,3
Richmond,2026-07-01,2,7,8,5,2
Richmond,2026-07-01,3,1,3,5,4
Richmond,2026-07-01,4,5,4,7,6
Richmond,2026-07-01,5,4,5,6,1
Richmond,2026-07-01,6,6,7,8,1
Richmond,2026-07-01,7,1,2,4,5
Richmond,2026-07-01,8,5,6,2,3
Richmond,2026-07-01,9,1,4,6,8
Richmond,2026-07-01,10,7,2,4,1
Richmond,2026-07-01,11,5,3,2,1
Richmond,2026-07-01,12,2,4,5,6
Sale,2026-07-01,1,2,7,3,4
Sale,2026-07-01,2,4,6,8,1
Sale,2026-07-01,3,2,1,3,6
Sale,2026-07-01,4,7,5,8,1
Sale,2026-07-01,5,4,3,2,6
Sale,2026-07-01,6,2,6,3,4
Sale,2026-07-01,7,2,4,7,8
Sale,2026-07-01,8,1,2,6,3
Sale,2026-07-01,9,5,2,8,1
Sale,2026-07-01,10,8,1,7,4
BetDeluxe Capalaba,2026-07-01,1,2,7,4,8
BetDeluxe Capalaba,2026-07-01,2,8,5,2,4
BetDeluxe Capalaba,2026-07-01,3,4,7,8,1
BetDeluxe Capalaba,2026-07-01,4,4,2,8,7
BetDeluxe Capalaba,2026-07-01,5,8,3,6,2
BetDeluxe Capalaba,2026-07-01,6,8,6,3,7
BetDeluxe Capalaba,2026-07-01,7,6,4,7,2
BetDeluxe Capalaba,2026-07-01,8,7,4,10,6
BetDeluxe Capalaba,2026-07-01,9,7,8,1,3
Murray Bridge Straight,2026-07-01,1,3,1,7,5
Murray Bridge Straight,2026-07-01,2,5,7,1,3
Murray Bridge Straight,2026-07-01,3,8,6,2,1
Murray Bridge Straight,2026-07-01,4,4,8,6,2
Murray Bridge Straight,2026-07-01,5,7,8,5,4
Murray Bridge Straight,2026-07-01,6,8,5,7,1
Murray Bridge Straight,2026-07-01,7,2,5,4,7
Murray Bridge Straight,2026-07-01,8,4,7,5,8
Murray Bridge Straight,2026-07-01,9,1,5,7,3
Murray Bridge Straight,2026-07-01,10,8,2,6,1
Ladbrokes Q1 Lakeside,2026-07-01,1,1,7,6,3
Ladbrokes Q1 Lakeside,2026-07-01,2,6,5,1,8
Ladbrokes Q1 Lakeside,2026-07-01,3,4,8,3,7
Ladbrokes Q1 Lakeside,2026-07-01,4,8,4,6,7
Ladbrokes Q1 Lakeside,2026-07-01,5,5,1,7,2
Ladbrokes Q1 Lakeside,2026-07-01,6,3,5,2,7
Ladbrokes Q1 Lakeside,2026-07-01,7,4,8,1,2
Ladbrokes Q1 Lakeside,2026-07-01,8,6,1,7,3
Ladbrokes Q1 Lakeside,2026-07-01,9,1,2,4,7
Ladbrokes Q1 Lakeside,2026-07-01,10,1,3,8,5
Ladbrokes Q1 Lakeside,2026-07-01,11,4,1,3,8
Ladbrokes Q1 Lakeside,2026-07-01,12,3,2,1,4
Bendigo,2026-07-01,1,5,1,6,3
Bendigo,2026-07-01,2,1,8,2,6
Bendigo,2026-07-01,3,1,6,8,5
Bendigo,2026-07-01,4,4,7,1,6
Bendigo,2026-07-01,5,2,3,6,4
Bendigo,2026-07-01,6,2,1,6,8
Bendigo,2026-07-01,7,8,7,1,2
Bendigo,2026-07-01,8,2,5,7,3
Bendigo,2026-07-01,9,3,1,8,4
Bendigo,2026-07-01,10,3,1,5,8
Bendigo,2026-07-01,11,5,3,8,1
Bendigo,2026-07-01,12,1,8,2,4
Ballarat,2026-07-01,1,4,2,1,8
Ballarat,2026-07-01,2,3,8,6,4
Ballarat,2026-07-01,3,1,2,5,3
Ballarat,2026-07-01,4,5,3,4,8
Ballarat,2026-07-01,5,8,5,4,6
Ballarat,2026-07-01,6,2,6,8,5
Ballarat,2026-07-01,7,1,7,8,4
Ballarat,2026-07-01,8,4,6,3,8
Ballarat,2026-07-01,9,1,3,7,6
Ballarat,2026-07-01,10,2,3,4,1
Ballarat,2026-07-01,11,1,6,8,3
Ballarat,2026-07-01,12,8,6,7,1
BetDeluxe Rockhampton,2026-07-01,1,1,4,6,8
BetDeluxe Rockhampton,2026-07-01,2,8,1,2,7
BetDeluxe Rockhampton,2026-07-01,3,3,2,6,8
BetDeluxe Rockhampton,2026-07-01,4,8,4,1,7
BetDeluxe Rockhampton,2026-07-01,5,8,7,6,3
BetDeluxe Rockhampton,2026-07-01,6,8,5,1,7
BetDeluxe Rockhampton,2026-07-01,7,1,2,4,6
BetDeluxe Rockhampton,2026-07-01,8,6,9,8,2
BetDeluxe Rockhampton,2026-07-01,9,1,2,8,4
Meadows,2026-07-01,1,3,7,2,8
Meadows,2026-07-01,2,4,1,2,5
Meadows,2026-07-01,3,5,7,2,1
Meadows,2026-07-01,4,4,8,5,2
Meadows,2026-07-01,5,1,2,8,3
Meadows,2026-07-01,6,8,6,2,3
Meadows,2026-07-01,7,3,7,1,8
Meadows,2026-07-01,8,2,1,6,7
Meadows,2026-07-01,9,5,7,6,1
Meadows,2026-07-01,10,1,6,2,3
Meadows,2026-07-01,11,4,1,3,8
Cannington,2026-07-01,1,1,8,2,7
Cannington,2026-07-01,2,7,8,1,9
Cannington,2026-07-01,3,5,1,4,7
Cannington,2026-07-01,4,5,1,7,6
Cannington,2026-07-01,5,8,4,7,5
Cannington,2026-07-01,6,8,6,3,2
Cannington,2026-07-01,7,8,1,2,4
Cannington,2026-07-01,8,4,8,5,1
Cannington,2026-07-01,9,4,1,2,5
Cannington,2026-07-01,10,6,8,2,1
