Track,Date,Race,Winner,2nd,3rd,4th
Richmond,2026-07-05,1,1,5,7,2
Richmond,2026-07-05,2,4,8,9,6
Richmond,2026-07-05,3,3,2,6,7
Richmond,2026-07-05,4,2,1,3,7
Richmond,2026-07-05,5,2,6,4,3
Richmond,2026-07-05,6,4,8,2,7
Richmond,2026-07-05,7,4,8,2,7
Richmond,2026-07-05,8,1,3,4,2
Richmond,2026-07-05,9,8,4,1,5
Richmond,2026-07-05,10,7,6,4,8
Nowra,2026-07-05,1,6,2,4,7
Nowra,2026-07-05,2,8,1,7,2
Nowra,2026-07-05,3,7,1,8,4
Nowra,2026-07-05,4,8,0,0,0
Nowra,2026-07-05,5,3,6,4,7
Nowra,2026-07-05,6,4,7,2,1
Nowra,2026-07-05,7,7,5,8,2
Nowra,2026-07-05,8,4,7,2,5
Temora,2026-07-05,1,1,7,8,2
Temora,2026-07-05,2,5,3,1,2
Temora,2026-07-05,3,7,4,5,2
Temora,2026-07-05,4,5,6,8,7
Temora,2026-07-05,5,7,2,3,1
Temora,2026-07-05,6,5,6,7,8
Temora,2026-07-05,7,2,4,7,3
Temora,2026-07-05,8,7,5,1,8
Temora,2026-07-05,9,1,7,3,8
Temora,2026-07-05,10,2,5,7,1
Healesville,2026-07-05,1,5,7,8,2
Healesville,2026-07-05,2,7,2,6,3
Healesville,2026-07-05,3,4,3,5,8
Healesville,2026-07-05,4,8,2,3,4
Healesville,2026-07-05,5,1,2,8,4
Healesville,2026-07-05,6,5,1,6,3
Healesville,2026-07-05,7,7,6,1,5
Healesville,2026-07-05,8,3,6,1,4
Healesville,2026-07-05,9,7,1,2,3
Healesville,2026-07-05,10,2,3,8,1
Healesville,2026-07-05,11,2,8,4,1
Healesville,2026-07-05,12,1,7,3,8
BetDeluxe Capalaba,2026-07-05,1,3,1,2,7
BetDeluxe Capalaba,2026-07-05,2,2,8,9,7
BetDeluxe Capalaba,2026-07-05,3,1,7,8,5
BetDeluxe Capalaba,2026-07-05,4,2,8,6,4
BetDeluxe Capalaba,2026-07-05,5,6,4,7,2
BetDeluxe Capalaba,2026-07-05,6,4,3,2,7
BetDeluxe Capalaba,2026-07-05,7,3,8,6,1
BetDeluxe Capalaba,2026-07-05,8,3,1,6,7
BetDeluxe Capalaba,2026-07-05,9,8,3,7,6
BetDeluxe Capalaba,2026-07-05,10,7,1,2,5
BetDeluxe Capalaba,2026-07-05,11,2,4,1,7
Mount Gambier,2026-07-05,1,2,5,4,8
Mount Gambier,2026-07-05,2,1,2,8,5
Mount Gambier,2026-07-05,3,5,7,1,4
Mount Gambier,2026-07-05,4,8,1,2,4
Mount Gambier,2026-07-05,5,6,8,2,3
Mount Gambier,2026-07-05,6,4,2,7,8
Mount Gambier,2026-07-05,7,2,3,1,5
Mount Gambier,2026-07-05,8,6,3,5,7
Mount Gambier,2026-07-05,9,8,7,5,1
Mount Gambier,2026-07-05,10,7,4,1,5
Sale,2026-07-05,1,4,6,1,7
Sale,2026-07-05,2,3,1,4,7
Sale,2026-07-05,3,7,2,3,1
Sale,2026-07-05,4,1,2,7,6
Sale,2026-07-05,5,7,2,3,6
Sale,2026-07-05,6,1,3,8,5
Sale,2026-07-05,7,8,4,1,3
Sale,2026-07-05,8,1,6,4,2
Sale,2026-07-05,9,1,7,5,3
Sale,2026-07-05,10,4,3,2,1
