Track,Date,Race,Winner,2nd,3rd,4th
Richmond,2025-12-28,R1,5,7,3,6
Richmond,2025-12-28,R2,1,7,4,6
Richmond,2025-12-28,R3,3,5,1,6
Richmond,2025-12-28,R4,5,2,8,4
Richmond,2025-12-28,R5,7,6,8,1
Richmond,2025-12-28,R6,8,1,3,2
Richmond,2025-12-28,R7,8,4,5,7
Richmond,2025-12-28,R8,7,3,2,8
Richmond,2025-12-28,R9,8,2,7,1
Richmond,2025-12-28,R10,2,5,3,4
Richmond,2025-12-28,R11,8,5,6,2
Grafton,2025-12-28,R1,7,2,8,5
Grafton,2025-12-28,R2,8,1,4,7
Grafton,2025-12-28,R3,4,1,8,5
Grafton,2025-12-28,R4,1,5,6,8
Grafton,2025-12-28,R5,7,8,6,1
Grafton,2025-12-28,R6,4,8,7,2
Grafton,2025-12-28,R7,8,2,3,7
Grafton,2025-12-28,R8,3,1,8,6
Grafton,2025-12-28,R9,4,3,1,6
Grafton,2025-12-28,R10,4,7,6,8
Grafton,2025-12-28,R11,6,8,7,9
Grafton,2025-12-28,R12,2,6,4,8
Healesville,2025-12-28,R1,6,7,8,4
Healesville,2025-12-28,R2,5,1,4,2
Healesville,2025-12-28,R3,7,6,4,5
Healesville,2025-12-28,R4,6,1,2,8
Healesville,2025-12-28,R5,4,3,8,2
Healesville,2025-12-28,R6,6,1,2,4
Healesville,2025-12-28,R7,1,4,2,5
Healesville,2025-12-28,R8,4,5,1,7
Healesville,2025-12-28,R9,6,4,3,7
Healesville,2025-12-28,R10,4,1,5,8
Healesville,2025-12-28,R11,8,7,6,9
Healesville,2025-12-28,R12,7,4,3,1
Mount Gambier,2025-12-28,R1,4,8,7,2
Mount Gambier,2025-12-28,R2,1,2,8,7
Mount Gambier,2025-12-28,R3,1,2,7,8
Mount Gambier,2025-12-28,R4,5,8,4,1
Mount Gambier,2025-12-28,R5,8,4,5,7
Mount Gambier,2025-12-28,R6,3,6,7,2
Mount Gambier,2025-12-28,R7,6,1,5,2
Mount Gambier,2025-12-28,R8,3,1,7,4
Mount Gambier,2025-12-28,R9,8,4,5,2
Mount Gambier,2025-12-28,R10,1,2,8,6
Mount Gambier,2025-12-28,R11,2,4,1,6
Mount Gambier,2025-12-28,R12,2,5,1,7
BetDeluxe Capalaba,2025-12-28,R1,7,3,5,1
BetDeluxe Capalaba,2025-12-28,R2,8,5,1,3
BetDeluxe Capalaba,2025-12-28,R3,1,5,4,7
BetDeluxe Capalaba,2025-12-28,R4,7,1,4,6
BetDeluxe Capalaba,2025-12-28,R5,7,1,2,8
BetDeluxe Capalaba,2025-12-28,R6,8,6,3,4
BetDeluxe Capalaba,2025-12-28,R7,7,4,5,2
BetDeluxe Capalaba,2025-12-28,R8,1,2,7,4
Sale,2025-12-28,R1,4,3,6,8
Sale,2025-12-28,R2,1,8,3,4
Sale,2025-12-28,R3,4,8,3,5
Sale,2025-12-28,R4,4,6,5,2
Sale,2025-12-28,R5,4,2,8,5
Sale,2025-12-28,R6,8,2,6,4
Sale,2025-12-28,R7,2,1,3,8
Sale,2025-12-28,R8,7,6,8,2
Sale,2025-12-28,R9,6,8,1,3
Sale,2025-12-28,R10,2,7,1,4
Sale,2025-12-28,R11,6,1,4,7
Sale,2025-12-28,R12,8,3,1,5
Ladbrokes Q1 Lakeside,2025-12-28,R1,2,8,10,5
Ladbrokes Q1 Lakeside,2025-12-28,R2,3,2,5,6
Ladbrokes Q1 Lakeside,2025-12-28,R3,8,5,7,6
Ladbrokes Q1 Lakeside,2025-12-28,R4,4,7,3,2
Ladbrokes Q1 Lakeside,2025-12-28,R5,4,6,5,8
Ladbrokes Q1 Lakeside,2025-12-28,R6,3,2,1,5
Ladbrokes Q1 Lakeside,2025-12-28,R7,2,7,3,1
Ladbrokes Q1 Lakeside,2025-12-28,R8,3,6,2,8
Ladbrokes Q1 Lakeside,2025-12-28,R9,7,5,1,8
Ladbrokes Q1 Lakeside,2025-12-28,R10,3,8,5,7
Ladbrokes Q1 Lakeside,2025-12-28,R11,1,4,5,9
Ladbrokes Q1 Lakeside,2025-12-28,R12,3,8,4,5
BetDeluxe Rockhampton,2025-12-28,R1,6,7,1,8
BetDeluxe Rockhampton,2025-12-28,R2,2,3,1,5
BetDeluxe Rockhampton,2025-12-28,R3,4,7,5,2
BetDeluxe Rockhampton,2025-12-28,R4,1,6,2,8
BetDeluxe Rockhampton,2025-12-28,R5,7,8,3,1
BetDeluxe Rockhampton,2025-12-28,R6,1,4,5,9
BetDeluxe Rockhampton,2025-12-28,R7,5,6,1,2
BetDeluxe Rockhampton,2025-12-28,R8,6,2,4,1
Gawler,2025-12-28,R1,3,7,5,1
Gawler,2025-12-28,R2,1,2,4,8
Gawler,2025-12-28,R3,8,6,2,1
Gawler,2025-12-28,R4,1,7,3,5
Gawler,2025-12-28,R5,4,6,1,2
Gawler,2025-12-28,R6,1,8,4,2
Gawler,2025-12-28,R7,1,2,4,8
Gawler,2025-12-28,R8,1,2,4,8
