Track,Date,Race,Winner,2nd,3rd,4th
Nowra,2026-05-25,1,2,4,1,3
Nowra,2026-05-25,2,3,7,1,2
Nowra,2026-05-25,3,6,7,1,8
Nowra,2026-05-25,4,1,6,7,3
Nowra,2026-05-25,5,5,10,1,3
Nowra,2026-05-25,6,1,3,4,7
Nowra,2026-05-25,7,1,6,3,8
Nowra,2026-05-25,8,7,1,2,8
Nowra,2026-05-25,9,1,2,6,5
Maitland,2026-05-25,1,3,6,2,8
Maitland,2026-05-25,2,7,1,2,3
Maitland,2026-05-25,3,1,7,2,4
Maitland,2026-05-25,4,1,7,6,4
Maitland,2026-05-25,5,1,3,4,7
Maitland,2026-05-25,6,2,4,7,1
Maitland,2026-05-25,7,8,1,5,3
Maitland,2026-05-25,8,4,3,2,8
Maitland,2026-05-25,9,8,4,2,1
Maitland,2026-05-25,10,1,3,4,8
Shepparton,2026-05-25,1,7,2,6,3
Shepparton,2026-05-25,2,1,6,7,3
Shepparton,2026-05-25,3,9,6,4,3
Shepparton,2026-05-25,4,4,1,3,8
Shepparton,2026-05-25,5,1,5,2,7
Shepparton,2026-05-25,6,6,3,7,1
Shepparton,2026-05-25,7,1,7,2,8
Shepparton,2026-05-25,8,7,5,8,6
Shepparton,2026-05-25,9,1,4,8,9
Shepparton,2026-05-25,10,6,8,2,7
Shepparton,2026-05-25,11,5,6,8,3
Shepparton,2026-05-25,12,2,3,6,5
Warrnambool,2026-05-25,1,7,8,2,5
Warrnambool,2026-05-25,2,4,6,1,3
Warrnambool,2026-05-25,3,7,3,1,5
Warrnambool,2026-05-25,4,1,3,8,5
Warrnambool,2026-05-25,5,3,5,6,4
Warrnambool,2026-05-25,6,5,6,7,3
Warrnambool,2026-05-25,7,6,3,8,2
Warrnambool,2026-05-25,8,2,3,1,5
Warrnambool,2026-05-25,9,7,1,6,4
Warrnambool,2026-05-25,10,4,1,8,2
Warrnambool,2026-05-25,11,2,8,4,3
Warrnambool,2026-05-25,12,2,7,3,6
Traralgon,2026-05-25,1,7,4,1,5
Traralgon,2026-05-25,2,7,3,8,2
Traralgon,2026-05-25,3,4,5,7,6
Traralgon,2026-05-25,4,5,1,4,6
Traralgon,2026-05-25,5,3,7,6,2
Traralgon,2026-05-25,6,7,1,5,6
Traralgon,2026-05-25,7,5,7,2,3
Traralgon,2026-05-25,8,2,5,1,8
Traralgon,2026-05-25,9,1,4,3,2
Traralgon,2026-05-25,10,4,8,1,6
Traralgon,2026-05-25,11,1,4,6,2
Traralgon,2026-05-25,12,6,7,8,2
Northam,2026-05-25,1,2,8,7,4
Northam,2026-05-25,2,2,4,8,6
Northam,2026-05-25,3,7,1,3,5
Northam,2026-05-25,4,8,4,1,6
Northam,2026-05-25,5,7,1,2,6
Northam,2026-05-25,6,7,4,5,8
Northam,2026-05-25,7,8,7,5,4
Northam,2026-05-25,8,3,6,8,2
Northam,2026-05-25,9,2,1,8,4
Northam,2026-05-25,10,7,2,8,5
Ladbrokes Q Straight,2026-05-25,1,5,2,3,6
Ladbrokes Q Straight,2026-05-25,2,8,3,1,7
Ladbrokes Q Straight,2026-05-25,3,9,1,3,4
Ladbrokes Q Straight,2026-05-25,4,8,7,1,6
Ladbrokes Q Straight,2026-05-25,5,7,2,5,1
Ladbrokes Q Straight,2026-05-25,6,4,6,5,3
Ladbrokes Q Straight,2026-05-25,7,4,2,5,3
Ladbrokes Q Straight,2026-05-25,8,4,8,6,3
Ladbrokes Q Straight,2026-05-25,9,6,7,2,3
Ladbrokes Q Straight,2026-05-25,10,2,7,1,3
Ladbrokes Q Straight,2026-05-25,11,3,7,4,6
Ladbrokes Q Straight,2026-05-25,12,2,8,6,1
Angle Park,2026-05-25,1,8,4,1,7
Angle Park,2026-05-25,2,2,1,7,5
Angle Park,2026-05-25,3,8,6,4,1
Angle Park,2026-05-25,4,1,2,4,6
Angle Park,2026-05-25,5,1,8,3,7
Angle Park,2026-05-25,6,1,7,8,6
Angle Park,2026-05-25,7,1,4,2,8
Angle Park,2026-05-25,8,8,4,7,5
Angle Park,2026-05-25,9,2,8,6,4
Angle Park,2026-05-25,10,2,4,1,8
Angle Park,2026-05-25,11,5,4,2,1
Sandown,2026-05-25,1,1,7,3,2
Sandown,2026-05-25,2,8,2,7,1
Sandown,2026-05-25,3,2,6,1,8
Sandown,2026-05-25,4,1,2,6,4
Sandown,2026-05-25,5,4,8,7,6
Sandown,2026-05-25,6,4,1,2,3
Sandown,2026-05-25,7,4,8,6,3
Sandown,2026-05-25,8,7,8,4,2
Sandown,2026-05-25,9,5,8,1,2
Sandown,2026-05-25,10,1,2,7,3
Sandown,2026-05-25,11,6,8,7,10
Sandown,2026-05-25,12,3,9,1,8
Launceston,2026-05-25,1,8,1,7,2
Launceston,2026-05-25,2,3,4,9,6
Launceston,2026-05-25,3,5,6,1,4
Launceston,2026-05-25,4,1,8,7,10
Launceston,2026-05-25,5,1,4,,
Launceston,2026-05-25,6,7,4,6,8
Launceston,2026-05-25,7,2,4,3,1
Launceston,2026-05-25,8,5,4,6,1
Launceston,2026-05-25,9,4,7,1,5
Launceston,2026-05-25,10,9,6,1,8
Launceston,2026-05-25,11,2,8,9,4
