Track,Date,Race,Winner,2nd,3rd,4th
Goulburn,2026-01-02,1,1,7,2,4
Goulburn,2026-01-02,2,3,8,2,4
Goulburn,2026-01-02,3,8,2,7,4
Goulburn,2026-01-02,4,3,7,8,1
Goulburn,2026-01-02,5,5,8,7,4
Goulburn,2026-01-02,6,5,4,8,2
Goulburn,2026-01-02,7,3,1,4,8
Goulburn,2026-01-02,8,4,2,3,7
Goulburn,2026-01-02,9,8,7,5,6
Goulburn,2026-01-02,10,2,8,1,7
Ladbrokes Gardens,2026-01-02,1,2,7,3,5
Ladbrokes Gardens,2026-01-02,2,1,4,9,2
Ladbrokes Gardens,2026-01-02,3,4,5,7,1
Ladbrokes Gardens,2026-01-02,4,7,2,1,5
Ladbrokes Gardens,2026-01-02,5,5,7,8,1
Ladbrokes Gardens,2026-01-02,6,3,1,6,8
Ladbrokes Gardens,2026-01-02,7,6,7,8,1
Ladbrokes Gardens,2026-01-02,8,4,1,7,6
Ladbrokes Gardens,2026-01-02,9,2,1,6,4
Ladbrokes Gardens,2026-01-02,10,2,7,3,5
Ladbrokes Gardens,2026-01-02,11,2,7,5,4
Ladbrokes Gardens,2026-01-02,12,5,1,7,3
Richmond,2026-01-02,1,4,1,2,5
Richmond,2026-01-02,2,4,6,8,1
Richmond,2026-01-02,3,1,2,4,3
Richmond,2026-01-02,4,1,8,2,7
Richmond,2026-01-02,5,5,2,8,1
Richmond,2026-01-02,6,8,6,1,2
Richmond,2026-01-02,7,7,4,1,8
Richmond,2026-01-02,8,2,3,7,6
Richmond,2026-01-02,9,1,5,8,3
Richmond,2026-01-02,10,3,7,6,8
Richmond,2026-01-02,11,1,7,3,4
Wagga,2026-01-02,1,8,1,7,2
Wagga,2026-01-02,2,5,2,8,7
Wagga,2026-01-02,3,8,3,4,6
Wagga,2026-01-02,4,4,7,2,5
Wagga,2026-01-02,5,1,2,8,7
Wagga,2026-01-02,6,2,1,5,8
Wagga,2026-01-02,7,7,2,5,3
Wagga,2026-01-02,8,8,2,1,3
Wagga,2026-01-02,9,4,8,1,7
Wagga,2026-01-02,10,7,4,3,5
Healesville,2026-01-02,1,8,4,5,1
Healesville,2026-01-02,2,5,7,8,1
Healesville,2026-01-02,3,1,4,6,9
Healesville,2026-01-02,4,2,1,6,7
