Track,Race,Position1,Position2,Position3,Position4
Casino,1,1,8,5,4
Casino,2,7,3,1,4
Casino,3,6,2,8,5
Casino,4,1,8,7,6
Casino,5,2,1,4,3
Casino,6,1,2,7,3
Casino,7,1,8,5,4
Casino,8,1,2,4,8
Casino,9,5,8,6,3
Casino,10,1,2,4,7
Casino,11,1,2,3,7
Casino,12,7,8,2,4
Bulli,1,1,7,6,3
Bulli,2,8,7,6,2
Bulli,3,4,7,2,1
Bulli,4,9,7,3,2
Bulli,5,3,2,7,5
Bulli,6,4,2,7,8
Bulli,7,2,6,3,1
Bulli,8,1,5,7,6
Bulli,9,2,3,6,7
Bulli,10,5,4,1,2
Bulli,11,2,1,3,7
Bulli,12,3,6,1,7
Gosford,1,5,6,8,2
Gosford,2,1,8,4,6
Gosford,3,2,7,5,1
Gosford,4,4,1,7,2
Gosford,5,1,8,7,4
Gosford,6,7,5,1,6
Gosford,7,4,8,1,3
Gosford,8,1,4,2,8
Gosford,9,8,1,3,6
Gosford,10,2,8,3,4
Gosford,11,3,7,1,4
Gosford,12,7,2,6,8
Launceston,1,4,1,2,8
Launceston,2,3,6,4,7
Launceston,3,2,3,1,4
Launceston,4,6,2,8,7
Launceston,5,3,5,7,2
Launceston,6,2,1,5,3
Launceston,7,7,1,9,6
Launceston,8,3,6,8,4
Launceston,9,2,4,3,8
Launceston,10,5,1,2,3
Launceston,11,8,5,9,7
Ladbrokes Q1 Lakeside,1,2,4,8,9
Ladbrokes Q1 Lakeside,2,7,8,9,6
Ladbrokes Q1 Lakeside,3,3,2,5,7
Ladbrokes Q1 Lakeside,4,6,4,8,3
Ladbrokes Q1 Lakeside,5,2,5,7,6
Ladbrokes Q1 Lakeside,6,4,7,6,9
Ladbrokes Q1 Lakeside,7,6,3,4,1
Ladbrokes Q1 Lakeside,8,1,4,6,10
Ladbrokes Q1 Lakeside,9,4,2,7,8
Ladbrokes Q1 Lakeside,10,4,6,3,5
Mandurah,1,2,3,5,6
Mandurah,2,5,8,4,2
Mandurah,3,6,8,5,2
Mandurah,4,1,6,7,8
Mandurah,5,1,3,4,6
Mandurah,6,1,6,8,5
Mandurah,7,2,4,5,7
Mandurah,8,4,8,2,1
Mandurah,9,4,2,7,6
Mandurah,10,4,1,5,7
Mandurah,11,1,3,2,8
Mandurah,12,1,2,7,3
Angle Park,1,7,8,1,2
Angle Park,2,5,2,7,1
Angle Park,3,2,4,1,8
Angle Park,4,1,7,4,2
Angle Park,5,2,8,7,5
Angle Park,6,1,2,8,7
Angle Park,7,1,8,4,7
Angle Park,8,8,7,1,5
Angle Park,9,5,1,2,4
Angle Park,10,2,4,7,5
