Track,Race,Position1,Position2,Position3,Position4
Casino,R1,3,2,1,8
Casino,R2,4,7,5,2
Casino,R3,4,8,7,1
Casino,R4,5,8,7,4
Casino,R5,1,8,4,2
Casino,R6,2,6,4,7
Casino,R7,2,7,1,4
Casino,R8,4,1,10,7
Casino,R9,1,6,5,4
Casino,R10,2,3,7,6
Casino,R11,4,7,1,8
Bulli,R1,6,7,1,2
Bulli,R2,2,3,4,6
Bulli,R3,3,1,6,7
Bulli,R4,7,3,2,1
Bulli,R5,6,4,9,1
Bulli,R6,5,3,6,8
Bulli,R7,4,8,2,3
Bulli,R8,2,3,7,6
Bulli,R9,1,8,7,2
Bulli,R10,8,7,1,4
Bulli,R11,2,5,4,8
Gosford,R1,6,3,5,7
Gosford,R2,8,6,7,4
Gosford,R3,7,3,8,4
Gosford,R4,5,3,8,6
Gosford,R5,2,3,7,6
Gosford,R6,3,8,2,4
Gosford,R7,8,3,7,4
Gosford,R8,6,3,8,5
Gosford,R9,2,6,1,4
Gosford,R10,3,4,7,1
Gosford,R11,8,2,6,1
Gosford,R12,4,7,3,8
Ladbrokes Q Straight,R1,6,5,1,8
Ladbrokes Q Straight,R2,8,4,6,1
Ladbrokes Q Straight,R3,1,8,3,6
Ladbrokes Q Straight,R4,5,7,2,8
Ladbrokes Q Straight,R5,3,2,6,9
Ladbrokes Q Straight,R6,6,5,3,7
Ladbrokes Q Straight,R7,6,3,8,1
Ladbrokes Q Straight,R8,8,4,7,1
Ladbrokes Q Straight,R9,8,4,6,1
Ladbrokes Q Straight,R10,2,1,3,4
Ladbrokes Q Straight,R11,5,6,2,8
Ladbrokes Q Straight,R12,7,3,1,2
Murray Bridge Straight,R1,3,7,1,5
Murray Bridge Straight,R2,8,2,6,1
Murray Bridge Straight,R3,8,1,2,6
Murray Bridge Straight,R4,4,2,1,6
Murray Bridge Straight,R5,5,1,7,2
Murray Bridge Straight,R6,1,10,2,4
Murray Bridge Straight,R7,2,4,1,5
Murray Bridge Straight,R8,7,2,4,5
Murray Bridge Straight,R9,1,8,4,2
Murray Bridge Straight,R10,2,1,7,8
Murray Bridge Straight,R11,1,5,3,7
Murray Bridge Straight,R12,4,8,1,5
Horsham,R1,1,6,2,4
Horsham,R2,1,4,2,6
Horsham,R3,6,8,4,5
Horsham,R4,6,1,2,5
Horsham,R5,1,5,6,4
Horsham,R6,7,1,6,2
Horsham,R7,7,2,6,4
Horsham,R8,2,3,6,1
Horsham,R9,1,8,4,3
Horsham,R10,4,5,3,7
Horsham,R11,3,2,1,8
Horsham,R12,8,1,2,6
Geelong,R1,7,2,5,1
Geelong,R2,8,6,5,7
Geelong,R3,7,1,8,4
Geelong,R4,8,7,1,4
Geelong,R5,2,6,8,7
Geelong,R6,1,4,2,8
Geelong,R7,8,4,7,2
Geelong,R8,4,6,2,8
Geelong,R9,2,3,4,8
Geelong,R10,4,3,6,7
Geelong,R11,2,7,8,4
Geelong,R12,8,7,2,4
Launceston,R1,1,3,7,2
Launceston,R2,8,1,5,4
Launceston,R3,3,6,4,2
Launceston,R4,2,7,3,1
Launceston,R5,7,3,8,6
Launceston,R6,3,5,1,7
Launceston,R7,2,1,3,7
Launceston,R8,3,1,2,7
Launceston,R9,7,4,8,1
Launceston,R10,6,1,2,7
Angle Park,R1,2,6,1,8
Angle Park,R2,4,2,5,7
Angle Park,R3,4,5,1,2
Angle Park,R4,1,4,7,2
Angle Park,R5,2,5,8,7
Angle Park,R6,4,2,8,7
Angle Park,R7,2,7,1,5
Angle Park,R8,2,1,8,5
Angle Park,R9,1,4,5,8
Angle Park,R10,8,2,7,1
Warragul,R1,5,3,7,6
Warragul,R2,8,2,9,1
Warragul,R3,1,6,5,7
Warragul,R4,6,2,7,5
Warragul,R5,3,4,1,5
Warragul,R6,6,5,4,3
Warragul,R7,3,7,8,1
Warragul,R8,3,8,4,6
Warragul,R9,8,1,6,5
Warragul,R10,3,1,2,6
Warragul,R11,8,2,1,5
Warragul,R12,2,7,1,8
Ladbrokes Q1 Lakeside,R1,8,4,3,2
Ladbrokes Q1 Lakeside,R2,4,2,1,8
Ladbrokes Q1 Lakeside,R3,4,5,3,6
Ladbrokes Q1 Lakeside,R4,6,1,4,7
Ladbrokes Q1 Lakeside,R5,1,8,3,7
Ladbrokes Q1 Lakeside,R6,3,8,4,5
Ladbrokes Q1 Lakeside,R7,4,1,2,7
Ladbrokes Q1 Lakeside,R8,7,2,3,5
Ladbrokes Q1 Lakeside,R9,4,2,7,6
Ladbrokes Q1 Lakeside,R10,2,4,5,8
Ladbrokes Q1 Lakeside,R11,4,7,5,6
Mandurah,R1,2,4,1,6
Mandurah,R2,1,5,2,4
Mandurah,R3,3,2,1,4
Mandurah,R4,2,8,3,1
Mandurah,R5,6,7,3,5
Mandurah,R6,2,8,5,3
Mandurah,R7,8,6,4,7
Mandurah,R8,1,5,4,2
Mandurah,R9,4,5,8,7
Mandurah,R10,1,7,5,4
