Track,Date,Race,Winner,2nd,3rd,4th
Taree,2026-04-25,1,6,3,4,7
Taree,2026-04-25,2,4,8,1,7
Taree,2026-04-25,3,4,7,6,2
Taree,2026-04-25,4,2,1,8,7
Taree,2026-04-25,5,4,6,5,3
Taree,2026-04-25,6,1,7,5,4
Taree,2026-04-25,7,3,1,2,5
Taree,2026-04-25,8,7,1,4,6
Taree,2026-04-25,9,4,7,2,1
Taree,2026-04-25,10,7,2,1,3
Taree,2026-04-25,11,6,4,7,8
Taree,2026-04-25,12,7,2,4,6
Richmond Straight,2026-04-25,1,5,4,8,6
Richmond Straight,2026-04-25,2,2,8,7,5
Richmond Straight,2026-04-25,3,6,7,1,8
Richmond Straight,2026-04-25,4,1,3,7,5
Richmond Straight,2026-04-25,5,8,2,1,7
Richmond Straight,2026-04-25,6,6,8,1,4
Richmond Straight,2026-04-25,7,3,4,8,5
Richmond Straight,2026-04-25,8,1,2,4,6
Richmond Straight,2026-04-25,9,8,2,1,3
Richmond Straight,2026-04-25,10,1,2,8,6
Richmond Straight,2026-04-25,11,8,1,3,5
Richmond Straight,2026-04-25,12,7,5,10,1
Gunnedah,2026-04-25,1,5,6,8,2
Gunnedah,2026-04-25,2,7,6,3,4
Gunnedah,2026-04-25,3,8,1,6,4
Gunnedah,2026-04-25,4,8,7,6,3
Gunnedah,2026-04-25,5,7,8,2,4
Gunnedah,2026-04-25,6,5,7,2,1
Gunnedah,2026-04-25,7,5,1,2,7
Gunnedah,2026-04-25,8,1,8,3,2
Gunnedah,2026-04-25,9,6,3,5,7
Gunnedah,2026-04-25,10,3,6,8,2
Gunnedah,2026-04-25,11,6,5,7,3
Gunnedah,2026-04-25,12,7,6,8,5
The Gardens,2026-04-25,1,1,5,3,6
The Gardens,2026-04-25,2,2,8,7,3
The Gardens,2026-04-25,3,8,4,1,6
The Gardens,2026-04-25,4,8,2,1,4
The Gardens,2026-04-25,5,1,2,7,5
The Gardens,2026-04-25,6,1,5,7,8
The Gardens,2026-04-25,7,8,7,1,6
The Gardens,2026-04-25,8,3,8,5,1
The Gardens,2026-04-25,9,8,7,4,6
The Gardens,2026-04-25,10,8,2,4,3
The Gardens,2026-04-25,11,5,8,1,3
The Gardens,2026-04-25,12,7,8,3,4
Wentworth Park,2026-04-25,1,5,10,4,8
Wentworth Park,2026-04-25,2,7,2,1,8
Wentworth Park,2026-04-25,3,1,3,2,8
Wentworth Park,2026-04-25,4,4,7,1,5
Wentworth Park,2026-04-25,5,3,8,4,1
Wentworth Park,2026-04-25,6,2,1,5,7
Wentworth Park,2026-04-25,7,2,8,1,7
Wentworth Park,2026-04-25,8,1,2,6,5
Wentworth Park,2026-04-25,9,2,1,6,5
Wentworth Park,2026-04-25,10,6,8,5,7
Horsham,2026-04-25,1,8,1,2,5
Horsham,2026-04-25,2,2,3,6,1
Horsham,2026-04-25,3,2,7,4,3
Horsham,2026-04-25,4,5,4,8,7
Horsham,2026-04-25,5,6,3,7,1
Horsham,2026-04-25,6,3,1,7,6
Horsham,2026-04-25,7,6,2,4,1
Horsham,2026-04-25,8,8,1,3,2
Horsham,2026-04-25,9,7,1,8,2
Horsham,2026-04-25,10,5,8,1,7
Q Lakeside,2026-04-25,1,7,3,8,2
Q Lakeside,2026-04-25,2,6,1,4,3
Q Lakeside,2026-04-25,3,8,3,1,6
Q Lakeside,2026-04-25,4,8,3,7,1
Q Lakeside,2026-04-25,5,4,3,8,2
Q Lakeside,2026-04-25,6,8,1,2,5
Q Lakeside,2026-04-25,7,2,5,1,8
Q Lakeside,2026-04-25,8,2,6,1,3
Q Lakeside,2026-04-25,9,1,7,6,8
Q Lakeside,2026-04-25,10,3,1,2,4
Meadows,2026-04-25,1,4,5,8,3
Meadows,2026-04-25,2,2,5,1,6
Meadows,2026-04-25,3,8,3,4,7
Meadows,2026-04-25,4,2,6,1,7
Meadows,2026-04-25,5,6,3,1,8
Meadows,2026-04-25,6,2,3,4,8
Meadows,2026-04-25,7,2,3,6,7
Meadows,2026-04-25,8,2,4,1,7
Meadows,2026-04-25,9,7,4,3,6
Meadows,2026-04-25,10,8,4,3,2
Meadows,2026-04-25,11,2,3,4,8
Meadows,2026-04-25,12,3,4,2,1
Cannington,2026-04-25,1,5,7,1,3
Cannington,2026-04-25,2,8,2,3,1
Cannington,2026-04-25,3,2,3,6,7
Cannington,2026-04-25,4,5,4,8,10
Cannington,2026-04-25,5,2,8,4,1
Cannington,2026-04-25,6,4,1,5,7
Cannington,2026-04-25,7,7,6,1,2
Cannington,2026-04-25,8,2,8,6,7
Cannington,2026-04-25,9,4,7,8,1
Cannington,2026-04-25,10,4,8,1,2
