Track,Race,Position1,Position2,Position3,Position4
Richmond,1,4,6,1,9
Richmond,2,6,3,1,4
Richmond,3,4,7,8,2
Richmond,4,3,4,7,8
Richmond,5,2,8,7,1
Richmond,6,7,8,2,5
Richmond,7,5,4,2,1
Richmond,8,5,1,8,4
Richmond,9,1,8,4,7
Richmond,10,8,6,2,5
Richmond,11,8,1,2,7
Richmond,12,1,8,5,2
Grafton,1,1,8,2,9
Grafton,2,7,2,5,8
Grafton,3,2,3,1,8
Grafton,4,4,9,7,5
Grafton,5,3,8,7,6
Grafton,6,2,8,6,7
Grafton,7,7,2,6,8
Grafton,8,4,3,1,5
Grafton,9,6,8,7,1
Grafton,10,7,8,1,2
Grafton,11,1,7,4,8
Healesville,1,2,4,6,7
Healesville,2,1,5,2,6
Mount Gambier,1,7,8,2,4
Mount Gambier,2,4,8,7,1
Mount Gambier,3,7,1,2,4
Mount Gambier,4,1,5,4,8
Mount Gambier,5,8,1,4,2
Mount Gambier,6,1,2,7,5
Mount Gambier,7,1,3,2,8
Mount Gambier,8,6,1,7,2
Mount Gambier,9,2,8,6,4
Mount Gambier,10,4,6,1,8
Mount Gambier,11,8,6,2,1
Mount Gambier,12,2,4,5,8
BetDeluxe Capalaba,1,6,2,8,3
BetDeluxe Capalaba,2,8,4,7,3
BetDeluxe Capalaba,3,5,2,8,4
BetDeluxe Capalaba,4,7,5,8,1
BetDeluxe Capalaba,5,8,6,5,1
BetDeluxe Capalaba,6,6,1,8,2
BetDeluxe Capalaba,7,8,1,6,5
BetDeluxe Capalaba,8,7,4,1,3
BetDeluxe Capalaba,9,1,3,6,8
BetDeluxe Capalaba,10,8,2,7,4
BetDeluxe Rockhampton,1,1,6,2,3
BetDeluxe Rockhampton,2,1,8,2,7
BetDeluxe Rockhampton,3,3,4,5,7
BetDeluxe Rockhampton,4,9,6,5,7
BetDeluxe Rockhampton,5,4,6,9,1
BetDeluxe Rockhampton,6,1,4,2,10
BetDeluxe Rockhampton,7,5,4,3,8
BetDeluxe Rockhampton,8,8,6,7,4
BetDeluxe Rockhampton,9,3,7,4,1
BetDeluxe Rockhampton,10,2,1,5,4
BetDeluxe Rockhampton,11,5,2,7,1
BetDeluxe Rockhampton,12,1,2,4,5
Ladbrokes Q2 Parklands,1,3,4,1,2
Ladbrokes Q2 Parklands,2,7,2,4,6
Ladbrokes Q2 Parklands,3,7,1,4,3
Ladbrokes Q2 Parklands,4,7,2,9,8
Ladbrokes Q2 Parklands,5,5,4,6,8
Ladbrokes Q2 Parklands,6,8,2,4,7
Ladbrokes Q2 Parklands,7,4,3,1,7
Ladbrokes Q2 Parklands,8,5,7,6,2
Gawler,1,2,4,6,8
Gawler,2,4,6,8,1
Gawler,3,2,8,1,6
Gawler,5,4,1,5,8
Gawler,6,7,5,4,8
Gawler,7,8,5,1,2
Gawler,8,1,6,8,4
Gawler,9,4,6,1,8
Gawler,10,8,4,1,2
Sale,1,1,2,6,8
Sale,2,8,7,1,2
Sale,3,1,8,2,6
Sale,4,5,8,7,2
Sale,5,6,2,1,5
Sale,6,8,3,1,4
Sale,7,6,5,7,1
Sale,8,7,6,4,1
Sale,9,2,5,1,6
Sale,10,5,3,4,2
Sale,11,1,6,2,8
Sale,12,3,1,6,7
Darwin,1,8,7,2,4
Darwin,2,4,1,8,2
Darwin,4,5,3,7,8
Darwin,5,8,4,1,7
Darwin,6,2,5,7,9
Darwin,7,1,8,5,2
Darwin,8,2,6,1,5
Darwin,9,2,1,5,7
Darwin,10,8,7,1,4
