Date,Track,Race,WinnerBox
2026-01-07,Dubbo,1,4
2026-01-07,Dubbo,2,7
2026-01-07,Dubbo,3,3
2026-01-07,Dubbo,4,3
2026-01-07,Dubbo,5,4
2026-01-07,Dubbo,6,7
2026-01-07,Dubbo,7,5
2026-01-07,Dubbo,8,4
2026-01-07,Dubbo,9,4
2026-01-07,Dubbo,10,5
2026-01-07,Dubbo,11,6
2026-01-07,Maitland,1,3
2026-01-07,Maitland,2,7
2026-01-07,Maitland,3,3
2026-01-07,Maitland,4,3
2026-01-07,Maitland,5,3
2026-01-07,Maitland,6,4
2026-01-07,Maitland,7,1
2026-01-07,Maitland,8,8
2026-01-07,Maitland,9,3
2026-01-07,Nowra,1,2
2026-01-07,Nowra,2,6
2026-01-07,Nowra,3,7
2026-01-07,Nowra,4,5
2026-01-07,Nowra,5,2
2026-01-07,Nowra,6,5
2026-01-07,Nowra,7,4
2026-01-07,Nowra,8,5
2026-01-07,Nowra,9,2
2026-01-07,Nowra,10,2
2026-01-07,Nowra,11,3
2026-01-07,Healesville,1,3
2026-01-07,Healesville,2,2
2026-01-07,Healesville,3,5
2026-01-07,Healesville,4,3
2026-01-07,Healesville,5,8
2026-01-07,Healesville,6,1
2026-01-07,Healesville,7,2
2026-01-07,Healesville,8,5
2026-01-07,Healesville,9,6
2026-01-07,Healesville,10,8
2026-01-07,Healesville,11,7
2026-01-07,Healesville,12,7
2026-01-07,Ballarat,1,2
2026-01-07,Ballarat,2,8
2026-01-07,Ballarat,3,5
2026-01-07,Ballarat,4,2
2026-01-07,Ballarat,5,8
2026-01-07,Ballarat,6,8
2026-01-07,Ballarat,7,10
2026-01-07,Ballarat,8,1
2026-01-07,Ballarat,9,6
2026-01-07,Ballarat,10,8
2026-01-07,Ballarat,11,6
2026-01-07,Ballarat,12,1
2026-01-07,Warrnambool,1,4
2026-01-07,Warrnambool,2,1
2026-01-07,Warrnambool,3,4
2026-01-07,Warrnambool,4,2
2026-01-07,Warrnambool,5,6
2026-01-07,Warrnambool,6,6
2026-01-07,Warrnambool,7,2
2026-01-07,Warrnambool,8,1
2026-01-07,Warrnambool,9,3
2026-01-07,Warrnambool,10,7
2026-01-07,Warrnambool,11,2
2026-01-07,Warrnambool,12,6
2026-01-07,Angle Park,1,2
2026-01-07,Angle Park,2,7
2026-01-07,Angle Park,3,7
2026-01-07,Angle Park,4,4
2026-01-07,Angle Park,5,2
2026-01-07,Angle Park,6,1
2026-01-07,Angle Park,7,3
2026-01-07,Angle Park,8,1
2026-01-07,Angle Park,9,5
2026-01-07,Angle Park,10,1
2026-01-07,Angle Park,11,4
2026-01-07,Angle Park,12,6
2026-01-07,Shepparton,1,7
2026-01-07,Shepparton,2,3
2026-01-07,Shepparton,3,5
2026-01-07,Shepparton,4,8
2026-01-07,Shepparton,5,6
2026-01-07,Shepparton,6,1
2026-01-07,Shepparton,7,5
2026-01-07,Shepparton,8,2
2026-01-07,Shepparton,9,7
2026-01-07,Shepparton,10,2
2026-01-07,Shepparton,11,2
2026-01-07,Shepparton,12,2
2026-01-07,Ladbrokes Q Straight,1,10
2026-01-07,Ladbrokes Q Straight,2,2
2026-01-07,Ladbrokes Q Straight,3,6
2026-01-07,Ladbrokes Q Straight,4,6
2026-01-07,Ladbrokes Q Straight,5,6
2026-01-07,Ladbrokes Q Straight,6,2
2026-01-07,Ladbrokes Q Straight,7,8
2026-01-07,Ladbrokes Q Straight,8,3
2026-01-07,Ladbrokes Q Straight,9,2
2026-01-07,Ladbrokes Q Straight,10,3
2026-01-07,Ladbrokes Q Straight,11,5
2026-01-07,Ladbrokes Q Straight,12,8
2026-01-07,Launceston,1,7
2026-01-07,Launceston,2,1
2026-01-07,Launceston,3,1
2026-01-07,Launceston,4,7
2026-01-07,Launceston,5,2
2026-01-07,Launceston,6,4
2026-01-07,Launceston,7,1
2026-01-07,Launceston,8,8
2026-01-07,Launceston,9,1
2026-01-07,Launceston,10,1
2026-01-07,Mandurah,1,8
2026-01-07,Mandurah,2,8
2026-01-07,Mandurah,3,1
2026-01-07,Mandurah,4,6
2026-01-07,Mandurah,5,5
2026-01-07,Mandurah,6,3
2026-01-07,Mandurah,7,3
2026-01-07,Mandurah,8,8
2026-01-07,Mandurah,9,2
2026-01-07,Mandurah,10,2
2026-01-07,Mandurah,11,7
