Track,Date,Race,Winner,2nd,3rd,4th
Nowra,2026-05-04,1,6,4,7,3
Nowra,2026-05-04,2,6,3,1,8
Nowra,2026-05-04,3,1,6,2,7
Nowra,2026-05-04,4,1,6,2,3
Nowra,2026-05-04,5,8,2,6,7
Nowra,2026-05-04,6,4,2,8,7
Nowra,2026-05-04,7,8,5,4,2
Nowra,2026-05-04,8,2,1,8,6
Nowra,2026-05-04,9,2,3,8,6
Nowra,2026-05-04,10,1,4,8,7
Maitland,2026-05-04,1,2,1,8,5
Maitland,2026-05-04,2,3,7,6,8
Maitland,2026-05-04,3,8,6,1,2
Maitland,2026-05-04,4,8,5,2,1
Maitland,2026-05-04,5,3,1,2,6
Maitland,2026-05-04,6,5,8,7,1
Maitland,2026-05-04,7,1,6,8,3
Maitland,2026-05-04,8,2,3,1,4
Maitland,2026-05-04,9,2,7,1,6
Ballarat,2026-05-04,1,4,8,2,3
Ballarat,2026-05-04,2,3,4,8,5
Ballarat,2026-05-04,3,1,4,2,3
Ballarat,2026-05-04,4,4,8,3,7
Ballarat,2026-05-04,5,2,3,7,4
Ballarat,2026-05-04,6,3,1,6,2
Ballarat,2026-05-04,7,1,2,8,6
Ballarat,2026-05-04,8,2,3,8,4
Ballarat,2026-05-04,9,5,1,8,3
Ballarat,2026-05-04,10,6,1,3,7
Ballarat,2026-05-04,11,1,8,2,5
Ballarat,2026-05-04,12,2,7,1,3
BetDeluxe Rockhampton,2026-05-04,1,7,3,6,4
BetDeluxe Rockhampton,2026-05-04,2,7,8,4,1
BetDeluxe Rockhampton,2026-05-04,3,5,4,1,3
BetDeluxe Rockhampton,2026-05-04,4,3,7,2,1
BetDeluxe Rockhampton,2026-05-04,5,2,4,1,6
BetDeluxe Rockhampton,2026-05-04,6,4,8,7,2
BetDeluxe Rockhampton,2026-05-04,7,1,7,2,3
BetDeluxe Rockhampton,2026-05-04,8,8,6,2,5
BetDeluxe Rockhampton,2026-05-04,9,4,5,7,8
BetDeluxe Rockhampton,2026-05-04,10,5,1,4,8
BetDeluxe Rockhampton,2026-05-04,11,6,8,7,4
Shepparton,2026-05-04,1,4,5,1,7
Shepparton,2026-05-04,2,1,7,4,8
Shepparton,2026-05-04,3,2,3,5,4
Shepparton,2026-05-04,4,7,4,8,3
Shepparton,2026-05-04,5,2,1,8,3
Shepparton,2026-05-04,6,7,4,5,1
Shepparton,2026-05-04,7,5,2,1,7
Shepparton,2026-05-04,8,8,1,4,7
Shepparton,2026-05-04,9,3,2,6,7
Shepparton,2026-05-04,10,8,1,3,5
Shepparton,2026-05-04,11,4,3,1,8
Shepparton,2026-05-04,12,1,2,4,7
Warrnambool,2026-05-04,1,1,7,4,8
Warrnambool,2026-05-04,2,5,1,4,8
Warrnambool,2026-05-04,3,1,5,8,2
Warrnambool,2026-05-04,4,1,4,2,6
Warrnambool,2026-05-04,5,7,3,8,1
Warrnambool,2026-05-04,6,1,7,8,5
Warrnambool,2026-05-04,7,4,1,2,7
Warrnambool,2026-05-04,8,3,1,5,4
Warrnambool,2026-05-04,9,1,6,2,8
Warrnambool,2026-05-04,10,2,5,4,8
Warrnambool,2026-05-04,11,2,7,4,5
Warrnambool,2026-05-04,12,8,7,5,4
Northam,2026-05-04,1,5,4,1,2
Northam,2026-05-04,2,6,8,1,3
Northam,2026-05-04,3,1,4,8,2
Northam,2026-05-04,4,1,8,2,6
Northam,2026-05-04,5,7,4,8,5
Northam,2026-05-04,6,5,3,4,9
Northam,2026-05-04,7,1,2,4,8
Northam,2026-05-04,8,7,1,2,6
Northam,2026-05-04,9,1,4,2,8
