Date,Track,RaceNumber,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
2025-12-28,Richmond,R1,5,7,3,6,,,,,,
2025-12-28,Richmond,R2,1,7,4,6,,,,,,
2025-12-28,Richmond,R3,3,5,1,6,,,,,,
2025-12-28,Richmond,R4,5,2,8,4,,,,,,
2025-12-28,Richmond,R5,7,6,8,1,,,,,,
2025-12-28,Richmond,R6,8,1,3,2,,,,,,
2025-12-28,Richmond,R7,8,4,5,7,,,,,,
2025-12-28,Richmond,R8,7,3,2,8,,,,,,
2025-12-28,Richmond,R9,8,2,7,1,,,,,,
2025-12-28,Richmond,R10,2,5,3,4,,,,,,
2025-12-28,Richmond,R11,8,5,6,2,,,,,,
2025-12-28,Grafton,R1,7,2,8,5,,,,,,
2025-12-28,Grafton,R2,8,1,4,7,,,,,,
2025-12-28,Grafton,R3,4,1,8,5,,,,,,
2025-12-28,Grafton,R4,1,5,6,8,,,,,,
2025-12-28,Grafton,R5,7,8,6,1,,,,,,
2025-12-28,Grafton,R6,4,8,7,2,,,,,,
2025-12-28,Grafton,R7,8,2,3,7,,,,,,
2025-12-28,Grafton,R8,3,1,8,6,,,,,,
2025-12-28,Grafton,R9,4,3,1,6,,,,,,
2025-12-28,Grafton,R10,4,7,6,8,,,,,,
2025-12-28,Grafton,R11,6,8,7,9,,,,,,
2025-12-28,Grafton,R12,2,6,4,8,,,,,,
2025-12-28,Healesville,R1,6,7,8,4,,,,,,
2025-12-28,Healesville,R2,5,1,4,2,,,,,,
2025-12-28,Healesville,R3,7,6,4,5,,,,,,
2025-12-28,Healesville,R4,6,1,2,8,,,,,,
2025-12-28,Healesville,R5,4,3,8,2,,,,,,
2025-12-28,Healesville,R6,6,1,2,4,,,,,,
2025-12-28,Healesville,R7,1,4,2,5,,,,,,
2025-12-28,Healesville,R8,4,5,1,7,,,,,,
2025-12-28,Healesville,R9,6,4,3,7,,,,,,
2025-12-28,Healesville,R10,4,1,5,8,,,,,,
2025-12-28,Healesville,R11,8,7,6,9,,,,,,
2025-12-28,Healesville,R12,7,4,3,1,,,,,,
2025-12-28,Mount Gambier,R1,4,8,7,2,,,,,,
2025-12-28,Mount Gambier,R2,1,2,8,7,,,,,,
2025-12-28,Mount Gambier,R3,1,2,7,8,,,,,,
2025-12-28,Mount Gambier,R4,5,8,4,1,,,,,,
2025-12-28,Mount Gambier,R5,8,4,5,7,,,,,,
2025-12-28,Mount Gambier,R6,3,6,7,2,,,,,,
2025-12-28,Mount Gambier,R7,6,1,5,2,,,,,,
2025-12-28,Mount Gambier,R8,3,1,7,4,,,,,,
2025-12-28,Mount Gambier,R9,8,4,5,2,,,,,,
2025-12-28,Mount Gambier,R10,1,2,8,6,,,,,,
2025-12-28,Mount Gambier,R11,2,4,1,6,,,,,,
2025-12-28,Mount Gambier,R12,2,5,1,7,,,,,,
2025-12-28,BetDeluxe Capalaba,R1,7,3,5,1,,,,,,
2025-12-28,BetDeluxe Capalaba,R2,8,5,1,3,,,,,,
2025-12-28,BetDeluxe Capalaba,R3,1,5,4,7,,,,,,
2025-12-28,BetDeluxe Capalaba,R4,7,1,4,6,,,,,,
2025-12-28,BetDeluxe Capalaba,R5,7,1,2,8,,,,,,
2025-12-28,BetDeluxe Capalaba,R6,8,6,3,4,,,,,,
2025-12-28,BetDeluxe Capalaba,R7,7,4,5,2,,,,,,
2025-12-28,BetDeluxe Capalaba,R8,1,2,7,4,,,,,,
2025-12-28,Sale,R1,4,3,6,8,,,,,,
2025-12-28,Sale,R2,1,8,3,4,,,,,,
2025-12-28,Sale,R3,4,8,3,5,,,,,,
2025-12-28,Sale,R4,4,6,5,2,,,,,,
2025-12-28,Sale,R5,4,2,8,5,,,,,,
