Date,Track,RaceNumber,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
2025-11-25,Bet Nation Townsville,3,5,8,3,4
2025-11-25,Bet Nation Townsville,4,6,8,1,5
2025-11-25,Bet Nation Townsville,5,4,5,3,7
2025-11-25,Bet Nation Townsville,6,1,3,2,8
2025-11-25,Bet Nation Townsville,7,8,6,1,2
2025-11-25,Bet Nation Townsville,8,6,8,2,5
2025-11-25,Bet Nation Townsville,9,7,1,8,5
2025-11-25,Bet Nation Townsville,10,4,2,8,5
2025-11-25,Bet Nation Townsville,11,2,7,6,5
2025-11-25,Bet Nation Townsville,12,7,1,4,2
2025-11-25,Mandurah,1,9,8,4,1
2025-11-25,Mandurah,2,8,1,3,9
2025-11-25,Mandurah,3,7,1,8,6
2025-11-25,Mandurah,4,1,2,7,8
2025-11-25,Mandurah,5,1,6,8,2
2025-11-25,Mandurah,6,5,2,6,8
2025-11-25,Mandurah,7,1,8,3,4
2025-11-25,Mandurah,8,5,2,1,4
2025-11-25,Mandurah,9,8,4,3,6
2025-11-25,Mandurah,10,1,6,7,3
