Track,Date,Race,Winner,2nd,3rd,4th
Gunnedah,2026-01-28,1,9,3,7,8.0
Gunnedah,2026-01-28,2,2,1,3,8.0
Gunnedah,2026-01-28,3,6,4,1,2.0
Gunnedah,2026-01-28,4,3,4,5,6.0
Gunnedah,2026-01-28,5,8,5,1,7.0
Gunnedah,2026-01-28,6,8,7,3,5.0
Gunnedah,2026-01-28,7,4,7,3,1.0
Gunnedah,2026-01-28,8,7,3,8,2.0
Gunnedah,2026-01-28,9,6,8,1,3.0
Gunnedah,2026-01-28,10,6,5,1,2.0
Gunnedah,2026-01-28,11,4,1,5,6.0
Gunnedah,2026-01-28,12,8,3,7,10.0
Taree,2026-01-28,1,8,3,4,1.0
Taree,2026-01-28,2,2,3,8,4.0
Taree,2026-01-28,3,8,2,3,1.0
Taree,2026-01-28,4,1,2,9,3.0
Taree,2026-01-28,5,3,8,7,4.0
Taree,2026-01-28,6,2,3,6,1.0
Taree,2026-01-28,7,4,6,5,1.0
Taree,2026-01-28,8,3,1,8,6.0
Taree,2026-01-28,9,8,3,1,2.0
Taree,2026-01-28,10,2,6,1,3.0
Taree,2026-01-28,11,1,3,10,6.0
Taree,2026-01-28,12,9,3,8,7.0
Richmond,2026-01-28,1,2,3,9,4.0
Richmond,2026-01-28,2,1,6,8,2.0
Richmond,2026-01-28,3,3,6,5,2.0
Richmond,2026-01-28,4,3,1,7,4.0
Richmond,2026-01-28,5,2,1,3,5.0
Richmond,2026-01-28,6,3,6,2,1.0
Richmond,2026-01-28,7,5,6,8,4.0
Richmond,2026-01-28,8,1,6,8,5.0
Richmond,2026-01-28,9,1,7,5,8.0
Richmond,2026-01-28,10,6,9,2,8.0
Richmond,2026-01-28,11,2,5,4,7.0
Bendigo,2026-01-28,1,6,8,2,1.0
Bendigo,2026-01-28,2,4,2,1,8.0
Bendigo,2026-01-28,3,8,4,5,7.0
Bendigo,2026-01-28,4,4,3,2,7.0
Bendigo,2026-01-28,5,8,4,2,7.0
Bendigo,2026-01-28,6,1,8,2,5.0
Bendigo,2026-01-28,7,3,8,4,1.0
Bendigo,2026-01-28,8,2,8,1,4.0
Bendigo,2026-01-28,9,2,6,4,7.0
