Track,Race,Position1,Position2,Position3,Position4
Gunnedah,1,2,1,8,7
Gunnedah,2,7,8,6,2
Gunnedah,3,2,7,4,8
Gunnedah,4,4,3,8,1
Gunnedah,5,1,2,8,6
Gunnedah,6,4,3,2,7
Gunnedah,7,6,8,2,4
Gunnedah,8,8,9,2,7
Gunnedah,9,4,6,8,3
Nowra,1,4,2,6,9
Nowra,2,3,6,1,5
Nowra,3,8,1,3,7
Nowra,4,6,8,4,1
Nowra,5,8,3,1,6
Nowra,6,4,2,6,1
Nowra,7,4,7,5,2
Nowra,8,3,5,8,2
Nowra,9,6,3,9,1
Nowra,10,5,1,8,2
Maitland,1,2,7,1,4
Maitland,2,2,1,5,8
Maitland,3,5,4,8,7
Maitland,4,4,7,2,5
Maitland,5,4,5,7,8
Maitland,6,1,2,4,5
Maitland,7,2,1,5,4
Maitland,8,5,8,4,1
Geelong,1,3,6,7,8
Geelong,2,4,1,2,3
Geelong,3,1,4,7,3
Geelong,4,2,7,8,1
Geelong,5,7,3,5,4
Geelong,6,2,3,8,5
Geelong,7,1,5,8,3
Geelong,8,2,4,1,7
Geelong,9,6,5,3,7
Geelong,10,6,4,8,7
Geelong,11,5,8,7,1
Geelong,12,4,2,6,8
Shepparton,1,2,1,7,5
Shepparton,2,4,5,8,2
Shepparton,3,5,2,9,3
Shepparton,4,1,2,6,4
Shepparton,5,5,8,1,3
Shepparton,6,1,2,8,7
Shepparton,7,5,2,1,3
Shepparton,8,4,2,6,5
Shepparton,9,7,1,4,2
Shepparton,10,6,7,8,3
Shepparton,11,8,3,1,2
Shepparton,12,2,8,1,7
Warrnambool,1,6,7,3,5
Warrnambool,2,8,2,6,4
Warrnambool,3,4,8,6,2
Warrnambool,4,1,7,2,6
Warrnambool,5,1,5,7,3
Warrnambool,6,6,5,3,2
Warrnambool,7,4,7,1,8
Warrnambool,8,8,3,4,7
Warrnambool,9,1,2,3,8
Warrnambool,10,4,3,2,7
Warrnambool,11,1,4,5,6
Warrnambool,12,4,1,8,5
Gawler,1,2,4,6,1
Gawler,2,1,4,2,8
Gawler,3,4,8,6,1
Gawler,4,1,4,6,8
Gawler,5,2,1,4,8
Gawler,6,8,7,4,2
Gawler,7,1,5,2,4
Gawler,8,1,8,7,3
Gawler,9,3,5,7,1
Ladbrokes Q Straight,1,3,8,6,2
Ladbrokes Q Straight,2,3,4,7,6
Ladbrokes Q Straight,3,1,3,7,8
Ladbrokes Q Straight,4,8,4,6,1
Ladbrokes Q Straight,5,5,7,8,1
Ladbrokes Q Straight,6,7,4,6,2
Ladbrokes Q Straight,7,8,1,2,3
Ladbrokes Q Straight,8,5,3,2,4
Ladbrokes Q Straight,9,3,2,1,4
Ladbrokes Q Straight,10,2,1,4,6
Ladbrokes Q Straight,11,1,2,7,6
Ladbrokes Q Straight,12,5,9,2,3
Launceston,1,4,7,5,8
Launceston,2,3,7,6,5
Launceston,3,1,5,2,8
Launceston,4,6,7,2,8
Launceston,5,5,2,1,8
Launceston,6,6,8,7,1
Launceston,7,5,1,4,8
Launceston,8,5,6,2,1
Launceston,9,5,8,1,4
Launceston,10,1,4,9,5
Sandown,1,1,4,5,7
Sandown,2,6,8,4,2
Sandown,3,1,6,2,4
Sandown,4,2,8,6,4
Sandown,5,6,1,3,5
Sandown,6,1,5,2,8
Sandown,7,6,8,2,4
Sandown,8,6,8,4,2
Mandurah,1,7,2,3,1
Mandurah,2,3,5,8,2
Mandurah,3,1,6,3,2
Mandurah,4,3,2,7,1
Mandurah,5,1,6,3,7
Mandurah,6,3,5,2,7
Mandurah,7,2,8,1,4
Mandurah,8,2,1,3,5
Mandurah,9,3,4,8,6
Mandurah,10,3,2,6,4
Mandurah,11,1,5,8,7
