Track,Race,Position1,Position2,Position3,Position4
Taree,1,1,2,7,3
Taree,2,5,4,6,1
Taree,3,3,2,6,4
Taree,4,7,1,8,6
Taree,5,8,2,3,4
Taree,6,1,7,6,8
Taree,7,3,2,7,6
Taree,8,3,4,5,7
Taree,9,4,2,7,8
Taree,10,3,8,2,6
Taree,11,2,4,7,8
Taree,12,5,2,8,1
Dubbo,1,2,7,1,8
Dubbo,2,3,7,2,9
Dubbo,3,1,8,7,5
Dubbo,4,2,3,1,7
Dubbo,5,2,8,5,4
Dubbo,6,6,7,3,9
Dubbo,7,3,1,2,5
Dubbo,8,1,7,4,5
Dubbo,9,8,6,1,2
Dubbo,10,4,6,8,1
Dubbo,11,3,2,1,6
Dubbo,12,5,8,1,4
Ladbrokes Gardens,1,4,1,5,2
Ladbrokes Gardens,2,2,3,8,4
Ladbrokes Gardens,3,2,5,1,7
Ladbrokes Gardens,4,3,7,8,1
Ladbrokes Gardens,5,1,4,2,3
Ladbrokes Gardens,6,1,7,6,3
Ladbrokes Gardens,7,1,8,5,6
Ladbrokes Gardens,8,2,1,3,7
Ladbrokes Gardens,9,4,1,7,8
Ladbrokes Gardens,10,6,1,3,5
Ladbrokes Gardens,11,6,5,4,2
Ladbrokes Gardens,12,3,7,1,4
Wentworth Park,1,4,7,2,1
Wentworth Park,2,7,2,4,8
Wentworth Park,3,4,3,1,8
Wentworth Park,4,2,5,7,3
Wentworth Park,5,6,4,8,2
Wentworth Park,6,7,2,8,3
Wentworth Park,7,4,2,5,7
Wentworth Park,8,1,3,2,8
Wentworth Park,9,7,4,8,6
Wentworth Park,10,8,2,3,1
Wentworth Park,11,1,2,4,7
Wentworth Park,12,2,4,3,6
Angle Park,1,8,2,4,1
Angle Park,2,1,1,0,7
Angle Park,3,2,8,7,1
Angle Park,4,4,1,5,7
Angle Park,5,8,1,6,2
Angle Park,6,3,5,6,8
Angle Park,7,5,7,6,4
Angle Park,8,8,2,6,7
Angle Park,9,7,8,1,0
Angle Park,10,1,5,8,7
Bendigo,1,1,8,4,7
Bendigo,2,2,3,7,5
Bendigo,3,8,4,2,5
Bendigo,4,4,7,2,5
Bendigo,5,2,1,8,3
Bendigo,6,3,2,7,8
Bendigo,7,4,1,3,2
Bendigo,8,3,4,2,7
Bendigo,9,7,8,4,5
Bendigo,10,8,3,4,2
Bendigo,11,6,4,2,3
Bendigo,12,4,5,2,1
Ladbrokes Q1 Lakeside,1,5,2,7,1
Ladbrokes Q1 Lakeside,3,2,7,8,1
Ladbrokes Q1 Lakeside,4,2,5,6,3
Ladbrokes Q1 Lakeside,5,2,3,4,1
Ladbrokes Q1 Lakeside,6,2,5,6,7
Ladbrokes Q1 Lakeside,7,7,3,8,9
Ladbrokes Q1 Lakeside,8,6,7,3,8
Ladbrokes Q1 Lakeside,9,3,2,5,4
Ladbrokes Q1 Lakeside,10,1,8,2,7
Ladbrokes Q1 Lakeside,11,6,2,1,3
Ladbrokes Q1 Lakeside,12,7,4,8,6
Meadows,1,6,5,7,3
Meadows,2,1,3,2,7
Meadows,3,1,3,4,5
Meadows,4,7,2,8,5
Meadows,5,8,6,1,5
Meadows,6,5,2,8,6
Meadows,7,3,1,8,5
Meadows,8,5,1,6,4
Meadows,10,6,3,8,7
Meadows,11,8,1,9,4
Meadows,12,6,2,8,1
Cannington,1,5,6,7,4
Cannington,2,1,4,5,2
Cannington,3,3,6,7,8
Cannington,4,2,5,3,6
Cannington,5,6,3,5,2
Cannington,6,1,5,7,4
Cannington,7,1,3,8,2
Cannington,8,1,2,4,5
Cannington,9,3,2,8,7
Cannington,10,5,2,8,4
Cannington,11,4,2,6,1
