Date,Track,RaceNumber,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
2025-11-26,Ladbrokes Q1 Lakeside,11,1,8,5,7,,,,,
2025-11-26,Ladbrokes Q1 Lakeside,12,3,4,8,1,,,,,
2025-11-26,Darwin,1,6,4,5,3,,,,,
2025-11-26,Darwin,2,1,7,2,8,,,,,
2025-11-26,Darwin,3,8,4,5,2,,,,,
2025-11-26,Darwin,4,2,1,5,4,,,,,
2025-11-26,Darwin,5,6,8,3,5,,,,,
2025-11-26,Darwin,6,4,8,1,2,,,,,
2025-11-26,Darwin,7,8,4,7,5,,,,,
2025-11-26,Darwin,8,7,2,1,8,,,,,
2025-11-26,Darwin,9,2,3,4,8,,,,,
2025-11-26,Darwin,10,2,4,1,7,,,,,
2025-11-26,Darwin,11,2,1,5,8,,,,,
2025-11-26,Ballarat,1,4,7,2,1,,,,,
2025-11-26,Ballarat,2,2,8,4,5,,,,,
2025-11-26,Ballarat,3,3,8,1,6,,,,,
2025-11-26,Ballarat,4,5,7,4,6,,,,,
2025-11-26,Ballarat,5,2,1,8,4,,,,,
2025-11-26,Ballarat,6,1,6,4,8,,,,,
2025-11-26,Ballarat,7,6,3,4,2,,,,,
2025-11-26,Ballarat,8,6,4,1,7,,,,,
2025-11-26,Ballarat,9,1,5,6,8,,,,,
2025-11-26,Ballarat,10,6,1,2,7,,,,,
2025-11-26,Ballarat,11,1,2,7,8,,,,,
2025-11-26,Ballarat,12,2,7,8,5,,,,,
2025-11-26,Sale,1,5,6,8,4,,,,,
2025-11-26,Sale,2,8,10,1,6,,,,,
2025-11-26,Sale,3,8,4,1,5,,,,,
2025-11-26,Sale,4,2,1,7,5,,,,,
2025-11-26,Sale,5,8,4,3,1,,,,,
2025-11-26,Sale,6,8,2,4,1,,,,,
2025-11-26,Sale,7,2,8,3,6,,,,,
2025-11-26,Sale,8,7,4,5,6,,,,,
2025-11-26,Sale,9,5,7,8,4,,,,,
2025-11-26,Sale,10,7,2,8,5,,,,,
2025-11-26,Sale,11,4,7,1,6,,,,,
2025-11-26,Sale,12,7,8,1,6,,,,,
2025-11-26,BetDeluxe Rockhampton,1,3,2,7,1,,,,,
2025-11-26,BetDeluxe Rockhampton,2,2,8,5,4,,,,,
2025-11-26,BetDeluxe Rockhampton,3,4,1,8,7,,,,,
2025-11-26,BetDeluxe Rockhampton,4,7,5,8,4,,,,,
2025-11-26,BetDeluxe Rockhampton,5,7,4,2,1,,,,,
2025-11-26,BetDeluxe Rockhampton,6,5,6,2,7,,,,,
2025-11-26,BetDeluxe Rockhampton,7,1,7,2,8,,,,,
2025-11-26,BetDeluxe Rockhampton,8,7,2,1,4,,,,,
2025-11-26,BetDeluxe Rockhampton,9,2,4,1,6,,,,,
2025-11-26,Cannington,1,1,2,5,4,,,,,
2025-11-26,Cannington,2,2,6,7,5,,,,,
2025-11-26,Cannington,3,10,4,5,2,,,,,
2025-11-26,Cannington,4,8,5,2,3,,,,,
2025-11-26,Cannington,5,2,3,4,7,,,,,
2025-11-26,Cannington,6,2,4,1,7,,,,,
2025-11-26,Cannington,7,3,1,6,7,,,,,
2025-11-26,Cannington,8,5,3,2,7,,,,,
2025-11-26,Cannington,9,1,2,5,3,,,,,
2025-11-26,Cannington,10,3,8,4,1,,,,,
2025-11-26,Cannington,11,4,7,2,1,,,,,
2025-11-26,Cannington,12,8,2,4,1,,,,,
