Track,Race,Position1,Position2,Position3,Position4
Richmond Straight,1,8,1,6,2
Richmond Straight,2,8,6,3,4
Richmond Straight,3,5,8,3,7
Richmond Straight,4,6,5,1,3
Richmond Straight,5,2,1,8,3
Richmond Straight,6,8,5,6,4
Richmond Straight,7,8,7,1,3
Richmond Straight,8,5,8,4,1
Richmond Straight,9,4,7,2,8
Richmond Straight,10,6,5,8,1
Nowra,1,1,5,4,7
Nowra,2,1,2,4,5
Nowra,3,1,7,2,4
Nowra,4,2,8,5,7
Nowra,5,2,7,1,5
Nowra,6,8,5,1,2
Nowra,7,2,1,7,5
Nowra,8,8,2,7,1
Nowra,9,6,7,2,8
Nowra,10,4,3,7,2
Wentworth Park,1,2,4,7,1
Wentworth Park,2,5,6,2,7
Wentworth Park,3,5,4,3,8
Wentworth Park,4,5,8,2,7
Wentworth Park,5,1,8,2,3
Wentworth Park,6,1,3,7,8
Wentworth Park,7,2,7,1,5
Wentworth Park,8,5,3,6,1
Wentworth Park,9,2,1,8,7
Wentworth Park,10,7,1,2,4
Casino,1,2,3,4,1
Casino,2,1,7,5,2
Casino,3,4,5,8,3
Casino,4,3,1,5,9
Casino,5,1,2,6,7
Casino,6,3,2,4,5
Casino,7,7,8,1,4
Casino,8,1,5,2,7
Casino,9,3,4,8,6
Casino,10,9,6,8,1
Casino,11,4,8,2,1
Casino,12,1,6,3,7
Shepparton,1,2,1,7,6
Shepparton,2,7,2,6,4
Shepparton,3,4,8,6,3
Shepparton,4,1,7,8,6
Shepparton,5,3,8,4,1
Shepparton,6,3,8,1,4
Shepparton,7,7,8,6,2
Shepparton,8,7,2,8,6
Shepparton,9,7,6,4,8
Shepparton,10,3,7,2,6
Shepparton,11,1,6,3,2
Shepparton,12,2,1,8,7
Ladbrokes Q Straight,1,1,2,5,7
Ladbrokes Q Straight,2,7,4,2,1
Ladbrokes Q Straight,3,2,4,1,5
Ladbrokes Q Straight,4,4,8,3,6
Ladbrokes Q Straight,5,5,1,6,4
Ladbrokes Q Straight,6,1,3,7,8
Ladbrokes Q Straight,7,3,1,7,6
Ladbrokes Q Straight,8,3,7,6,1
Ladbrokes Q Straight,9,4,6,7,1
Ladbrokes Q Straight,10,4,1,2,7
Ladbrokes Q Straight,11,2,4,3,7
Mount Gambier,1,1,8,4,6
Mount Gambier,2,8,6,4,1
Mount Gambier,3,1,8,6,4
Mount Gambier,4,1,4,2,8
Mount Gambier,5,8,4,7,2
Mount Gambier,6,6,4,8,2
Mount Gambier,7,1,6,8,2
Mount Gambier,8,1,8,6,4
Mount Gambier,9,6,8,1,4
Mount Gambier,10,2,1,4,6
Mount Gambier,11,1,6,2,4
Mount Gambier,12,6,2,1,8
Warragul,1,7,2,1,4
Warragul,2,2,4,6,7
Warragul,3,1,2,8,7
Warragul,4,7,2,4,3
Warragul,5,2,1,7,4
Warragul,6,1,6,3,2
Warragul,7,3,4,1,8
Warragul,8,5,1,9,2
Warragul,9,2,3,4,6
Warragul,10,8,2,1,7
Warragul,11,3,6,1,2
Warragul,12,1,3,4,2
Warrnambool,1,9,1,2,4
Warrnambool,2,6,7,8,3
Warrnambool,3,6,2,3,8
Warrnambool,4,5,6,1,2
Warrnambool,5,8,1,6,2
Warrnambool,6,4,6,8,7
Warrnambool,8,2,3,6,8
Warrnambool,9,5,2,7,3
Warrnambool,10,5,2,1,6
Warrnambool,11,6,3,7,1
Warrnambool,12,7,8,4,5
Sandown,1,4,2,5,1
Sandown,2,8,2,6,4
Sandown,3,7,8,4,5
Sandown,4,2,4,7,1
Sandown,5,6,7,1,3
Sandown,6,3,1,8,5
Sandown,7,2,4,1,6
Sandown,8,4,6,3,1
Sandown,9,2,5,1,6
Sandown,10,1,5,2,10
Sandown,11,2,8,1,6
Sandown,12,8,2,6,4
Angle Park,1,5,8,1,2
Angle Park,2,2,6,3,7
Angle Park,3,2,7,1,5
Angle Park,4,8,2,1,6
Angle Park,5,8,4,3,1
Angle Park,6,7,2,4,1
Angle Park,7,6,4,3,2
Angle Park,8,3,7,4,2
Angle Park,9,1,2,4,6
Angle Park,10,4,6,8,1
Angle Park,11,4,1,2,6
Angle Park,12,8,1,7,2
Hobart,1,1,8,4,6
Hobart,2,7,8,3,2
Hobart,3,4,1,6,8
Hobart,4,2,7,1,6
Hobart,5,5,7,4,3
Hobart,6,1,7,5,6
Hobart,7,5,8,3,7
Hobart,8,4,7,8,6
Hobart,9,5,8,1,4
Hobart,10,7,4,8,3
Ladbrokes Q2 Parklands,1,6,1,7,2
Ladbrokes Q2 Parklands,2,6,1,8,4
Ladbrokes Q2 Parklands,3,1,5,4,2
Ladbrokes Q2 Parklands,4,7,3,5,1
Ladbrokes Q2 Parklands,5,1,7,9,3
Ladbrokes Q2 Parklands,6,1,3,7,5
Ladbrokes Q2 Parklands,7,5,1,3,7
Ladbrokes Q2 Parklands,8,5,7,1,6
Ladbrokes Q2 Parklands,9,2,7,3,5
Ladbrokes Q2 Parklands,10,2,4,3,6
Ladbrokes Q2 Parklands,11,2,7,3,1
Ladbrokes Q2 Parklands,12,9,5,7,6
Mandurah,1,3,1,7,2
Mandurah,2,2,7,1,3
Mandurah,3,1,2,3,4
Mandurah,4,4,5,2,7
Mandurah,5,5,2,4,1
Mandurah,6,4,8,1,7
Mandurah,7,5,1,8,6
Mandurah,8,1,4,5,2
Mandurah,9,8,7,3,1
Mandurah,10,8,2,3,7
Mandurah,11,1,10,6,3
Mandurah,12,5,4,3,6
