Track,Race,Position1,Position2,Position3,Position4
Bulli,1,1,4,7,8
Bulli,2,4,7,3,6
Bulli,3,1,2,9,6
Bulli,4,3,1,5,2
Bulli,5,6,4,3,5
Bulli,6,6,4,9,2
Bulli,7,4,8,1,7
Bulli,8,1,8,6,4
Bulli,9,2,1,8,4
Bulli,10,1,7,5,6
Bulli,11,1,7,5,8
Bulli,12,5,4,1,8
Taree,1,7,8,2,3
Taree,2,2,7,8,1
Taree,3,2,1,7,8
Taree,4,1,7,4,6
Taree,5,8,1,4,3
Taree,6,2,9,1,4
Taree,7,3,2,7,4
Taree,8,7,1,8,4
Taree,9,8,1,5,4
Taree,10,4,2,5,8
Taree,11,3,6,5,9
Taree,12,3,5,1,2
Gunnedah,1,5,8,7,3
Gunnedah,2,7,8,5,3
Gunnedah,3,1,8,6,4
Gunnedah,4,5,7,1,8
Gunnedah,5,1,2,7,4
Gunnedah,6,8,3,2,4
Gunnedah,7,8,4,7,6
Gunnedah,8,2,3,8,6
Gunnedah,9,1,3,6,8
Gunnedah,10,1,7,2,3
Gunnedah,11,7,5,6,8
Gunnedah,12,4,7,8,1
Richmond,1,6,1,7,8
Richmond,2,1,5,7,2
Richmond,3,4,8,5,7
Richmond,4,6,3,5,8
Richmond,5,4,3,5,8
Richmond,6,2,4,6,1
Richmond,7,1,7,6,2
Richmond,8,8,2,1,3
Richmond,9,6,1,8,4
Richmond,10,7,3,2,4
Richmond,11,7,8,1,2
Sale,1,2,6,8,1
Sale,2,4,8,6,1
Sale,3,6,2,4,5
Sale,4,8,5,4,6
Sale,5,3,2,4,7
Sale,6,4,2,7,3
Sale,7,6,7,3,4
Sale,8,6,8,7,1
Sale,9,8,4,5,2
Sale,10,3,1,6,8
Sale,11,5,1,7,4
Sale,12,4,7,5,8
Gawler,1,1,8,2,6
Gawler,2,2,1,4,8
Gawler,3,8,7,1,4
Gawler,4,4,6,1,2
Gawler,5,1,8,5,7
Gawler,6,1,2,7,8
Gawler,7,2,7,1,5
Gawler,8,5,4,8,1
BetDeluxe Capalaba,1,7,2,4,3
BetDeluxe Capalaba,2,1,3,5,4
BetDeluxe Capalaba,3,7,1,5,2
BetDeluxe Capalaba,4,6,7,2,1
BetDeluxe Capalaba,5,5,8,1,2
BetDeluxe Capalaba,6,1,5,3,4
BetDeluxe Capalaba,7,1,8,3,6
BetDeluxe Capalaba,8,4,5,8,7
BetDeluxe Capalaba,9,8,1,7,4
BetDeluxe Capalaba,10,1,6,7,3
BetDeluxe Capalaba,11,2,3,7,6
BetDeluxe Capalaba,12,1,4,5,2
Bendigo,1,4,1,3,6
Bendigo,2,8,5,2,6
Bendigo,3,5,2,7,3
Bendigo,4,6,4,5,7
Bendigo,5,4,2,8,6
Bendigo,6,6,3,4,1
Bendigo,7,8,4,1,3
Bendigo,8,7,6,3,4
Bendigo,9,1,5,4,8
Bendigo,10,3,6,4,2
Bendigo,11,6,7,2,4
Bendigo,12,7,1,8,4
Ladbrokes Q1 Lakeside,1,5,3,8,7
Ladbrokes Q1 Lakeside,2,1,3,4,8
Ladbrokes Q1 Lakeside,3,7,5,1,3
Ladbrokes Q1 Lakeside,4,1,8,2,7
Ladbrokes Q1 Lakeside,5,7,4,6,1
Ladbrokes Q1 Lakeside,6,1,5,8,4
Ladbrokes Q1 Lakeside,7,3,6,1,8
Ladbrokes Q1 Lakeside,8,4,7,1,6
Ladbrokes Q1 Lakeside,9,5,3,1,2
Ladbrokes Q1 Lakeside,10,1,5,3,6
Ladbrokes Q1 Lakeside,11,5,1,8,2
Ladbrokes Q1 Lakeside,12,6,5,8,2
Ballarat,1,5,8,3,7
Ballarat,2,1,2,6,4
Ballarat,3,6,1,3,4
Ballarat,4,3,4,6,1
Ballarat,5,9,2,8,3
Ballarat,6,2,6,1,8
Ballarat,7,3,7,6,5
Ballarat,8,8,2,5,4
Ballarat,9,7,3,2,5
Ballarat,10,6,8,7,2
Ballarat,11,7,4,3,2
Ballarat,12,7,2,1,5
Meadows,1,1,3,2,6
Meadows,2,4,8,2,5
Meadows,3,1,2,8,4
Meadows,4,8,4,2,1
Meadows,5,8,7,6,4
Meadows,6,2,1,5,8
Meadows,7,4,1,5,8
Meadows,8,4,2,5,8
Meadows,9,6,1,8,2
Cannington,1,ABD,ABD,ABD,ABD
Cannington,2,ABD,ABD,ABD,ABD
Cannington,3,ABD,ABD,ABD,ABD
Cannington,4,ABD,ABD,ABD,ABD
Cannington,5,ABD,ABD,ABD,ABD
Cannington,6,ABD,ABD,ABD,ABD
Cannington,7,ABD,ABD,ABD,ABD
Cannington,8,ABD,ABD,ABD,ABD
Cannington,9,ABD,ABD,ABD,ABD
Cannington,10,ABD,ABD,ABD,ABD
