Track,Race,Position1,Position2,Position3,Position4
Tasmania,1,4,1,7,3
Tasmania,2,5,1,2,6
Tasmania,3,7,8,4,5
Tasmania,4,7,1,3,4
Tasmania,5,8,3,6,1
Tasmania,6,4,2,6,7
Tasmania,7,6,4,5,1
Tasmania,8,7,1,5,6
Tasmania,9,3,5,4,2
Tasmania,10,2,7,1,8
Tasmania,11,6,3,7,2
Tasmania,12,8,6,1,5
Dubbo,1,3,4,2,8
Dubbo,2,2,3,1,4
Dubbo,3,5,4,8,3
Dubbo,4,1,2,4,6
Dubbo,5,1,4,2,7
Dubbo,6,8,2,5,3
Dubbo,7,8,3,5,7
Dubbo,8,1,3,2,6
Dubbo,9,2,7,8,4
Dubbo,10,4,1,3,8
Dubbo,11,6,1,5,2
Dubbo,12,4,1,6,5
Ladbrokes Gardens,1,4,6,7,1
Ladbrokes Gardens,2,3,7,6,8
Ladbrokes Gardens,3,4,5,2,7
Ladbrokes Gardens,4,2,7,4,3
Ladbrokes Gardens,5,6,5,1,8
Ladbrokes Gardens,6,8,1,4,5
Ladbrokes Gardens,7,1,8,2,4
Ladbrokes Gardens,8,6,2,8,7
Ladbrokes Gardens,9,7,4,5,1
Ladbrokes Gardens,10,1,8,7,5
Ladbrokes Gardens,11,2,1,6,5
Ladbrokes Gardens,12,1,4,7,3
Wentworth Park,1,2,4,7,1
Wentworth Park,2,5,2,1,7
Wentworth Park,3,5,2,8,6
Wentworth Park,4,6,7,8,3
Wentworth Park,5,7,4,8,2
Wentworth Park,6,5,2,8,9
Wentworth Park,7,3,4,1,8
Wentworth Park,8,7,2,8,6
Wentworth Park,9,7,3,2,1
Wentworth Park,10,8,5,4,1
Wentworth Park,11,2,1,5,4
Warragul,1,4,1,7,2
Warragul,2,2,3,7,1
Warragul,3,3,8,7,9
Warragul,4,1,8,3,7
Warragul,5,1,7,2,6
Warragul,6,1,2,8,3
Warragul,7,7,1,8,4
Warragul,8,2,5,1,10
Warragul,9,8,1,4,2
Warragul,10,2,6,5,7
Warragul,11,5,2,8,4
Warragul,12,3,7,5,2
Meadows,1,2,6,4,8
Meadows,2,2,3,1,7
Meadows,3,1,8,3,7
Meadows,4,5,8,4,2
Meadows,5,2,4,5,3
Meadows,6,1,3,8,2
Meadows,7,8,1,2,6
Meadows,8,5,7,8,3
Meadows,9,1,3,5,4
Meadows,10,4,5,8,3
Meadows,11,1,6,8,2
Meadows,12,7,9,2,8
Ladbrokes Q1 Lakeside,1,7,6,4,8
Ladbrokes Q1 Lakeside,2,2,1,4,8
Ladbrokes Q1 Lakeside,3,2,6,3,8
Ladbrokes Q1 Lakeside,4,4,6,3,2
Ladbrokes Q1 Lakeside,5,2,7,5,8
Ladbrokes Q1 Lakeside,6,2,8,4,7
Ladbrokes Q1 Lakeside,7,3,5,6,7
Ladbrokes Q1 Lakeside,8,5,4,3,9
Ladbrokes Q1 Lakeside,9,2,8,6,3
Ladbrokes Q1 Lakeside,10,3,5,4,6
Ladbrokes Q1 Lakeside,11,2,3,1,4
Cannington,1,5,6,2,8
Cannington,2,1,6,8,2
Cannington,3,3,8,5,2
Cannington,4,8,1,4,6
Cannington,5,1,7,4,2
Cannington,6,2,4,8,1
Cannington,7,8,6,4,2
Cannington,8,2,8,1,7
Cannington,9,8,5,4,2
Cannington,10,7,2,1,6
Cannington,11,4,8,5,6
Cannington,12,5,1,7,2
