Track,Date,Race,Winner,2nd,3rd,4th
GOULBURN,2026-01-16,1,1,2,5,8
GOULBURN,2026-01-16,2,5,4,8,2
GOULBURN,2026-01-16,3,8,4,7,2
GOULBURN,2026-01-16,4,1,8,4,6
GOULBURN,2026-01-16,5,7,8,1,2
GOULBURN,2026-01-16,6,5,7,4,2
GOULBURN,2026-01-16,7,2,3,4,8
GOULBURN,2026-01-16,8,4,5,7,8
GOULBURN,2026-01-16,9,6,5,1,7
GOULBURN,2026-01-16,10,2,5,4,7
LADBROKES GARDENS,2026-01-16,1,8,5,1,4
LADBROKES GARDENS,2026-01-16,2,3,4,8,7
LADBROKES GARDENS,2026-01-16,3,7,8,1,4
LADBROKES GARDENS,2026-01-16,4,5,1,2,7
LADBROKES GARDENS,2026-01-16,5,4,1,5,7
LADBROKES GARDENS,2026-01-16,6,3,1,7,4
LADBROKES GARDENS,2026-01-16,7,6,1,4,7
LADBROKES GARDENS,2026-01-16,8,2,1,7,5
LADBROKES GARDENS,2026-01-16,9,1,6,2,5
LADBROKES GARDENS,2026-01-16,10,1,5,2,4
LADBROKES GARDENS,2026-01-16,11,8,1,4,6
LADBROKES GARDENS,2026-01-16,12,5,8,1,6
RICHMOND,2026-01-16,1,7,6,8,1
RICHMOND,2026-01-16,2,7,1,2,5
RICHMOND,2026-01-16,3,3,5,2,7
RICHMOND,2026-01-16,4,1,8,3,4
RICHMOND,2026-01-16,5,1,4,8,3
RICHMOND,2026-01-16,6,1,5,8,4
RICHMOND,2026-01-16,7,6,8,4,3
RICHMOND,2026-01-16,8,1,8,7,4
RICHMOND,2026-01-16,9,1,5,7,3
RICHMOND,2026-01-16,10,5,2,3,4
WAGGA,2026-01-16,1,3,2,7,6
WAGGA,2026-01-16,2,1,2,4,8
WAGGA,2026-01-16,3,5,6,1,3
WAGGA,2026-01-16,4,2,8,7,5
WAGGA,2026-01-16,5,1,6,4,7
WAGGA,2026-01-16,6,1,8,6,2
WAGGA,2026-01-16,7,4,1,5,7
WAGGA,2026-01-16,8,6,8,1,2
WAGGA,2026-01-16,9,8,2,1,6
WAGGA,2026-01-16,10,1,6,7,4
HEALESVILLE,2026-01-16,1,1,2,8,5
HEALESVILLE,2026-01-16,2,8,2,7,3
HEALESVILLE,2026-01-16,3,8,6,3,7
HEALESVILLE,2026-01-16,4,6,7,8,3
HEALESVILLE,2026-01-16,5,4,2,5,8
HEALESVILLE,2026-01-16,6,3,2,8,5
HEALESVILLE,2026-01-16,7,5,7,2,3
HEALESVILLE,2026-01-16,8,6,3,5,4
HEALESVILLE,2026-01-16,9,5,8,3,7
HEALESVILLE,2026-01-16,10,1,7,8,3
HEALESVILLE,2026-01-16,11,7,5,8,3
HEALESVILLE,2026-01-16,12,7,4,1,3
MURRAY BRIDGE,2026-01-16,1,4,1,8,6
MURRAY BRIDGE,2026-01-16,2,2,8,5,4
MURRAY BRIDGE,2026-01-16,3,2,7,1,4
MURRAY BRIDGE,2026-01-16,4,4,5,7,8
MURRAY BRIDGE,2026-01-16,5,8,3,7,1
MURRAY BRIDGE,2026-01-16,6,2,3,4,6
MURRAY BRIDGE,2026-01-16,7,4,8,7,2
MURRAY BRIDGE,2026-01-16,8,1,8,4,2
MURRAY BRIDGE,2026-01-16,9,6,2,1,8
MURRAY BRIDGE,2026-01-16,10,8,1,4,2
BET NATION TOWNSVILLE,2026-01-16,1,2,8,9,3
BET NATION TOWNSVILLE,2026-01-16,2,1,3,6,5
BET NATION TOWNSVILLE,2026-01-16,3,6,4,8,2
BET NATION TOWNSVILLE,2026-01-16,4,1,2,4,3
BET NATION TOWNSVILLE,2026-01-16,5,3,2,6,4
BET NATION TOWNSVILLE,2026-01-16,6,7,6,2,1
BET NATION TOWNSVILLE,2026-01-16,7,3,1,2,8
BET NATION TOWNSVILLE,2026-01-16,8,3,6,7,5
