Track,Race,Position1,Position2,Position3,Position4
Goulburn,1,1,7,2,4
Goulburn,2,3,8,2,4
Goulburn,3,8,2,7,4
Goulburn,4,3,7,8,1
Goulburn,5,5,8,7,4
Goulburn,6,5,4,8,2
Goulburn,7,3,1,4,8
Goulburn,8,4,2,3,7
Goulburn,9,8,7,5,6
Goulburn,10,2,8,1,7
Ladbrokes Gardens,1,2,7,3,5
Ladbrokes Gardens,2,1,4,9,2
Ladbrokes Gardens,3,4,5,7,1
Ladbrokes Gardens,4,7,2,1,5
Ladbrokes Gardens,5,5,7,8,1
Ladbrokes Gardens,6,3,1,6,8
Ladbrokes Gardens,7,6,7,8,1
Ladbrokes Gardens,8,4,1,7,6
Ladbrokes Gardens,9,2,1,6,4
Ladbrokes Gardens,10,2,7,3,5
Ladbrokes Gardens,11,2,7,5,4
Ladbrokes Gardens,12,5,1,7,3
Richmond,1,4,1,2,5
Richmond,2,4,6,8,1
Richmond,3,1,2,4,3
Richmond,4,1,8,2,7
Richmond,5,5,2,8,1
Richmond,6,8,6,1,2
Richmond,7,7,4,1,8
Richmond,8,2,3,7,6
Richmond,9,1,5,8,3
Richmond,10,3,7,6,8
Richmond,11,1,7,3,4
Wagga,1,8,1,7,2
Wagga,2,5,2,8,7
Wagga,3,8,3,4,6
Wagga,4,4,7,2,5
Wagga,5,1,2,8,7
Wagga,6,2,1,5,8
Wagga,7,7,2,5,3
Wagga,8,8,2,1,3
Wagga,9,4,8,1,7
Wagga,10,7,4,3,5
Healesville,1,8,4,5,1
Healesville,2,5,7,8,1
Healesville,3,1,4,6,9
Healesville,4,2,1,6,7
Healesville,5,7,1,5,2
Healesville,6,7,4,3,2
Healesville,7,4,6,5,3
Healesville,8,1,7,6,3
Healesville,9,8,1,6,7
Healesville,10,4,7,3,5
Healesville,11,1,3,2,8
Healesville,12,6,7,5,4
Gawler,1,7,5,3,1
Gawler,3,1,8,2,4
Gawler,5,8,2,3,4
Gawler,6,7,8,1,0
Gawler,7,3,2,7,8
Gawler,8,1,7,3,2
Warragul,1,2,3,7,6
Warragul,2,4,2,1,3
Warragul,3,7,8,5,1
Warragul,4,2,8,4,6
Warragul,5,1,3,4,6
Warragul,6,1,7,6,8
Warragul,7,3,8,4,7
Warragul,8,8,2,1,4
Warragul,9,1,4,8,7
Warragul,10,3,6,8,4
Warragul,11,8,1,2,6
Warragul,12,3,1,4,8
Ladbrokes Q1 Lakeside,1,4,8,7,3
Ladbrokes Q1 Lakeside,2,7,2,6,8
Ladbrokes Q1 Lakeside,3,6,1,3,2
Ladbrokes Q1 Lakeside,4,7,2,8,3
Ladbrokes Q1 Lakeside,5,6,5,7,1
Ladbrokes Q1 Lakeside,6,1,7,6,3
Ladbrokes Q1 Lakeside,7,3,4,7,9
Ladbrokes Q1 Lakeside,8,1,7,5,8
Ladbrokes Q1 Lakeside,9,5,7,8,2
Ladbrokes Q1 Lakeside,10,2,5,4,8
Ladbrokes Q1 Lakeside,11,5,8,1,7
Geelong,1,7,2,8,1
Geelong,2,2,7,8,6
Geelong,3,4,5,2,7
Geelong,4,2,6,3,5
Geelong,5,8,3,4,6
Geelong,6,2,8,6,4
Geelong,7,4,3,8,5
Geelong,8,1,7,8,3
Geelong,9,3,6,4,8
Geelong,10,1,8,4,7
Geelong,11,4,2,3,6
Geelong,12,6,8,1,7
Bendigo,1,1,7,6,5
Bendigo,2,7,1,2,8
Bendigo,3,4,8,2,1
Bendigo,4,1,4,2,6
Bendigo,5,3,5,2,7
Bendigo,6,1,2,6,3
Bendigo,7,4,5,2,1
Bendigo,8,6,4,9,3
Bendigo,9,8,4,6,2
Bendigo,10,2,3,8,1
Bendigo,11,8,7,4,2
Bendigo,12,8,7,5,1
Mandurah,1,8,3,1,6
Mandurah,2,9,8,6,5
Mandurah,3,3,4,1,6
Mandurah,4,1,6,5,2
Mandurah,5,3,6,7,8
Mandurah,6,7,5,9,6
Mandurah,7,6,7,2,5
Mandurah,8,3,8,5,2
Mandurah,9,3,6,4,1
Mandurah,10,1,0,1,5
Mandurah,11,8,4,6,7
Mandurah,12,6,8,1,4
