Track,Race,Position1,Position2,Position3,Position4
TAREE,1,4,2,5,3
TAREE,2,8,6,3,5
TAREE,3,3,1,4,2
TAREE,4,1,5,4,3
TAREE,5,2,8,7,3
TAREE,6,2,1,7,6
TAREE,7,1,4,2,5
TAREE,8,1,2,4,5
TAREE,9,1,8,3,5
TAREE,10,7,1,8,6
TAREE,11,5,3,9,1
TAREE,12,7,4,5,3
DUBBO,1,3,2,8,6
DUBBO,2,4,5,2,7
DUBBO,3,4,1,7,5
DUBBO,4,2,4,7,6
DUBBO,5,7,4,2,1
DUBBO,6,8,1,2,5
DUBBO,7,2,8,7,1
DUBBO,8,5,4,7,8
DUBBO,9,1,3,2,8
DUBBO,10,5,8,6,2
DUBBO,11,5,8,7,3
DUBBO,12,8,3,6,1
LADBROKES GARDENS,1,2,4,7,1
LADBROKES GARDENS,2,2,5,1,3
LADBROKES GARDENS,3,3,7,1,5
LADBROKES GARDENS,4,2,3,5,8
LADBROKES GARDENS,5,7,1,8,6
LADBROKES GARDENS,6,4,1,3,6
LADBROKES GARDENS,7,8,4,3,1
LADBROKES GARDENS,8,1,3,4,8
LADBROKES GARDENS,9,2,8,1,4
LADBROKES GARDENS,10,2,7,6,8
LADBROKES GARDENS,11,4,7,6,5
LADBROKES GARDENS,12,8,1,2,4
WENTWORTH PARK,1,5,1,0,7
ANGLE PARK,1,2,1,4,8
ANGLE PARK,2,7,8,1,5
ANGLE PARK,3,1,4,2,8
ANGLE PARK,4,9,2,1,0
ANGLE PARK,5,4,5,2,9
ANGLE PARK,6,8,4,1,0
ANGLE PARK,7,5,4,8,7
ANGLE PARK,8,2,1,7,4
ANGLE PARK,9,4,5,2,7
ANGLE PARK,10,1,7,8,5
BALLARAT,1,1,4,5,8
BALLARAT,2,8,2,3,5
BALLARAT,3,2,4,5,8
BALLARAT,4,2,1,3,5
BALLARAT,5,4,1,5,2
BALLARAT,6,7,8,1,2
BALLARAT,7,4,8,7,2
BALLARAT,8,1,3,2,4
BALLARAT,9,2,4,3,1
BALLARAT,10,2,8,3,1
BALLARAT,11,4,3,8,7
BALLARAT,12,4,9,2,3
LADBROKES Q1 LAKESIDE,1,7,8,6,4
LADBROKES Q1 LAKESIDE,2,8,7,4,1
LADBROKES Q1 LAKESIDE,3,7,1,6,4
LADBROKES Q1 LAKESIDE,4,3,4,2,6
LADBROKES Q1 LAKESIDE,5,2,1,4,3
LADBROKES Q1 LAKESIDE,6,4,1,6,8
LADBROKES Q1 LAKESIDE,7,7,2,8,6
LADBROKES Q1 LAKESIDE,8,1,2,3,5
LADBROKES Q1 LAKESIDE,9,2,7,8,5
LADBROKES Q1 LAKESIDE,10,7,4,5,2
LADBROKES Q1 LAKESIDE,11,7,8,4,2
MEADOWS,1,4,8,6,5
MEADOWS,2,1,3,8,7
MEADOWS,3,4,8,2,1
MEADOWS,4,5,4,2,1
MEADOWS,5,7,3,4,2
MEADOWS,6,3,1,8,2
MEADOWS,7,1,3,7,6
MEADOWS,8,8,6,3,1
MEADOWS,9,7,5,2,1
MEADOWS,10,8,2,4,3
MEADOWS,11,7,8,3,4
MEADOWS,12,8,6,4,1
CANNINGTON,1,8,2,6,1
CANNINGTON,2,1,6,5,2
CANNINGTON,3,2,4,3,5
CANNINGTON,4,2,6,5,7
CANNINGTON,5,5,6,7,3
CANNINGTON,6,3,7,4,8
CANNINGTON,7,1,5,4,7
CANNINGTON,8,5,8,4,7
CANNINGTON,9,2,8,4,6
CANNINGTON,10,2,4,8,7
CANNINGTON,11,1,6,2,8
CANNINGTON,12,7,2,4,1
