Track,Race,Position1,Position2,Position3,Position4
Warrnambool,1,4,1,8,2
Warrnambool,2,1,3,8,4
Warrnambool,3,4,7,2,8
Warrnambool,4,2,1,8,4
Warrnambool,5,6,7,4,3
Warrnambool,6,6,8,1,4
Warrnambool,7,2,1,7,4
Warrnambool,8,1,4,5,3
Warrnambool,9,3,6,1,4
Warrnambool,10,7,6,3,5
Warrnambool,11,2,7,6,5
Warrnambool,12,6,8,2,1
Angle Park,1,2,6,4,8
Angle Park,2,7,8,1,9
Angle Park,4,4,6,1,8
Angle Park,5,2,8,5,1
Angle Park,6,1,5,4,8
Angle Park,7,3,1,4,8
Angle Park,8,1,3,8,4
Angle Park,9,5,1,2,7
Angle Park,11,4,8,1,1
Angle Park,12,6,2,8,4
Ladbrokes Q Straight,1,1,0,3,5
Ladbrokes Q Straight,2,2,8,1,0
Ladbrokes Q Straight,3,6,1,5,3
Ladbrokes Q Straight,4,6,5,8,4
Ladbrokes Q Straight,5,6,7,8,4
Ladbrokes Q Straight,6,2,6,8,1
Ladbrokes Q Straight,7,8,4,1,5
Ladbrokes Q Straight,8,3,4,8,6
Ladbrokes Q Straight,9,2,1,8,7
Ladbrokes Q Straight,10,3,5,7,6
Ladbrokes Q Straight,11,5,8,3,1
Ladbrokes Q Straight,12,8,5,4,3
Launceston,1,7,3,1,2
Launceston,2,1,8,6,5
Launceston,3,1,3,7,2
Launceston,4,7,4,3,6
Launceston,5,2,8,3,5
Launceston,6,4,6,7,8
Launceston,7,1,6,7,3
Launceston,8,8,2,4,1
Launceston,9,1,5,3,2
Launceston,10,1,8,6,2
Mandurah,1,8,5,3,2
Mandurah,2,8,7,6,1
Mandurah,3,1,7,8,5
Mandurah,4,6,4,1,7
Mandurah,5,5,1,2,7
Mandurah,6,3,6,2,5
Mandurah,7,3,1,8,2
Mandurah,8,8,1,5,2
Mandurah,9,2,7,1,4
Mandurah,10,2,4,5,7
Mandurah,11,7,2,4,5
