Track,Date,Race,Winner,2nd,3rd,4th
Taree,2026-03-14,1,8,6,3,2
Taree,2026-03-14,2,3,6,2,8
Taree,2026-03-14,3,8,4,5,1
Taree,2026-03-14,4,4,7,2,8
Taree,2026-03-14,5,1,6,5,8
Taree,2026-03-14,6,6,2,8,4
Taree,2026-03-14,7,4,1,5,7
Taree,2026-03-14,8,7,4,5,2
Taree,2026-03-14,9,6,3,4,8
Taree,2026-03-14,10,1,2,4,3
Taree,2026-03-14,11,8,4,7,2
Taree,2026-03-14,12,2,3,7,4
Dubbo,2026-03-14,1,4,5,7,1
Dubbo,2026-03-14,2,5,1,8,
Dubbo,2026-03-14,3,4,1,5,6
Dubbo,2026-03-14,4,7,2,6,4
Dubbo,2026-03-14,5,2,3,7,8
Dubbo,2026-03-14,6,6,1,4,8
Dubbo,2026-03-14,7,1,7,5,3
Dubbo,2026-03-14,8,3,1,8,4
Dubbo,2026-03-14,9,4,7,3,5
Dubbo,2026-03-14,10,3,6,1,8
Dubbo,2026-03-14,11,4,2,7,1
Dubbo,2026-03-14,12,1,2,4,7
Ladbrokes Gardens,2026-03-14,1,2,3,7,4
Ladbrokes Gardens,2026-03-14,2,1,8,2,6
Ladbrokes Gardens,2026-03-14,3,1,5,2,7
Ladbrokes Gardens,2026-03-14,4,1,2,4,8
Ladbrokes Gardens,2026-03-14,5,1,8,3,4
Ladbrokes Gardens,2026-03-14,6,2,4,8,6
Ladbrokes Gardens,2026-03-14,7,4,8,3,7
Ladbrokes Gardens,2026-03-14,8,4,2,7,1
Ladbrokes Gardens,2026-03-14,9,4,3,2,7
Ladbrokes Gardens,2026-03-14,10,6,2,1,4
Wentworth Park,2026-03-14,1,1,2,4,7
Wentworth Park,2026-03-14,2,7,2,1,6
Wentworth Park,2026-03-14,3,4,2,7,5
Wentworth Park,2026-03-14,4,1,7,6,8
Wentworth Park,2026-03-14,5,3,7,1,4
Wentworth Park,2026-03-14,6,2,4,6,8
Wentworth Park,2026-03-14,7,1,3,2,4
Wentworth Park,2026-03-14,8,8,4,2,3
Wentworth Park,2026-03-14,9,8,4,6,1
Wentworth Park,2026-03-14,10,4,5,7,1
Bendigo,2026-03-14,1,6,3,4,7
Bendigo,2026-03-14,2,7,4,2,1
Bendigo,2026-03-14,3,4,6,7,8
Bendigo,2026-03-14,4,7,4,3,6
Bendigo,2026-03-14,5,6,2,1,3
Bendigo,2026-03-14,6,6,8,1,7
Bendigo,2026-03-14,7,6,1,3,2
Bendigo,2026-03-14,8,1,2,3,4
Bendigo,2026-03-14,9,7,6,1,2
Bendigo,2026-03-14,10,2,3,6,1
Bendigo,2026-03-14,11,1,8,4,7
Bendigo,2026-03-14,12,8,7,5,6
Ladbrokes Q1 Lakeside,2026-03-14,1,5,7,2,4
Ladbrokes Q1 Lakeside,2026-03-14,2,5,7,8,4
Ladbrokes Q1 Lakeside,2026-03-14,3,4,1,7,2
Ladbrokes Q1 Lakeside,2026-03-14,4,1,2,4,8
Ladbrokes Q1 Lakeside,2026-03-14,5,6,1,3,5
Ladbrokes Q1 Lakeside,2026-03-14,6,5,6,2,3
Ladbrokes Q1 Lakeside,2026-03-14,7,2,3,5,1
Ladbrokes Q1 Lakeside,2026-03-14,8,1,8,4,7
Ladbrokes Q1 Lakeside,2026-03-14,9,7,2,6,1
Ladbrokes Q1 Lakeside,2026-03-14,10,7,8,4,6
Meadows,2026-03-14,1,7,3,6,2
Meadows,2026-03-14,2,1,6,3,5
Meadows,2026-03-14,3,1,2,6,4
Meadows,2026-03-14,4,7,8,2,1
Meadows,2026-03-14,5,4,8,7,3
Meadows,2026-03-14,6,1,3,6,7
Meadows,2026-03-14,7,7,6,4,1
Meadows,2026-03-14,8,6,2,7,3
Meadows,2026-03-14,9,1,4,5,2
Meadows,2026-03-14,10,4,2,8,5
Meadows,2026-03-14,11,2,1,8,4
Meadows,2026-03-14,12,4,1,8,7
Cannington,2026-03-14,1,7,4,1,6
Cannington,2026-03-14,2,3,2,4,1
Cannington,2026-03-14,3,5,2,7,1
Cannington,2026-03-14,4,3,2,8,5
Cannington,2026-03-14,5,4,7,8,5
Cannington,2026-03-14,6,2,6,8,7
Cannington,2026-03-14,7,4,1,5,3
Cannington,2026-03-14,8,8,2,1,4
Cannington,2026-03-14,9,8,1,4,6
Cannington,2026-03-14,10,4,8,7,1
Cannington,2026-03-14,11,5,1,3,8
Cannington,2026-03-14,12,1,2,3,6
