Track,Race,Position1,Position2,Position3,Position4
Taree,1,4,7,8,5
Taree,2,7,2,4,8
Taree,3,7,8,6,2
Taree,4,6,1,8,2
Taree,5,5,1,6,3
Taree,6,8,3,5,7
Taree,7,1,6,3,8
Taree,8,4,2,5,8
Taree,9,7,3,8,4
Taree,10,2,8,4,7
Taree,11,7,4,8,2
Taree,12,8,3,5,1
Ladbrokes Gardens,1,8,6,2,7
Ladbrokes Gardens,2,7,2,8,4
Ladbrokes Gardens,3,4,1,7,8
Ladbrokes Gardens,4,4,1,7,8
Ladbrokes Gardens,5,1,8,2,7
Ladbrokes Gardens,6,6,1,5,2
Ladbrokes Gardens,7,1,3,2,6
Ladbrokes Gardens,8,4,2,1,8
Ladbrokes Gardens,9,9,2,6,7
Ladbrokes Gardens,10,1,2,6,4
Ladbrokes Gardens,11,6,2,7,1
Ladbrokes Gardens,12,6,8,2,4
Wentworth Park,1,3,6,2,7
Wentworth Park,2,1,6,4,8
Wentworth Park,3,3,4,1,8
Wentworth Park,4,8,2,7,4
Wentworth Park,5,8,4,1,5
Wentworth Park,6,3,1,2,8
Wentworth Park,7,7,1,8,2
Wentworth Park,8,8,1,3,6
Wentworth Park,9,3,1,4,8
Wentworth Park,10,3,1,6,2
Wentworth Park,11,6,8,7,1
Dubbo,1,7,3,1,2
Dubbo,2,5,3,9,8
Dubbo,3,4,5,8,1
Dubbo,4,8,3,7,2
Dubbo,5,5,6,8,3
Dubbo,6,3,2,4,6
Dubbo,7,1,2,7,6
Dubbo,8,1,4,5,7
Dubbo,9,3,7,1,8
Dubbo,10,8,7,1,3
Dubbo,11,1,2,3,5
Dubbo,12,2,8,4,3
Ladbrokes Q1 Lakeside,1,5,8,1,6
Ladbrokes Q1 Lakeside,2,2,8,5,1
Ladbrokes Q1 Lakeside,3,5,8,1,2
Ladbrokes Q1 Lakeside,4,2,8,5,1
Ladbrokes Q1 Lakeside,5,8,2,4,1
Ladbrokes Q1 Lakeside,6,8,5,7,3
Ladbrokes Q1 Lakeside,7,4,5,8,7
Ladbrokes Q1 Lakeside,8,6,1,7,5
Ladbrokes Q1 Lakeside,9,4,2,5,1
Ladbrokes Q1 Lakeside,10,1,3,6,8
Ladbrokes Q1 Lakeside,11,2,1,8,5
Cannington,1,6,2,5,8
Cannington,2,1,6,2,4
Cannington,3,2,1,8,5
Cannington,4,4,1,8,2
Cannington,5,2,4,1,5
Cannington,6,2,8,5,7
Cannington,7,3,8,1,4
Cannington,8,1,3,5,2
Cannington,9,1,7,4,5
Cannington,10,4,2,6,1
Cannington,11,8,3,4,1
Cannington,12,7,1,0,8
