Date,Track,RaceNumber,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
2025-12-31,Ladbrokes Q1 Lakeside,R9,4,6,2,5,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R10,5,2,6,8,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R11,8,3,4,5,,,,,,
2025-12-31,Ladbrokes Q1 Lakeside,R12,2,5,6,3,,,,,,
2025-12-31,Bendigo,R1,1,4,6,8,,,,,,
2025-12-31,Bendigo,R2,7,3,2,4,,,,,,
2025-12-31,Bendigo,R3,2,7,6,8,,,,,,
2025-12-31,Bendigo,R4,7,8,5,4,,,,,,
2025-12-31,Bendigo,R5,2,4,8,5,,,,,,
2025-12-31,Bendigo,R6,8,4,1,6,,,,,,
2025-12-31,Bendigo,R7,7,1,8,3,,,,,,
2025-12-31,Bendigo,R8,5,3,8,2,,,,,,
2025-12-31,Bendigo,R9,3,7,2,6,,,,,,
2025-12-31,Bendigo,R10,3,2,6,8,,,,,,
2025-12-31,Bendigo,R11,2,8,1,7,,,,,,
2025-12-31,Bendigo,R12,8,6,4,5,,,,,,
2025-12-31,Ballarat,R1,6,2,7,8,,,,,,
2025-12-31,Ballarat,R2,3,8,7,4,,,,,,
2025-12-31,Ballarat,R3,7,5,3,2,,,,,,
2025-12-31,Ballarat,R4,8,1,7,3,,,,,,
2025-12-31,Ballarat,R5,1,7,8,3,,,,,,
2025-12-31,Ballarat,R6,3,7,2,8,,,,,,
2025-12-31,Ballarat,R7,1,3,6,5,,,,,,
2025-12-31,Ballarat,R8,4,2,8,6,,,,,,
2025-12-31,Ballarat,R9,1,4,2,8,,,,,,
2025-12-31,Ballarat,R10,2,1,7,4,,,,,,
2025-12-31,Ballarat,R11,1,5,2,8,,,,,,
2025-12-31,Ballarat,R12,7,5,1,4,,,,,,
2025-12-31,Meadows,R1,1,8,7,4,,,,,,
2025-12-31,Meadows,R2,4,7,6,8,,,,,,
