Track,Date,RaceNumber,Position1,Position2,Position3,Position4
Ladbrokes Q2 Parklands,2026-01-22,5,4,6,1,8
Ladbrokes Q2 Parklands,2026-01-22,6,1,2,6,8
Ladbrokes Q2 Parklands,2026-01-22,7,7,3,5,8
Ladbrokes Q2 Parklands,2026-01-22,8,1,4,8,5
Ladbrokes Q2 Parklands,2026-01-22,9,7,5,6,1
Ladbrokes Q2 Parklands,2026-01-22,10,4,8,2,1
Angle Park,2026-01-22,1,8,2,1,3
Angle Park,2026-01-22,2,1,6,4,2
Angle Park,2026-01-22,3,5,4,2,1
Angle Park,2026-01-22,4,2,4,1,7
Angle Park,2026-01-22,5,6,1,8,2
Angle Park,2026-01-22,6,3,8,7,6
Angle Park,2026-01-22,7,4,7,1,8
Angle Park,2026-01-22,8,1,7,2,5
Angle Park,2026-01-22,9,8,1,7,5
Angle Park,2026-01-22,10,1,6,7,3
Angle Park,2026-01-22,11,8,7,4,2
Angle Park,2026-01-22,12,1,5,7,8
Hobart,2026-01-22,1,3,4,7,2
Hobart,2026-01-22,2,8,1,7,4
Hobart,2026-01-22,3,8,1,4,7
Hobart,2026-01-22,4,6,4,1,8
Hobart,2026-01-22,5,2,1,3,4
Hobart,2026-01-22,6,4,6,8,1
Hobart,2026-01-22,7,6,7,3,2
Hobart,2026-01-22,8,3,4,5,2
Hobart,2026-01-22,9,5,3,4,2
Hobart,2026-01-22,10,3,8,7,2
Mandurah,2026-01-22,1,2,7,5,8
Mandurah,2026-01-22,2,1,8,3,5
Mandurah,2026-01-22,3,1,8,3,5
Mandurah,2026-01-22,4,8,2,1,5
Mandurah,2026-01-22,5,2,1,3,4
Mandurah,2026-01-22,6,8,2,3,6
Mandurah,2026-01-22,7,8,5,1,6
Mandurah,2026-01-22,8,2,3,6,1
Mandurah,2026-01-22,9,7,1,2,4
Mandurah,2026-01-22,10,5,1,2,7
